c605491e073841cad7b7d54c93f44ad7fdb8eb607624542d1db893dbcd13b5c7,f9ca22687eb95e3a442914a9ec254066cb7a2048f9958f65b4e58ef47b1ecfe1,bbaa6e47009cfa66d37571e8bc9f42efb81e8e81eddb1009bb9e4a824617126b,5c829d16cec84e1440e19f03aefce2ef1baf787628102f532b0d51d0bf6ac1a8,e5556a7dc7127ca5c22efbdddfc2c192a9b21099c9bfaa5fe63cd4ab4a5fa940,235794151f7c26a4ae2dbe44b34bd7b086b02085e184535033a5c88958379735,e30d751b709077b406705df40e19f358d74db96eb83ef0000b15ea4e29413695,da1075a770cb9be35fc7f9ceef1b409b23cee3f2d45cbbfd1b819a37740a7512,656db71b3f740c06c8445eb904d00001a87950ab6d6a76e244a8b1b7fac5ad2d,e27d45209d98c13252b4dc0de0d3116dfca9bf3a03eba9049d22289c2ee6af54,415a7b71753e5d75590071a10692429264b8865f10a35808a5148020c6be1273
"1","12","5","1","2.2","talk_sad","0","52","30","-250","12001"
"1","12","6","1","0","","0","1","1","0","12002"
"0","12","5","0","1","black","0","29","50","0","12003"
"1","12","6","0","0","","0","1","1","0","12004"
"","12","91","0","","","","","","","12005"
"1","12","6","1","0.2","","0","1","1","1","12006"
"1","12","6","0","0.2","","0","1","1","1","12007"
"-20","12","2","1","","","","-250","0.3","2","12008"
"0","12","2","0","","","","0","0.3","2","12009"
"0","12","93","0.6","","","","","","","12010"
"vo_asb_0121","12","21","vo_asb","","","","0","0","","12011"
"思えば手土産すらも、\n持参できず仕舞いでした……","12","11","1","0","0","0","10","1","1","12012"
"","12","91","0","","","","0","0","","12013"
"guts2_talk_shy","12","3","1","0.2","","","1","","","12014"
"vo_asb_0122","12","21","vo_asb","","","","0","0","","12015"
"次に伺う時は必ず……！","12","11","1","0","0","0","10","1","1","12016"
"","12","91","0","","","","0","0","","12017"
"sad_talk_surprise","12","3","1","0.2","","","1","","","12018"
"vo_asb_0123","12","21","vo_asb","","","","0","0","","12019"
"……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","12","11","1","0","0","0","10","1","1","12020"
"","12","91","0","","","","0","0","","12021"
"surprise_talk_dere","12","3","1","0.3","","","1","","","12022"
"vo_asb_0124","12","21","vo_asb","","","","0","0","","12023"
"やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","12","11","1","0","0","0","10","1","1","12024"
"","12","91","0","","","","0","0","","12025"
"sad_talk_riri_in","12","3","1","0.4","","0","0","sad_idle_red_riri","1","12026"
"vo_asb_0125","12","21","vo_asb","","","","0","0","","12027"
"……一緒に……手土産を……\n……ぽっ。","12","11","1","0","0","0","10","1","1","12028"
"","12","91","0","","","","0","0","","12029"
"","12","101","12031","","","","","","","12030"
"1","12","6","1","0.3","","0","1","1","0","12031"
"1","12","6","0","0.3","","0","1","1","0","12032"
"-120","12","2","1","","","","-250","0.3","1","12033"
"-100","12","2","0","","","","0","0.3","1","12034"
"0","12","22","0","","","","","","","12035"
"0","12","93","0.4","","","","","","","12036"
"1","13","5","1","2.2","riri_idle_look_shy","0","17","20","-230","13001"
"2","13","5","2","2.2","clear_idle_look_shy","0","19","-140","-255","13002"
"3","13","5","3","2.2","idle_look_precia","1","18","270","-245","13003"
"1","13","6","1","0","","0","1","1","0","13004"
"1","13","6","2","0","","0","1","1","0","13005"
"1","13","6","3","0","","0","1","1","0","13006"
"100","13","31","1","0","","","0","0","1","13007"
"0","13","35","100","","","","","","","13008"
"0","13","5","0","1","black","0","16","50","0","13009"
"1","13","6","0","0","","0","1","1","0","13010"
"","13","91","0","","","","","","","13011"
"0","13","93","0.1","","","","","","","13012"
"1","13","6","1","0.2","","0","1","1","1","13013"
"1","13","6","2","0.2","","0","1","1","1","13014"
"1","13","6","3","0.2","","0","1","1","1","13015"
"1","13","6","0","0.2","","0","1","1","1","13016"
"-30","13","2","1","","","","-230","0.3","2","13017"
"-190","13","2","2","","","","-255","0.3","2","13018"
"220","13","2","3","","","","-245","0.3","2","13019"
