e83fba530c9e48c0e5d3efc025c5b276a74f84a56c41d6257eb0aff06beac82e,0398b2dd5f3a5b2b562085bc5941a84cd044ec0325ebd80502bac89b2d0079ea,6d514017be7a2a694f612ffa6fd44a38c77f11d636426a2d56a91df3e88951b5,732d007c8d8b7f26eaf997aa429ed259d6ac5ccb2b94b761e66139cb961d5585,311c8e0bb051a21b31ceff13cf126560466870955bcfa21d299155a3381a4be1,e8ac4e6463844366e1887ea91231eed252769606bbbdec192c8493eed6f5cf2b,d9af4d011136db71ba99cf4c1cd0e20103c63164c0cabb37412538ab053b3bb8,86093dad4eedf1b79f884e44d6c3802671cb60717053b36927847a294c9c894b,4368040df466265505a6c5bbe20bea4bda0f994e2245fd3d476e7a99e1153b07,16cc0e3f8305c156af1200b9ce93fe927e636214216ae70b1c2d66b344246bb0
"1","10","12000","1","0","90001","0","90043","10000","30000"
"2","20","24000","2","0","90002","0","90047","10000","30000"
"3","20","24000","3","0","90002","0","90047","10000","30000"
"4","20","24000","4","0","90002","0","90047","10000","30000"
"5","20","24000","5","0","90002","0","90047","10000","30000"
"6","20","24000","6","0","90002","0","90047","10000","30000"
"7","20","24000","7","0","90002","0","90047","10000","30000"
"8","20","24000","8","0","90002","0","90047","10000","30000"
"9","20","24000","9","0","90002","0","90047","10000","30000"
"10","20","24000","10","0","90002","1","90047","10000","30000"
"11","40","48000","11","90011","90003","2","90051","10000","30000"
"12","40","48000","12","90011","90003","3","90051","10000","30000"
"13","40","48000","13","90011","90003","4","90051","10000","30000"
"14","40","48000","14","90011","90003","5","90051","10000","30000"
"15","40","48000","15","90011","90003","6","90051","10000","30000"
"16","40","48000","16","90011","90003","7","90051","10000","30000"
"17","40","48000","17","90011","90003","8","90051","10000","30000"
"18","40","48000","18","90011","90003","9","90051","10000","30000"
"19","40","48000","19","90011","90003","10","90051","10000","30000"
"20","40","48000","20","90011","90003","11","90051","10000","30000"
"21","60","72000","21","90015","90004","12","90055","10000","30000"
"22","60","72000","22","90015","90004","13","90055","10000","30000"
"23","60","72000","23","90015","90004","14","90055","10000","30000"
"24","60","72000","24","90015","90004","15","90055","10000","30000"
"25","60","72000","25","90015","90004","16","90055","10000","30000"
"26","60","72000","26","90015","90004","17","90055","10000","30000"
"27","60","72000","27","90015","90004","18","90055","10000","30000"
"28","60","72000","28","90015","90004","19","90055","10000","30000"
"29","60","72000","29","90015","90004","20","90055","10000","30000"
"30","60","72000","30","90015","90004","21","90055","10000","30000"
"31","80","96000","31","90015","90005","22","90059","10000","30000"
"32","80","96000","32","90015","90005","23","90059","10000","30000"
"33","80","96000","33","90015","90005","24","90059","10000","30000"
"34","80","96000","34","90015","90005","25","90059","10000","30000"
"35","80","96000","35","90015","90005","26","90059","10000","30000"
"36","80","96000","36","90015","90005","27","90059","10000","30000"
"37","80","96000","37","90015","90005","28","90059","10000","30000"
"38","80","96000","38","90015","90005","29","90059","10000","30000"
"39","80","96000","39","90015","90005","30","90059","10000","30000"
"40","80","96000","40","90015","90005","31","90059","10000","30000"
"41","120","144000","41","90017","90005","33","90063","10000","30000"
"42","120","144000","42","90017","90005","35","90063","10000","30000"
"43","120","144000","43","90017","90005","37","90063","10000","30000"
"44","120","144000","44","90017","90005","39","90063","10000","30000"
"45","120","144000","45","90017","90005","41","90063","10000","30000"
"46","120","144000","46","90017","90005","43","90063","10000","30000"
"47","120","144000","47","90017","90005","45","90063","10000","30000"
"48","120","144000","48","90017","90005","47","90063","10000","30000"
"49","120","144000","49","90017","90005","49","90063","10000","30000"
"50","120","144000","50","90017","90005","51","90063","10000","30000"
"51","150","180000","51","90019","90006","53","90067","10000","30000"
"52","150","180000","52","90019","90006","55","90067","10000","30000"
"53","150","180000","53","90019","90006","57","90067","10000","30000"
"54","150","180000","54","90019","90006","59","90067","10000","30000"
"55","150","180000","55","90019","90006","61","90067","10000","30000"
"56","150","180000","56","90019","90006","63","90067","10000","30000"
"57","150","180000","57","90019","90006","65","90067","10000","30000"
"58","150","180000","58","90019","90006","67","90067","10000","30000"
"59","150","180000","59","90019","90006","69","90067","10000","30000"
"60","150","180000","60","90019","90006","71","90067","10000","30000"
"61","180","216000","61","90021","90007","74","90071","10000","30000"
"62","180","216000","62","90021","90007","77","90071","10000","30000"
"63","180","216000","63","90021","90007","80","90071","10000","30000"
"64","180","216000","64","90021","90007","83","90071","10000","30000"
"65","180","216000","65","90021","90007","86","90071","10000","30000"
"66","180","216000","66","90021","90007","89","90071","10000","30000"
"67","180","216000","67","90021","90007","92","90071","10000","30000"
"68","180","216000","68","90021","90007","95","90071","10000","30000"
"69","180","216000","69","90021","90007","98","90071","10000","30000"
"70","180","216000","70","90021","90007","101","90071","10000","30000"
