8023417a92036814604d9090d1226198dd6877552056243597f78c384fcba9d5,2ad5e9659ca17710b8be57155f1ad0147feadd237caa4aeede3859286343e9ac,225a4e5702aa83f1e2ca389120d235ab333a83d5c8d496cac08bfca77f54b3c0,9167b2e734289deeea1bfcdf2d7c4a4caa3f11ce38247845a05c1b1a8e2fc86d,ee38164d824ab59067e38eae50d6b0e2c631406072f32b76aeaf30a7fa49bedb,e73aca0553af5bd3bda962ad29da0d23d8be40f386312aac92ac278606eb09fd,c71a7ef6ebd07c540675aaf33e5b9095496a32363fede629c8001c64dafe09e2,20ebcc43337e6721e64c0a46d89835c0254306cb5a053af7022f3ced6945a849,7ae625cb40d9db1eac4bd60cb84c553c4a850150502879ffe256def8abd1a8dd,cbfc2c3ad3b16c9e8daa49d98b37a097ec769001dd4fec82e133d39524f58ae9,be9b177c23ad53010e65fbf8986d2d6a6a8766216385450123b37a6e7f562024,27c5da32e1d87721f41a4b5a5be9ffcafb79c1d3334a4b6257a1f901e28f36c5,5f2e6000b2e51528988c12eee90b4b284c31338b23aac8b54d82051616bbba6e,19031fc6089d30dd13170e1a08ebed834e7a01eff6064886ad88af2c52417e4a,7d04004ebfca8aa5f73eecefd38635f21ec58e2cc931f7d57ff4de2e4768f276
"0","ねぇねぇ、騎士クン\n手伝ってあげようよ～","2","お！\nあそこに困ってそうな人発見！","1.4","1","0","0","0","1001","1","春咲 ひより","ヒヨリでっす♪\n元気いっぱいがんばるよ♪","1","0"
"0","わ、わたし、\nなに言ってるんだろ\nあはは…","2","大切な人を\n守れるようになりたい…って","1.4","1","0","0","0","1002","1","草野 優衣","みんなみたいに\nわたしも強くならなきゃ","1","0"
"0","少しは磨かれると思いますよ。","2","キミに必要な集中力と感性が","1.4","1","0","0","0","1003","1","士条 怜","フェンシングを始めてみては？","1","0"
"0","みそぎはねぇ、\nかくれんぼやりたい！","2","今日はなにして遊ぶ？","1.5","1","0","0","0","1004","1","穂高 みそぎ","ねぇ、にいちゃん！","1","0"
"0","私といっしょに…\nいかない？","2","ねぇ…","1.4","1","0","0","0","1006","1","風宮 あかり","風宮あかりです","1","0"
"0","食べ物の恨みは怖いのー","2","プリンたべたいのー","1.5","1","0","0","0","1007","1","出雲 宮子","出雲宮子なのー","1","0"
"0","いいよ。\n見られることは運命さ…","2","キミもボクの美貌に\n吸い寄せられたんだね。","1.4","1","0","0","0","1008","1","虹村 雪","ボクは虹村雪。","1","0"
"0","人呼んで「疾風の冥姫」!!","2","我が真名は\nアンネローゼ・フォン・シュテッヒパルム！","1.4","1","0","0","0","1009","1","柊杏奈","フッ…聞いて後悔するがいい！","1","0"
"0","ほんまおおきにやわ～♪","2","うさぎさん、\n運命の王子はんに巡りあわせてくれて","1.5","1","0","0","0","1010","1","姫宮 真歩","マホマホ王国のプリンセス、\nまほ姫どす","1","0"
"0","ここで会ったが\n100年目～！","2","生き別れたお兄ちゃんを探して\n三千世界！","1.4","1","0","0","0","1011","1","衣之咲 璃乃","衣之咲璃乃です！","1","0"
"0","…って、お願い！\n誰にも言わないでおいて～！","2","ち、超能力って…\n何のことかな～？","1.4","1","0","0","0","1012","1","柏崎 初音","私はハツネ、\n結構強いんだよ。\nきらーん☆","1","0"
"0","ヒデサイまぢ\nGF（グッドフィーリング）～♪","2","一応カリスマ読モJKやってまっす！","1.4","1","0","0","0","1016","1","美波 鈴奈","ちょす！\n美波鈴奈だよ～♪","1","0"
"0","でも、沖縄もとってもいいとこさー","2","東京は遊園地みたいなところさー","1.4","1","0","0","0","1017","1","喜屋武 香織","はいたーい。\n喜屋武香織さー。","1","0"
"0","イオちゃんって呼んでね。","2","先生って呼ばれるのは\nくすぐったいから","1.4","1","0","0","0","1018","1","支倉 伊緒","支倉伊緒です。","1","0"
"0","ミミをおいてかないでぇ～","2","あ！/\お兄ちゃ～ん\nまってよ～","1.5","1","0","0","0","1020","1","茜 ミミ","ふえ…？\nミミ、むずかしいこと\nよくわかんない…","1","0"
"0","ふぇぇぇぇぇん……","2","あの……\nふぇ……","1.5","1","0","0","0","1021","1","栗林 くるみ","あ…あの…えっと…\n栗…林…くるみ…です……","1","0"
"0","なんてありがとうございます！","2","こんな私に貴重な時間を\n割いていただき、","1.4","1","0","0","0","1022","1","風宮 より","風宮よりです。\nあああああ！","1","0"
"0","私こっち行きたいー\nね、早く早くー","2","おにいちゃんどこいくの？\nえ？","1.5","1","0","0","0","1023","1","北条 綾音","私、アヤネ！\nぷうきちと一緒についてってあげるね！","1","0"
"0","これて何か違う…\nあああすみません！","2","ふ、不束者ですが\nどうぞ末永く…って、","1.4","1","0","0","0","1025","1","天野 すずめ","わっ…わっ…私、\n天野すずめといいます！","1","0"
"0","離しませんわ………\n絶対に…!!","2","あなたは…運命の……\n伴侶……","1.4","1","0","0","0","1027","1","倉石 恵理子","……クスクス…私は\n…倉石恵理子……","1","0"
"0","…そうでしょ？？","2","その無駄を省くことができれば、\nもっと余裕のある暮らしができるっ！","1.4","1","0","0","0","1028","1","佐々木 咲恋","佐々木咲恋よ。\nねえ、世の中に無駄なことが\n多すぎると思わない？","1","0"
"0","あはは、\n私もまだまだだなぁ～","2","ぇっと…\nキミ、私のこと知らないの?!","1.4","1","0","0","0","1029","1","桜井 望","桜井望だよ！\nよろしくねっ","1","0"
"0","ショーグン、\nワタシと一緒に天下統一デース！","2","初めまして、\n私はニノン・ジュベール申すデス！","1.4","1","0","0","0","1030","1","ニノン・ジュベール","デケデケデンっ！","1","0"
"0","おかしいですね……","2","でもって私の隣にいるのが……\nえ、見えない？","1.4","1","0","0","0","1031","1","上喜 しのぶ","上喜しのぶです。\n手元のドクロが父です。","1","0"
