633e826559b880436deee41a4f8c6ad1fe06ca209681a1efbadc1d99350ade06,4819b852537721834c6cdaa9c5942cfb16855e13dab5b07c8ebf10679ee62a3d,2c5cc7b65f33b2de732ddcc1ced9bc45af148ef79b472c3081b1882e653ac143,7d8fd928733e10f70996a576d16e05e910c068e2f2e4e53371f653f3b86ce926,4a41e742b872539189ba33ff0976f26aef0369f89091e5fe7c1d8ca8c447f745,3907f56de364297a126ace9f6f2e053b9f9d96e2dacba822d0754f28699cb16d,a09dbb434be8c9d4fea67b584719118d585658963a5d8b763f90a78cf40bd4de
"3","0","料理入手イベント","0","0","1","1"
"1","0","ダイス入手イベント1","0","0","2","2"
"2","0","ダイス入手イベント2","0","0","3","2"
"0","0","ターン数カウントスキップ","1","3","4","3"
"100","1","マイル+100%","0","2","5","4"
"100","1","ミニゲームマイル+100%","0","2","6","5"
"300","1","ショップ割引イベント","0","3","7","6"
"300","1","ショップ割引イベント","0","3","8","6"
"0","0","ターン数カウントスキップ1","2","3","98001","3"
"0","0","ターン数カウントスキップ1","1","3","98011","3"
"0","0","ターン数カウントスキップ2","2","3","98012","3"
