cb6abedb5e33d8fe08031c097f592225cc864fd01332bbdd92e3c58ac90a8569,c8caca553ef9b34b8134d6dc8e56239666c2cd3617e034fe287e8c629bb010f7,333fac05952e9bb1cb95f6738d958ac5325485ef1f6c1196fbb992ab20f15039,300bc1c1cf137521940b08d4e75271288252fca5dd14c8e55eceee42584f734c,65688cadb93eeee4b2b293c984d5c26829b41827b7666502c60c46a08d208c2b,58f1cce317ca695a78e5ac5eaf3c7cdc1b779a593636a572438249aeb2edfcbe
"1","1101","0","1","20025","0"
"1","1102","0","1","20025","0"
"1","1103","1","0","20025","5042002"
"1","1104","0","1","20025","0"
"1","1105","1","0","20025","5042003"
"1","1106","0","1","20025","0"
"1","1107","2","0","20025","5042005"
"2","1201","1","0","20025","5042007"
"2","1202","2","0","20025","5042007"
"2","1203","0","1","20025","0"
"2","1204","0","1","20025","0"
"1","1301","0","0","20025","0"
