5aab1272e6011c9b034c8cc6ded2fcb8c6d6cc922eb51564609ec9cf33644db7,c9bf6a6c2b1aba2fc44031ce70f2d51cd7c7bd22dde023aa07e7b0bc8f046af7,2b1fa3c2339f81f323eb5b3e00930feed1360c9661a7b6abd6fc8b5bf5a8c4b0
"2","15","10000101"
"1","15","10000201"
"1","25","10000401"
"3","50","10000601"
"2","15","10000801"
"1","15","10000901"
"3","25","10001001"
"2","10","10001101"
"3","25","10001501"
"1","15","10001502"
"1","15","20101001"
"3","50","20103001"
"2","25","20105001"
"1","25","20106001"
"3","25","20107001"
"2","25","20108001"
"3","25","20112001"
"1","50","20112002"
"1","30","20115001"
"3","75","20117001"
"2","50","20119001"
"1","50","20120001"
"3","30","20121001"
"2","50","20122001"
"3","30","20126001"
"1","50","20126002"
"2","50","20129001"
"1","50","20131001"
"3","100","20133001"
"2","50","20135001"
"1","50","20136001"
"3","50","20137001"
"2","50","20138001"
"3","50","20142001"
"1","50","20142002"
"1","100","20145001"
"3","100","20146001"
"2","75","20147001"
"1","200","20150001"
