7680e14e3075754c830d3b9f2e6cc6fcbaac023d0b47128011f1d22a8a2dc33a,3088d4ff414595bb0845882d7fce15a5679cc648ad55798d90f7163f49c76aa9,a7f7e8969d4ba3a9b70ecb7d0a35beacb9078d0003aa61602b518198831158f9,fa001847000b18e4862d0a2df1fc5190ca9853fa1b54fee01691f98fddc2c902,7817a5076d4346c82a18c0baceea7d700284010f6ae3cad01681266664e0c4fc
"1","1","1001","1","100111"
"2","1","1001","2","100112"
"3","1","1001","3","100113"
"4","1","1001","4","100114"
"5","1","1001","5","100115"
"1","2","1001","6","100121"
"2","2","1001","7","100122"
"3","2","1001","8","100123"
"4","2","1001","9","100124"
"5","2","1001","10","100125"
"1","3","1001","11","100131"
"2","3","1001","12","100132"
"3","3","1001","13","100133"
"4","3","1001","14","100134"
"5","3","1001","15","100135"
