67581352c8ad4182795ad8ace1e12638017c4fe41d9931890f6e042680bac9ae,8425402416448230c87424671fe0ac09aa86700b49627e1830d4a52e26c56b66,e7dd68572199e00bf2951fd6a2a291505b7e58b41b42316042e87f8d99711c2d,7ca1d7a64288783c53125e9a29d34fade756812576a699659d26b2b15e91f99a,ea7ef3461404f480fed919a2ef129c70bb1620de913508e9ddf833a77bf02964,1b7bbb546fc45cca94ba0fd0e3ad7a29c9de69319c8503684426e0a1a2968e38,a3750d266cc936aeedf33109b60bae619e5bb4e7dcd7306b77ed0e1d54493712,175e4c46faff5655ca9af98a77d0202a167e738c15f328729b317f8d555dbf7c,761a997e0fafcca41e517e795597c2187deab8b2d1bebe9e25c6e1f2acd81418,531aa4578d6a56d47490d58083f74f742970768b83bf045de82572dd545193f4,797473550fda2f1783c3d6d5917087cf81162060edc7a9a43d0f972b32a22f2a,cf7adb4166000e05ba8fd25ea6cb422265dfad44289f40f2e5c31869ed05fede
"0","2","1","0","vo_10020900_0001","1010001","0","0","0","1","vo_10020900","0"
"1","1","1","0.818181818181818","0","1010002","180","0","0","2","0","0"
"1","4","1","0","0","1010003","0","0.818181818181818","0","3","0","1"
"2","1","1","0.634285714285714","0","1010004","148","0","0","4","0","0"
"2","4","1","0","0","1010005","0","1.03428571428571","0","5","0","1"
"2","1","1","1.33714285714286","0","1010006","460","0","148","6","0","0"
"2","4","1","0","0","1010007","0","2.13714285714286","0","7","0","1"
"0","2","1","0","vo_10020900_0002","1010008","0","0","0","8","vo_10020900","0"
"3","1","1","1.12948051948052","0","1010009","223","0","0","9","0","0"
"3","4","1","0","0","1010010","0","2.12948051948052","0","10","0","1"
"0","2","1","0","vo_10020900_0003","1010011","0","0","0","11","vo_10020900","0"
"3","1","1","0.545454545454545","0","1010012","343","0","223","12","0","0"
"3","4","1","0","0","1010013","0","1.04545454545455","0","13","0","1"
"3","1","1","1.71545454545455","0","1010014","700","0","343","14","0","0"
"3","4","1","0","0","1010015","0","2.71545454545455","0","15","0","1"
"0","2","1","0","vo_10020900_0004","1010016","0","0","0","16","vo_10020900","0"
"4","1","1","1.67857142857143","0","1010017","275","0","0","17","0","0"
"4","4","1","0","0","1010018","0","2.17857142857143","0","18","0","1"
"0","2","1","0","vo_10020900_0005","1010019","0","0","0","19","vo_10020900","0"
"4","1","1","1.28311688311688","0","1010020","465","0","275","20","0","0"
"4","4","1","0","0","1010021","0","1.98311688311688","0","21","0","1"
"4","1","1","1.2987012987013","0","1010022","715","0","465","22","0","0"
"4","4","1","0","0","1010023","0","1.9987012987013","0","23","0","1"
"5","1","1","2.07792207792208","0","1010024","400","0","0","24","0","0"
"5","4","1","0","0","1010025","0","3.07792207792208","0","25","0","1"
"0","2","1","0","vo_10020900_0006","1010026","0","0","0","26","vo_10020900","0"
"6","1","1","1.06363636363636","0","1010027","182","0","0","27","0","0"
"6","4","1","0","0","1010028","0","1.56363636363636","0","28","0","1"
"6","1","1","2.96","0","1010029","700","0","182","29","0","0"
"6","4","1","0","0","1010030","0","3.96","0","30","0","1"
"0","2","1","0","vo_10020900_0007","1010031","0","0","0","31","vo_10020900","0"
"7","1","1","0.386363636363636","0","1010032","85","0","0","32","0","0"
"7","4","1","0","0","1010033","0","0.886363636363636","0","33","0","1"
"7","1","1","3.54090909090909","0","1010034","750","0","85","34","0","0"
"7","4","1","0","0","1010035","0","4.54090909090909","0","35","0","1"
"0","2","1","0","vo_10020900_0008","1010036","0","0","0","36","vo_10020900","0"
"8","1","1","0.431818181818182","0","1010037","95","0","0","37","0","0"
"8","4","1","0","0","1010038","0","1.03181818181818","0","38","0","1"
"0","2","1","0","vo_10020900_0009","1010039","0","0","0","39","vo_10020900","0"
"8","1","1","0.709090909090909","0","1010040","235","0","95","40","0","0"
"8","4","1","0","0","1010041","0","1.30909090909091","0","41","0","1"
"0","2","1","0","vo_10020900_0010","1010042","0","0","0","42","vo_10020900","0"
"8","1","1","3.07662337662338","0","1010043","750","0","235","43","0","0"
"8","4","1","0","0","1010044","0","4.07662337662338","0","44","0","1"
"0","2","1","0","vo_10020900_0011","1010045","0","0","0","45","vo_10020900","0"
"9","1","1","1.43506493506493","0","1010046","170","0","0","46","0","0"
"9","4","1","0","0","1010047","0","2.43506493506493","0","47","0","1"
"0","2","1","0","vo_10020900_0012","1010048","0","0","0","48","vo_10020900","0"
"9","1","1","2.75","0","1010049","720","0","170","49","0","0"
"9","4","1","0","0","1010050","0","3.95","0","50","0","1"
"0","2","1","0","vo_10020900_0013","1010051","0","0","0","51","vo_10020900","0"
"10","1","1","1.67792207792208","0","1010052","585","0","170","52","0","0"
"10","4","1","0","0","1010053","0","2.27792207792208","0","53","0","1"
"10","1","1","0.9","0","1010054","750","0","585","54","0","0"
