0a8d3c2992dbef5c16a4e1044f7660614af84c5bf58b6dd4a111a43c4fbf011e,b0915af863b6ffcb5fd6b905cff691318dbd579f5d3fa4ababd164f1b0f26252,8be87af8f32a343fa18b0de830d9edc67ce088c81a3d6bb40e9c42f9521b1dc8,f8b4b9aee5a690e5c04458afd936a137c23d08d4fcc64cc9927231e46a8cbc1d,7e457420f11e446147dbe53402090a94c031d207e6d964ff925c9ae858182069,543a1b93bdad341f7ebd04472f967e5c8e943d72a55d864dd89a56d6c42b2dfb,ca0eab53fc3eb2a68bab413ff91f2a364eac728f6efe810bb4275065a39ff252,d7edd7e682476342d837268be893da42cef9a96bb6afa02fcfe5cb5eea4d5f49,9e1c56f4b45eb6c8453fcb28b2688dda9d48964aea4ca4be6c59e7fb210cadde,1f53379008cf2f3c7feeac37f138c3c3226cd647689504df86352375cd65b37d,b0a8fd01c8567d8611baefbf1f60e95d39628985d39d747aa5decbbeec27adab
"-194","100","sjr_talk_idle","1001","1","1","1","1","1.65","40","122611"
"","1","","1002","122611","1","","3","0.2","","sjr_talk_wish_look"
"","0","","1003","vo_minigame_1010","1","","21","","0","vo_minigame_1010_top_talk_1_001"
"0","10","1","1004","122611","1","0","11","0","1","騎士クン…見ててね\nわたし、頑張って\n走るから…！"
"","","","1005","0","1","","91","","",""
"","1","","1006","122611","1","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","2001","1","2","1","1","1.65","40","122611"
"","1","","2002","122611","2","","3","0.2","","sjr_talk_mouth_hidden_shy"
"","0","","2003","vo_minigame_1010","2","","21","","0","vo_minigame_1010_top_talk_1_002"
"0","7","1","2004","122611","2","0","11","0","1","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…"
"","","","2005","0","2","","91","","",""
"","1","","2006","122611","2","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","3001","1","3","1","1","1.65","40","122611"
"1","0","","3002","122611","3","0","3","0.2","sjr_talk_stepback_worry","sjr_talk_stepback_surprise_worry"
"","0","","3003","vo_minigame_1010","3","","21","","0","vo_minigame_1010_top_talk_1_003"
"0","8","1","3004","122611","3","0","11","0","1","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…"
"","","","3005","0","3","","91","","",""
"","1","","3006","122611","3","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","4001","1","4","1","1","1.65","40","122611"
"","1","","4002","122611","4","","3","0.2","","sjr_talk_thinking_surprise"
"","0","","4003","vo_minigame_1010","4","","21","","0","vo_minigame_1010_top_talk_1_004"
"0","6","1","4004","122611","4","0","11","0","1","変わったコースが\nいっぱいあるね\nどれに出ようかな…"
"","","","4005","0","4","","91","","",""
"","1","","4006","122611","4","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","5001","1","5","1","1","1.65","40","122611"
"1","0","","5002","122611","5","0","3","0.2","sjr_talk_guts2_anger_loop","sjr_talk_guts2_anger"
"","0","","5003","vo_minigame_1010","5","","21","","0","vo_minigame_1010_top_talk_1_005"
"0","7","1","5004","122611","5","0","11","0","1","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！"
"","","","5005","0","5","","91","","",""
"","1","","5006","122611","5","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","6001","1","6","1","1","1.65","40","122511"
"1","0","","6002","122511","6","0","3","0.2","sjr_talk_arm_crossed_look_loop","sjr_talk_arm_crossed_joy_look"
"","0","","6003","vo_minigame_1010","6","","21","","0","vo_minigame_1010_top_talk_1_006"
"0","6","1","6004","122511","6","0","11","0","1","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ"
"","","","6005","0","6","","91","","",""
"","1","","6006","122511","6","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","7001","1","7","1","1","1.65","40","122511"
"","1","","7002","122511","7","","3","0.2","","sjr_talk_mouth_hidden2_shy"
"","0","","7003","vo_minigame_1010","7","","21","","0","vo_minigame_1010_top_talk_1_007"
"0","6","1","7004","122511","7","0","11","0","1","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…"
"","","","7005","0","7","","91","","",""
"","1","","7006","122511","7","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","8001","1","8","1","1","1.65","40","122511"
"","1","","8002","122511","8","","3","0.2","","sjr_talk_mouth_hidden"
"","0","","8003","vo_minigame_1010","8","","21","","0","vo_minigame_1010_top_talk_1_008"
"0","6","1","8004","122511","8","0","11","0","1","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！"
"","","","8005","0","8","","91","","",""
"","1","","8006","122511","8","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","9001","1","9","1","1","1.65","40","122511"
"","1","","9002","122511","9","","3","0.2","","sjr_talk_stepback_surprise"
"","0","","9003","vo_minigame_1010","9","","21","","0","vo_minigame_1010_top_talk_1_009"
"0","6","1","9004","122511","9","0","11","0","1","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな"
"","","","9005","0","9","","91","","",""
"","1","","9006","122511","9","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","10001","1","10","1","1","1.65","40","122511"
"","1","","10002","122511","10","","3","0.2","","sjr_talk_thinking_blink"
"","0","","10003","vo_minigame_1010","10","","21","","0","vo_minigame_1010_top_talk_1_010"
"0","5","1","10004","122511","10","0","11","0","1","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か"
"","","","10005","0","10","","91","","",""
"","1","","10006","122511","10","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","11001","1","11","1","1","1.65","40","122411"
"1","0","","11002","122411","11","0","3","0.2","sjr_talk_eieio_loop","sjr_talk_eieio"
"","0","","11003","vo_minigame_1010","11","","21","","0","vo_minigame_1010_top_talk_1_011"
"0","6","1","11004","122411","11","0","11","0","1","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！"
"","","","11005","0","11","","91","","",""
"","1","","11006","122411","11","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","12001","1","12","1","1","1.65","40","122411"
"","1","","12002","122411","12","","3","0.2","","sjr_talk_arm_opened_wink"
"","0","","12003","vo_minigame_1010","12","","21","","0","vo_minigame_1010_top_talk_1_012"
"0","6","1","12004","122411","12","0","11","0","1","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！"
"","","","12005","0","12","","91","","",""
"","1","","12006","122411","12","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","13001","1","13","1","1","1.65","40","122411"
"1","0","","13002","122411","13","0","3","0.2","sjr_talk_doya_loop","sjr_talk_doya"
"","0","","13003","vo_minigame_1010","13","","21","","0","vo_minigame_1010_top_talk_1_013"
"0","8","1","13004","122411","13","0","11","0","1","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪"
"","","","13005","0","13","","91","","",""
"","1","","13006","122411","13","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","14001","1","14","1","1","1.65","40","122411"
"1","0","","14002","122411","14","0","3","0.2","sjr_talk_swing_joy","sjr_talk_watch_arm_opened"
"","0","","14003","vo_minigame_1010","14","","21","","0","vo_minigame_1010_top_talk_1_014"
"0","7","1","14004","122411","14","0","11","0","1","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！"
"","","","14005","0","14","","91","","",""
"","1","","14006","122411","14","","3","0.2","","sjr_talk_idle"
"-194","100","sjr_talk_idle","15001","1","15","1","1","1.65","40","122411"
"","1","","15002","122411","15","","3","0.2","","sjr_talk_wish_doya"
"","0","","15003","vo_minigame_1010","15","","21","","0","vo_minigame_1010_top_talk_1_015"
"0","7","1","15004","122411","15","0","11","0","1","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！"
"","","","15005","0","15","","91","","",""
