1dc01be7cbf4a202e15b89aa0d0e105b075ac1cbc235d1d950ba0913812d5574,47760f2312c52667ecedf17496b563e5a4e264b16455a59ae51f5a4bc7cd5958,d4ad14f918c36a472c2f9b56b4de2010a468181d518ff25b99b46eb7da2d3fee,c50bba5958d98c0d88d6539ac7d96afaa73feaf17252be2860bd003bc1f680d6,5805b20510a11b0c7bc107c489bb6e0fd1a1c8683351e494f691e29ee15f42ef,f51e101c51f49223dacb46a7218dc09bb14425c60f6d9c545a7da5b8ef30c701,89ad0097b51c81893ab85257ebe6f2648766f76b4cb5ebed32518f7e68b27051,c638c6151274ef8be8056e93ac49cde7a141cc70f43971094e2657335171438e,717ba38ac0c6ce71c67b953df3317ff99140f634085bd6812a34d51c41c3176b,49efda846d305c2f10b54a4930aaa2519d1d07f7b8e3ca2bee41cfb43cc40cce,1e8b891c73375d16a5213c41ec6dc08d2c33700e197cd283d97586a5d5883cef,e08d5cb866241413c15012b28ca02df2345ac6707ee46e7159750f50c81f4f46,1710fa67c75b80b410220fe372045c5190bc4e29718508d8b081f9d869533bac,bec5bbe6d1f7768a9b2a2cafa9077443c744b9084b8b0fd86f9fb4a5ab1e4847,7196bd28136c8cb919c05a04e574712cd090350566b1daf4ef700e43bec5a3d1,3f1e44838ad6c6d67b816a246f6a3dd9ccd4442e12a2f85e45c86396404e850b,1c20af5a54e9b2253629c8ddf2c1dc8b12881da03e56c31023de64a5f2e873d1,8eeb00c7ba361eb71b1fd28fb6f83ef64ce55492696dcc5d8338d9bc91253e61,c64577c8101da92883261679a10bd90c82be9faca75759e3988b3ab03e5580d5
"610132007","0","3","610132501","12","1","1","289","10132","0","0","","-60","5.5","0","3","0","1","5"
"610132008","0","0","610132502","0","1","1","289","10132","0","70","","-60","1.5","0","1","0","2","5"
"610132009","0","0","0","0","1","1","289","10132","0","0","","-60","1.5","0","1","0","3","5"
"610134007","0","3","0","0","1.85","1","292","10134","0","55","","-50","5.5","0","1","0","1","5"
"610134008","0","0","610134502","30","1.85","1","292","10134","0","0","","-50","1.5","0","3","0","2","5"
"610134009","0","0","0","0","1.85","1","292","10134","0","0","","-50","1.5","0","1","0","3","5"
"610136007","0","3","610136501","0","1.1","1","295","10136","0","0","","0","5.5","600","2","0","1","5"
"610136008","0","0","0","0","1.5","1","295","10136","0","84","","-50","1.5","0","1","0","2","5"
"610136009","0","0","0","0","1.5","1","295","10136","0","0","","-50","1.5","0","1","0","3","5"
"610137007","0","0","0","0","0.85","1","295","10137","0","75","","0","5.5","0","1","0","1","5"
"610137008","0","0","0","0","0.85","1","295","10137","0","50","","0","1.5","0","1","0","2","5"
"610137009","0","0","0","0","0.85","1","295","10137","0","0","","0","1.5","0","1","0","3","5"
"610140007","0","3","0","0","1.4","1","298","10140","0","77","","0","5.5","0","1","0","1","5"
"610140008","0","0","0","0","1.4","1","298","10140","0","52","","0","1.5","0","1","0","2","5"
"610140009","0","0","0","0","1.4","1","298","10140","0","0","","0","1.5","0","1","0","3","5"
"610142007","0","3","0","0","1.45","1","301","10142","0","76","","-33","5.5","0","1","0","1","5"
"610142008","0","3","610142502","0","1.23","1","301","10142","0","0","","-40","1.5","600","2","0","2","5"
"610142009","0","0","0","0","1.45","1","301","10142","0","0","","-33","1.5","0","1","0","3","5"
"610144007","0","3","0","0","1","1","304","10144","0","65","","-33","5.5","0","1","0","1","5"
"610144008","0","3","610144502","0","0.85","1","304","10144","0","0","","-40","1.5","600","2","0","2","5"
"610144009","0","0","0","0","1","1","304","10144","0","0","","-33","1.5","0","1","0","3","5"
"610146007","0","3","610146501","0","0.87","1","307","10146","0","0","","-45","5.5","600","2","0","1","5"
"610146008","0","0","0","0","1.18","1","307","10146","0","58","","-45","1.5","0","1","0","2","5"
"610146009","0","0","0","0","1.18","1","307","10146","0","0","","-45","1.5","0","1","0","3","5"
"610148007","0","3","610148501","0","1.4","1","310","10148","0","0","","-50","5.5","600","2","0","1","5"
"610148008","0","0","0","0","1.7","1","310","10148","0","68","","-50","1.5","0","1","0","2","5"
"610148009","0","0","0","0","1.7","1","310","10148","0","0","","-50","1.5","0","1","0","3","5"
"610150007","0","3","0","0","1.35","1","313","10150","0","71","","-33","5.5","0","1","0","1","5"
"610150008","0","3","0","0","1.35","1","313","10150","0","50","","-33","1.5","0","1","0","2","5"
"610150009","0","0","0","0","1.35","1","313","10150","0","0","","-33","1.5","0","1","0","3","5"
"610152007","0","4.8","610152501","0","0.7","1","316","10152","0","0","","20","5.5","600","2","0","1","5"
"610152008","0","0","0","0","0.96","1","316","10152","0","81","","30","1.5","0","1","0","2","5"
"610152009","0","0","0","0","0.96","1","316","10152","0","0","","30","1.5","0","1","0","3","5"
"610154007","0","3","0","0","1.25","1","319","10154","0","68","","-33","5.5","0","1","0","1","5"
"610154008","0","3","610154502","0","1","1","319","10154","0","0","","-10","1.5","600","2","0","2","5"
"610154009","0","0","0","0","1.25","1","319","10154","0","0","","-33","1.5","0","1","0","3","5"
"610156007","0","3","610156501","0","0.85","1","322","10156","0","0","","5","5.5","600","2","0","1","5"
"610156008","0","3","0","0","1.11","1","322","10156","0","75","","-10","1.5","600","1","0","2","5"
"610156009","0","0","0","0","1.11","1","322","10156","0","0","","-10","1.5","0","1","0","3","5"
"610158007","0","3","610158501","0","1.5","1","325","10158","0","0","","-40","5.5","600","2","0","1","5"
