75556a4d4b2d5f0f41f886cfe1c08d8ce7c754ea826c6261de4efc21640e6ac8,44b05c7a7cbd663c06e4f2c8412821c9c3b36246d977803aa6ab6baf03fbd8fc,8c25c60bca72f85824530943a7a52dc510f52e0c321fe109ed1a7d625a1a62e3,ee2c9f1dbf9cca194e6e410d39cdae4c66f24ab441234f137f07c2396cee3b99,b8011ad1fe06a2eb5182f5f248c585c72f76d450a7268f6bb308b6822c1ad914,135092f4163ce78c1363570b98dbd2bf05ff45356f449b7d6b4cec7c80b5bb81,41aabb0e0cf985b8bf39b6a02e1aba4b61f83404e9449c0977ff1530d44011bd,34e2a82120ea32fdad9a92000cfa8419557ec2a3a40a54b9a0f641ee45627fba,a332aa9a59a5e79c770feb4db567768814994df633eee08f57ef845952442603,b2709945e6105a62162c4e4904e865aac6b87b2b1906bd558e4e0831bfa1aede,424132d75a0e39f32971ee572dbcc5aa098b9446542a0881dde246137e1524ce
"-190","1010001","1.8","0","1500","1","-140","1","112511","omp_talk_worry","1"
"-190","1010002","1.8","1","1500","1","140","1","112411","omp_idle_normal","1"
"1","1010003","1","","0","31","0","1","1","","1"
"","1010004","","","","93","","1","","","1"
"","1010005","","","0","21","0","vo_omp_7001","vo_omp_7001_000","","1"
"1","1010006","","","10","11","1","112511","ウヅキ、大丈夫？\n夜営続きで疲れてない？","","1"
"","1010007","","","","91","","0","","","1"
"","1010008","0","","1","3","","112511","omp_idle_worry","","1"
"","1010009","0","","1","3","","112411","omp_talk_joy1","","1"
"","1010010","","","0","21","0","vo_omp_7001","vo_omp_7001_001","","1"
"1","1010011","","","10","11","1","112411","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","","1"
"","1010012","","","","91","","0","","","1"
"","1010013","0","","1","3","","112411","omp_psn_20","","1"
"","1010014","0","","1","3","","112511","omp_talk_normal","","1"
"","1010015","","","0","21","0","vo_omp_7001","vo_omp_7001_002","","1"
"1","1010016","","","10","11","1","112511","そっか\nウヅキはどんなときも楽しそうだよね","","1"
"","1010017","","","","91","","0","","","1"
"","1010018","0","","1","3","","112511","omp_idle_normal","","1"
"","1010019","0","","1","3","","112411","omp_talk_sad","","1"
"","1010020","","","0","21","0","vo_omp_7001","vo_omp_7001_003","","1"
"1","1010021","","","10","11","1","112411","もしかして…\nリンちゃんは楽しくないですか？","","1"
"","1010022","","","","91","","0","","","1"
"","1010023","0","","1","3","","112411","omp_idle_sad","","1"
"1","1010024","0","0.1","0","3","omp_idle_surprise1","112511","omp_surprise","","1"
"","1010025","","","0","21","0","vo_omp_7001","vo_omp_7001_004","","1"
"1","1010026","","","10","11","1","112511","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","","1"
"","1010027","","","","93","","2.5","1","","1"
"","1010028","0.2","","1","3","","112511","omp_talk_normal","","1"
"","1010029","","","","91","","1010026","","","1"
"","1010030","0","","1","3","","112511","omp_idle_normal","","1"
"","1010031","0","","1","3","","112411","omp_talk_joy2","","1"
"","1010032","","","0","21","0","vo_omp_7001","vo_omp_7001_005","","1"
