6d76f89cdc9ea8fbe65c17a9cc30536d5a673fc07ef0eb454a14215fb92cc32d,2889cdf0b16e63ce1563200b85f5ebc50855e2deef03e0e7cd7b978099bdb069,7c8fd1c44b371f4afacc91a1f0850816637a0464242984e0b74a9236449f74bf
"1","2","1"
"2","1","2"
"3","3","3"
"4","2","4"
"5","2","5"
"6","2","6"
"7","2","7"
"8","2","8"
"9","2","9"
"10","2","10"
"11","2","11"
"12","2","12"
"13","1","13"
"14","1","14"
"15","1","15"
"16","1","16"
"17","1","17"
"18","1","18"
"19","2","19"
"20","4","20"
"21","2","21"
"22","2","22"
"23","5","23"
"24","5","24"
"25","5","25"
"26","6","26"
"27","6","27"
"28","6","28"
"29","7","29"
"30","8","30"
"31","8","31"
"32","9","32"
"33","9","33"
"34","10","34"
"35","10","35"
"36","11","36"
"37","11","37"
"38","12","38"
"39","12","39"
