bea8f5a2adc331f3c59c4f8ce81d312fa0893594cc8f91dc828c183947419056,0956d288a5dd1b2a96a7d5de0a2600d4f299924f677f9b5df67b3ce635ae1e82,a2b841c204feea9919268eb6afc44628f12a2bfd8c7267db7622b097b81be85f,d1653583004e1288e896232f35e07f060c87607444163a9b89384f8ce4a00bc0,9b1a4f4de8215763914c016d0b57b89f14129fe8c052b9e5cda5912774a1b66f,2feb1544c8a30d3f46a2990fcba0d53cba81be2517692e788d753ac60c8e918f,d66a642cf9876c185540be643d3b550973d0190f4b7687e4652a1ba6f8cd9e61,fdadcd7208104ffa5f07cc06d0175d58e9d258ec3cc8679b95a7ab03a1cc277c,4c27ebee7545befda9a166f8b8f2cc29b48530d5787ea6e83950868452c82ed9,b015530986e3bfc66bac4c0b8fa2e98263b264a53e9f9fe80c92b1ee76f92b31,f8d7426cb945a6c5c914c7bd29f0d08f873316a144a5db4763b20f8535a54e81,561143707b49fb29733dca831fd716a4f1bd287d7abdf54ddb70ae904625948e,58944f0c3937f293f97d6f2f1344c26c9984bcef2b9aa9179cd46c30f6fa4ec0,826a18b910a0e7cd6f815b1fab7c664acef656fee3caa382211c46cbeee82654,81fa7a6a2f620dd7d4f1fc9826d1babd011244bf969e93aa7e9715e1624a550c
"20012","2","1","0","1","0","1","40001","7","0","0","0","0","20011","2001"
"20022","2","1","0","1","0","1","40001","7","0","0","0","0","20021","2002"
"20032","2","1","0","1","0","1","40001","7","0","0","0","0","20031","2003"
"20042","2","1","0","1","0","1","40001","7","0","0","0","0","20041","2004"
"20052","2","1","0","1","0","1","40001","7","0","0","0","0","20051","2005"
"20062","2","1","0","1","0","1","40001","7","0","0","0","0","20061","2006"
"20072","2","1","0","1","0","1","40001","7","0","0","0","0","20071","2007"
"20082","2","1","0","1","0","1","40001","7","0","0","0","0","20081","2008"
"20092","2","1","0","1","0","1","40001","7","0","0","0","0","20091","2009"
"20102","2","1","0","1","0","1","40001","7","0","0","0","0","20101","2010"
"20112","2","1","0","1","0","1","40001","7","0","0","0","0","20111","2011"
"20122","2","1","0","1","0","1","40001","7","0","0","0","0","20121","2012"
"20132","2","1","0","1","0","1","40001","7","0","0","0","0","20131","2013"
"20142","2","1","0","1","0","1","40001","7","0","0","0","0","20141","2014"
"20152","2","1","0","1","0","1","40001","7","0","0","0","0","20151","2015"
"20162","2","1","0","1","0","1","40001","7","0","0","0","0","20161","2016"
"20172","2","1","0","1","0","1","40001","7","0","0","0","0","20171","2017"
"20182","2","1","0","1","0","1","40001","7","0","0","0","0","20181","2018"
"20192","2","1","0","1","0","1","40001","7","0","0","0","0","20191","2019"
"20202","2","1","0","1","0","1","40001","7","0","0","0","0","20201","2020"
"20212","2","1","0","1","0","1","40001","7","0","0","0","0","20211","2021"
"20222","2","1","0","1","0","1","40001","7","0","0","0","0","20221","2022"
"20232","2","1","0","1","0","1","40001","7","0","0","0","0","20231","2023"
"20242","2","1","0","1","0","1","40001","7","0","0","0","0","20241","2024"
"20252","2","1","0","1","0","1","40001","7","0","0","0","0","20251","2025"
"20262","2","1","0","1","0","1","40001","7","0","0","0","0","20261","2026"
"20272","2","1","0","1","0","1","40001","7","0","0","0","0","20271","2027"
"20282","2","1","0","1","0","1","40001","7","0","0","0","0","20281","2028"
"30012","1","1","0","1","0","1","40001","7","0","40","0","0","30011","3001"
"30022","1","5","0","1","0","1","40001","7","0","40","0","0","30021","3002"
"30032","1","6","0","1","0","1","40001","7","0","40","0","0","30031","3003"
"30042","1","6","0","1","0","2","40001","0","0","-58","0","0","30041","3004"
"30052","1","1","0","1","0","1","40001","-20","0","-42","0","0","30051","3005"
"30062","1","5","0","1","0","1","40001","-20","0","-42","0","0","30061","3006"
"30072","1","1","0","1","0","1","40001","40","0","0","0","0","30071","3007"
"30082","1","5","0","1","0","1","40001","40","0","0","0","0","30081","3008"
"30092","1","6","0","1","0","1","40001","40","0","0","0","0","30091","3009"
"40012","1","1","0","2","0","1","40001","0","0","0","0","0","40011","4001"
"40022","1","5","0","2","0","1","40001","0","0","0","0","0","40021","4002"
"40052","1","1","0","2","0","1","40001","0","0","0","0","0","40051","4005"
"40062","1","5","0","2","0","1","40001","0","0","0","0","0","40061","4006"
"40072","1","6","0","2","0","2","40001","0","0","0","0","0","40071","4007"
"40092","1","6","0","2","0","2","40004","0","0","0","0","0","40091","4009"
"40102","1","1","0","2","0","1","40004","0","0","0","0","0","40101","4010"
"40112","1","5","0","2","0","1","40004","0","0","0","0","0","40111","4011"
"40122","1","6","0","2","0","1","40001","0","0","0","0","0","40121","4012"
"40132","1","1","0","2","0","1","40004","0","0","0","0","0","40131","4013"
"40142","1","5","0","2","0","1","40004","0","0","0","0","0","40141","4014"
"40152","1","6","0","2","0","1","40001","0","0","0","0","0","40151","4015"
"40162","1","1","0","2","0","1","40004","0","0","0","0","0","40161","4016"
"40172","1","5","0","2","0","1","40004","0","0","0","0","0","40171","4017"
"40182","1","6","0","2","0","1","40001","0","0","0","0","0","40181","4018"
