a3d1a1f0bcd22c0bf82e1cff9f8a22b6bee48f0a954a1576341142a88c20a7f8,847b88b1a5f0ca6490a901059ba8b2738cf05ffce5e12ea54e0a57a7262b4e30,7ca2c340719788f1ffc1c577792499f632fdba1be0b1c236ac274d9055150f30,bed5d5650646e68a7d0cbd8c7ec9a4d25f60d2b2eb71b38ab64904939b173db9,e37b5aecb916f78548ca2a29126972a9dd6986514c78f0af93829869f40bfee9,8a9e1dee4d0056a5367afd417426052cb17c8d0e33e080a216dc55bfe880994f,fc08d0cf29a704c7707d5da65edc93b72a3bcec29a2bfea6423217ec9c2f374f
"31001","0.8","0","-10","0.8","300900","100721"
"31002","0.7","0","-40","0.7","302300","100722"
"31003","0.8","0","-40","0.8","302400","100261"
"31004","0.9","0","-20","0.9","302500","100283"
"31005","0.9","0","-10","0.9","301700","101611"
"31006","0.7","0","-40","0.7","310100","102174"
"31007","0.3","-80","-60","0.3","399800","102751"
"31008","0.9","-20","20","0.9","314901","103001"
"31009","0.7","30","-110","0.7","318405","103232"
"31010","1","0","-10","1","320100","103371"
