eb49dfa013bb84d576f8a45cd1b6f8ed0f186398909354a2d2fe6b12d2742e5f,059bee1a4f6152af4189d25a195e69199aaff4ffa5b6eb3c966fe05792754402,3fbe86707b929f95bbbbe93381209982ac6d569c15e5c2a3bf5a8edd9aa8e760,07ec3abadf3618991602ed88bd41feef7625b28a7da3fd74e2ca815bfa252628,87813031bf537cb7c3b16c88529740e4f4f517397acd26b3890663ef21139a59,1cec244565f3d6cf0715de57bb89d20ec54f9b6b32e50fd9bdf49cacae6b3301,47f403fdd3f6ef640601fd35437757e2b8a6cd6bd9ebe364d0714413848fbfce,46bd416e99c19ca231bb61370e821c2427f392b2466eedde1df8ab1f3f740180,580b879765410010c0abccd59322ec7b2a83009ffdb4ccb8e5c4627e0e57eaa6,fdf2e743442a510813ec9975029b8f9cdab68b82b1566720c7951c7c0127f2b6,ed10542e1dfb800aaf46b99da22a2a24a190f87aa67d0e9f096b751782f0f4df
"","","se_travel_start_1pt","se_travel","","101110001","0","","23","","111"
"","","10010","10010","1","101110002","0","0","31","1","111"
"","","10011","10011","1","101110003","0","0","31","1","111"
"","","10020","10020","0","101110004","0","0","31","1","111"
"0","<weapon>_idle","1001001","2","0.68","101110005","62","-150","1","-150","111"
"0","<weapon>_idle","1001002","2","0.68","101110006","61","-250","1","-75","111"
"0","<weapon>_idle","1001003","2","0.68","101110007","63","-350","1","-180","111"
"0","<weapon>_idle","1001004","2","0.68","101110008","61","-450","1","-75","111"
"0","<weapon>_idle","1001005","2","0.68","101110009","62","-550","1","-150","111"
"0","","1001001","10012","1","101110010","-150","-150","31","0.68","111"
"0","","1001002","10012","1","101110011","-250","-75","31","0.68","111"
"0","","1001003","10012","1","101110012","-350","-180","31","0.68","111"
"0","","1001004","10012","1","101110013","-450","-75","31","0.68","111"
"0","","1001005","10012","1","101110014","-550","-150","31","0.68","111"
"","","10030","10030","0","101110015","0","0","31","1","111"
"","","10031","10031","0","101110016","0","0","31","1","111"
"","","0","","","101110017","","","91","","111"
"","","1","10030","","101110018","","","32","","111"
"","","0","0","","101110019","","","91","","111"
"","","<weapon>_run","1001001","0","101110020","1","","3","0","111"
"","","<weapon>_run","1001002","0","101110021","1","","3","0","111"
"","","<weapon>_run","1001003","0","101110022","1","","3","0","111"
"","","<weapon>_run","1001004","0","101110023","1","","3","0","111"
"","","<weapon>_run","1001005","0","101110024","1","","3","0","111"
"","","800","1001001","","101110025","-150","3","2","0","111"
"","","700","1001002","","101110026","-75","3","2","0","111"
"","","600","1001003","","101110027","-180","3","2","0","111"
"","","500","1001004","","101110028","-75","3","2","0","111"
"","","400","1001005","","101110029","-150","3","2","0","111"
"","","800","1001001","","101110030","-150","3","33","0","111"
"","","700","1001002","","101110031","-75","3","33","0","111"
"","","600","1001003","","101110032","-180","3","33","0","111"
"","","500","1001004","","101110033","-75","3","33","0","111"
"","","400","1001005","","101110034","-150","3","33","0","111"
"","","1","10020","","101110035","","","32","","111"
"","","0","2.5","","101110036","","","93","","111"
"","","1","10031","","101110037","","","32","","111"
"","","0","0.4","","101110038","","","93","","111"
"","","0","0","","101110039","","","91","","111"
"","","se_travel_start_2pt","se_travel","","102110001","0","","23","","211"
"","","10010","10010","1","102110002","0","0","31","1","211"
"","","10011","10011","1","102110003","0","0","31","1","211"
"","","10020","10020","0","102110004","0","0","31","1","211"
"0","<weapon>_idle","1001001","2","0.68","102110005","62","-100","1","-90","211"
"0","<weapon>_idle","1001002","2","0.68","102110006","61","-170","1","-15","211"
