de91574469bcff69bc8fb3500bbe362ece8cde7849b404352ce19e7dc7df7389,3d1f292780520ea87ff148b270fe20399a9ce0f0ff0916bfb9a389823a90a901,31d7fc44113d0acd2efa61f1136bc62ca857eb006319264c68a602ef8e1202ce,a3a4f86b1f837ad469f59f5813f9670adb062af56c1d092fc881937837a7b48a,29e18be8eb4e10bdbd243c07fee35771256424d9a2cf7d8174ebe32724233b90,49d87fd215e0bee895d2af78140de4282d7c39031cfd50820811055d310deb76,4dd50b9dc73f79a602c8cc71fd819bf593c5d892c3d61245f8d9613b772d3146,22142ff825435adfa4a777a3b56389357a0e9015923a2c5376a29181f7820314,860e625463f92a1837d14551164739763c00974a48c9ac1832bbc7b07641257d,99c85843532ef41b2d8e10568284e2403e9a091ecb1d01142d594caac724eb23,dd6110b8b34d485806ffc14f0610f681dd20b37849aedf06a87dcd63ed4fd160,a795e6b6ae3ff829fd1eeae1eee3c2aac849a422a0d9868fb6e4cf40c77b6287,107c4ee2bc90952b6d4c2d829765f9d4d2a9f5aef2c7a4574365d38ca1f837a9,fe93aa1c18617f01270333d34dda398426d320e084eec5c9e0bfd4bc03b99440,45cc7bd46ec2dc8eef156d461730dbcb9abefe471c3b1722f7d9a7ebd9551005,565ee3e20e2a68078e36096837bac8c248a92085a67fdba43aa4e3a5138c53ab,b57d139019b7c9608b4f0aa009644588e2da4a1bb40db8c78cb02aa877a073a6,e71b65ae497281b7f0428cb3abf31e836b1fa53df37476cc654c2f0a96009b44,7e60b8802882016f465acb93a262cca98a25473c87d9ca89e94e3dab25a083bd
"100111","6","1","1","-100","6","6","100701","6","100003","100701","90","105501","123001","0","6","103401","1001","112201"
"100112","6","2","1","-100","6","6","103401","6","100003","106601","90","100901","123001","0","6","103401","1001","105101"
"100113","6","3","1","-100","6","6","110301","6","100003","112701","90","110301","101801","0","6","113401","1001","106901"
"100121","5","1","2","-100","4","4","100201","4","100003","102901","90","117301","100201","0","4","103401","1001","123001"
"100122","4","2","2","-100","4","4","104001","4","100003","104801","90","105101","104001","0","4","117301","1001","110301"
"100123","4","3","2","-100","4","5","101401","4","100003","101401","90","118501","111001","0","4","118001","1001","100801"
"100131","3","1","3","-100","2","2","112201","1","100003","100701","90","112201","100801","0","1","117301","1001","123001"
"100132","1","2","3","-100","2","1","105501","2","100003","100501","90","103401","112201","0","1","106601","1001","105501"
"100133","2","3","3","-100","1","2","124501","3","100003","105401","90","113401","124501","0","1","104801","1001","110301"
"100211","6","1","1","-100","6","6","111401","6","100003","106601","90","117301","111401","0","6","103401","1002","105001"
"100212","6","2","1","-100","6","6","113401","6","100003","105201","90","113401","100801","0","6","105401","1002","123001"
"100213","6","3","1","-100","6","6","105501","6","100003","100501","90","105501","107701","0","6","103401","1002","123001"
"100221","4","1","2","-100","4","5","122801","4","100003","122801","90","124101","119001","0","4","103401","1002","100901"
"100222","4","2","2","-100","4","4","100501","5","100003","105201","90","103401","123001","0","4","100501","1002","121101"
"100223","5","3","2","-100","4","4","118501","5","100003","100701","90","105501","118501","0","4","103401","1002","123001"
"100231","1","1","3","-100","2","1","108901","3","100003","105201","90","103401","123001","0","1","108901","1002","102601"
"100232","2","2","3","-100","1","2","104801","3","100003","104801","90","113401","123001","0","1","102601","1002","112201"
"100233","2","3","3","-100","2","1","106001","7","100003","100701","90","100501","106001","0","1","114701","1002","110301"
"100311","6","1","1","-100","6","6","102901","6","100003","102901","90","103401","125101","0","6","122801","1003","123001"
"100312","6","2","1","-100","6","6","180301","6","100003","105401","90","180301","111001","0","6","106601","1003","110301"
