a9870b17ecefa8d80f435400aea4daa82a65b2e47c705914c2fafbcc555a91c6,21350e71480b9c8cbacc28ed699ee69f20eccfe72b93e46e0fa9dfc8ced87ca5,6422d8796abadd46e5aa2293445e4a48ec5b3a0fdd3675589cac9152e2493ebf,cfa3ccf4cd7c89a5382852632c9c949b20b2dcb0bfae06731842f08f06496fd2,420e88d474885d1aef0e820d478ea3327328c95f944075c2b50223a1789accf9,d9a8c369acd2658a84b5d4c02587f4841cb05867a0e43532b91bb2ef99294a26
"0","1","10009106","1","10009101","1"
"0","1","10009112","1","10009101","2"
"0","1","10010110","1","10010101","3"
"0","2","1001901","1","10019101","4"
"0","1","10021112","1","10021101","5"
"0","1","10025109","1","10025101","6"
"500810","3","5025001","2","10025","7"
"0","1","20009106","1","20009101","8"
"0","1","20009112","1","20009101","9"
"0","1","20010110","1","20010101","10"
"501001","3","5042001","2","10042","12"
"0","2","2001501","1","20015101","13"
"501031","3","5044001","2","10044","14"
"0","1","20016112","1","20016101","15"
"501103","3","5046002","2","10046","16"
"0","1","10049109","1","10049101","17"
"0","1","10066112","1","10066101","19"
"501291","3","5066005","2","10066","20"
"501001","3","5042001","2","10069","21"
"501031","3","5044001","2","10071","22"
"501341","3","5068001","2","10068","23"
"501353","3","5070004","2","10070","24"
"500016","3","5070005","2","10070","25"
"501364","3","5072004","2","10072","26"
"501365","3","5072006","2","10072","27"
"501103","3","5046002","2","10073","28"
"501383","3","5074001","2","10074","29"
"0","1","10076112","1","10076101","30"
"505036","3","5076005","2","10076","31"
"501451","3","5078004","2","10078","32"
"501463","3","5080005","2","10080","33"
"0","1","10082105","1","10082101","34"
"0","1","10082108","1","10082102","35"
"0","1","10082111","1","10082103","36"
"501160","3","5082002","2","10082","37"
"501031","3","5082004","2","10082","38"
"501483","3","5082005","2","10082","39"
"500368","3","5084001","2","10084","40"
"510306","3","5084002","2","10084","41"
"500039","3","5084003","2","10084","42"
"500368","3","5085002","2","10085","43"
"510203","3","5085003","2","10085","44"
"500272","3","5085004","2","10085","45"
"501501","3","5085005","2","10085","46"
"501810","3","5088005","2","10088","47"
"501001","3","5042001","2","20025","50"
"501541","3","5090002","2","10090","51"
"501031","3","5044001","2","20026","55"
"0","1","10093112","1","10093101","56"
"501291","3","5066005","2","10093","57"
"501103","3","5046002","2","20027","58"
"501031","3","5092001","2","10092","59"
"501551","3","5092004","2","10092","60"
"501593","3","5094001","2","10094","61"
"501341","3","5068001","2","10095","62"
"500810","3","5025001","2","20018","67"
"501613","3","5096002","2","10096","68"
"501353","3","5070004","2","10097","73"
"500016","3","5070005","2","10097","74"
"501031","3","5098000","2","10098","75"
"0","1","10098104","1","10098101","76"
