3c4d8d0ae9eac4e8f5e4f8c64879332c4bd4530e4901d44284f4d9cd5bc828cc,83f127721cc39f91074e029c6d1ebc927501ba94c221fd8e1a0ac9f534b2439f,44b1d61bbcf1fc7cdb0f8bebc19e90ef976b3655b87c262e01cdd25656210fdb,982f18410a0036af41f6250e5d7d61079e9038da0604920659e32e730e666e86,31bcb8e0591dfb82f801f02cdc3b700a365d86ee8b6ae55637b88a202c1212bc,5b8ddfdd7766bcfecf57f9c2bf8862a9d584857abcf1ef01e86702d5fb612404,c6c9662556d5f5dc030a76b52944041e0d048d4f285b28ba14f1507de33631a9,9bdac3130dac9ea415c31aac1ae3a7ed15882f56248db3ba23c1eac115c309c0,f3a9646abc11ff30407dc54317deebd74461fa5678fae0ca1a1cdd51b1bea805,2d87da94653c1402e68efd5f24ee13a9adeeca0fd04ffbbbb09d8935f679645e,c9edf50b73990e4a90a6d9a3e430e0cc0dadea40e278bd79537990bb8bcb8d66
"1","5","100","idle_normal","1","-216","1","1.4","1001","-103","1"
"1","31","-57","","13","-140","13","0","1002","1",""
"1","31","-57","","14","-140","14","0","1003","1",""
"1","91","","","0","","0","","1004","",""
"1","3","0","","top_luis_arm_crossed_in","top_luis_arm_crossed_idle","1","0.2","1005","1","0"
"1","93","","","0","","4","","1006","",""
"1","3","0","","top_luis_approach_in","top_luis_approach_idle","1","0.2","1007","1","0"
"1","93","","","0","","3.5","","1008","",""
"1","3","1","","top_luis_thinking","","1","0.2","1009","",""
"1","93","","","0","","3.5","","1010","",""
"1","3","1","","top_luis_walk_think","","1","0.2","1011","",""
"1","2","-103","","-495","2","1","","1012","0",""
"1","93","","","0","","2","","1013","",""
"1","4","","","0","","1","","1014","",""
"1","2","-103","","-216","2","1","","1015","0",""
"1","93","","","0","","2","","1016","",""
"1","3","1","","top_luis_notice","","1","0","1017","",""
"1","93","","","0","","1","","1018","",""
"1","3","1","","top_luis_walk_jog","","1","0.2","1019","",""
"1","2","-130","","-100","0.5","1","","1020","0",""
