e8bef9cb6dcf6f3f572f6f9bcb7744bbc5ded2203078d681cfe3fd071b230019,2e79ca3aee48ec25eb4a4d3cf63968e8e4159d080eaa21a7f62c15bb2c5c0508,676539c9236cf68d278ded85aabeed1928465989911b32790d0b5d813d6bd461,252d8f722407b97f08971c14e7a90dc9d547a9ddafcd3c6592e2c72a58cbe39a,0eb8092b454c37a5af0dc30f275dde12a1305f28b3ff7ae374eb6fb9a28caa74,07e6edd52631df85644c6e1b0654fbe7876c21958171f095d0cfd758b4bced84,ae997efa060b71072f001cd4d567c66671fc28c3831759853b913778bfc2c79d,1e11ff7e0c62b999da4cb31f953fb7dbcfe4f2066e499fe4b3a573584e7c55e2,db4480129c0ce82c3f8ae8a8277494c09ffc1a3847e12da294fdb152598096c7,96b629b81a32236d8a0a92ccf6fa2b7289cc9261197740b77a80140ebeb3dfed
"0","懐かしき過去の結晶","0","10110","20059104","5110601","0","0","オープニング","0"
"30","リーダーはどっちだ！","0","10110","20059104","5110602","1","91002","オクトーの追想　その1","8"
"30","勝ちたい理由","0","10110","20059105","5110603","1","91002","オクトーの追想　その2","8"
"30","聞き上手な誓約女君","0","10110","20059108","5110604","1","91002","クリスティーナの追想　その1","8"
"30","秘めたる本当の実力……？","0","10110","20059109","5110605","1","91002","ダイゴの追想　その1","8"
"30","友と書いてライバルと読む","0","10110","20059110","5110606","1","91002","ラビリスタの追想　その1","8"
"30","悪と正義の高笑い","0","10110","20059112","5110607","1","91002","マサキの追想","8"
"30","プリンセスナイトとは","0","10110","20059113","5110608","1","91002","ラジラジの追想　その1","8"
"30","まだ見ぬ日々に想い馳せて","0","10110","20059114","5110609","1","91002","オクトーの追想　その3","8"
"30","跳躍王のお仕置き","0","10111","20060103","5111602","1","91002","ラジラジの追想　その2","8"
"30","二人なら絶対だって","0","10111","20060105","5111603","1","91002","クリスティーナの追想　その2","8"
"30","虎の尾を踏む","0","10111","20060108","5111604","1","91002","ダイゴの追想　その2","8"
"30","一番怪しい七冠は誰だ","0","10111","20060109","5111605","1","91002","ラビリスタの追想　その2","8"
"30","簡単すぎる問題","0","10111","20060110","5111606","1","91002","ネネカの追想","8"
"30","魔物使いは語る","0","10111","20060113","5111607","1","91002","オクトーの追想　その4","8"
"30","悪党たちの目指す未来","0","10111","20060113","5111608","1","91002","オクトーの追想　その5","8"
"1","過去を超える思い出を","1","10111","0","5111609","0","9000222","エンディング","16"
