a6bcc89881dc84607f7d08cf88a1dce3acfb736fd013244207af52b0ef2ba8fd,eb7fffd8eb1ff71f2a8516be69f5f489a6b593dffe5a457698c45e934cd16504,a0d69534f8c38a8b0365377eaaa46fd7e5fa25b7e9e8c314d0a1cc3ccaf06c92,4f73cc20f160bf8ed8f5e1103a8b5658c2b0d843edd518ce842ad464a55ca7dc,ec34c5c2b716ba649573d3a80f0fe30341b3c6a2411611ebe8c63a07c21068d5,d81da0e0076ddd242a64245871ae266d46df8862e4dfddd72cbc1cea350cd8cf,fb35139916ae51fb67327f0cae91cadf695376f7a106d7431e70f9e84175da77,7acff37e0d9c92699291e1fb15826b72345f5aeddc7bbe4a92ff53b2ec60ceaf,ec2c21366ad57995fdf8d238330936c922a7299810d07bfe35143eb8b1597f86
"2","1","","1","21600","","23001","1","2"
"2","1","","1","19800","","23001","2","3"
"2","1","","1","18000","","23001","3","3"
"2","1","","1","16200","","23001","4","3"
"2","1","","1","14400","","23001","5","4"
"2","1","","1","12960","","23001","6","4"
"2","1","","1","11520","","23001","7","5"
"2","1","","1","10080","","23001","8","6"
"2","1","","1","8640","","23001","9","7"
"2","1","","1","7200","","23001","10","8"
"2","1","","1","5760","","23001","11","10"
"2","1","","1","5040","","23001","12","12"
"2","1","","1","4320","","23001","13","14"
"2","1","","2","7200","","23001","14","16"
"2","1","","2","5400","","23001","15","18"
"2","1","","2","5040","","23001","16","18"
"2","1","","2","4800","","23001","17","18"
"2","1","","2","4500","","23001","18","20"
"2","1","","2","4320","","23001","19","20"
"2","1","","3","6000","","23001","20","24"
"2","1","","3","5700","","23001","21","48"
"2","1","","3","5400","","23001","22","48"
"2","1","","3","5220","","23001","23","51"
"2","1","","3","4980","","23001","24","54"
"2","1","","3","4800","","23001","25","54"
"2","1","","3","4500","","23001","26","60"
"2","1","","3","4320","","23001","27","60"
"2","1","","3","4200","","23001","28","63"
"2","1","","4","5400","","23001","29","64"
"2","1","","4","5220","","23001","30","68"
"2","1","","4","5040","","23001","31","72"
"2","1","","4","4920","","23001","32","72"
"2","1","","4","4800","","23001","33","72"
"2","1","","4","4680","","23001","34","76"
"2","1","","4","4500","","23001","35","80"
"2","1","","4","4320","","23001","36","80"
"2","1","","4","4260","","23001","37","84"
"2","1","","4","4200","","23001","38","84"
"6","2","","20","21600","","93001","1","80"
"6","2","","24","21600","","93001","2","96"
"6","2","","28","21600","","93001","3","112"
"6","2","","30","21600","","93001","4","120"
"6","2","","32","21600","","93001","5","128"
"6","2","","34","21600","","93001","6","136"
"6","2","","36","21600","","93001","7","144"
"6","2","","38","21600","","93001","8","152"
"6","2","","40","21600","","93001","9","160"
"6","2","","42","21600","","93001","10","168"
"6","2","","44","21600","","93001","11","176"
"6","2","","46","21600","","93001","12","184"
"6","2","","48","21600","","93001","13","192"
"6","2","","50","21600","","93001","14","200"
"6","2","","52","21600","","93001","15","208"
"6","2","","54","21600","","93001","16","216"
"6","2","","56","21600","","93001","17","224"
"6","2","","58","21600","","93001","18","232"
"6","2","","60","21600","","93001","19","240"
"6","2","","62","21600","","93001","20","248"
"6","2","","64","21600","","93001","21","256"
"6","2","","66","21600","","93001","22","264"
"6","2","","68","21600","","93001","23","272"
"6","2","","70","21600","","93001","24","280"
"6","2","","72","21600","","93001","25","288"
"6","2","","74","21600","","93001","26","296"
"6","2","","76","21600","","93001","27","304"
"6","2","","78","21600","","93001","28","312"
"6","2","","80","21600","","93001","29","320"
"6","2","","82","21600","","93001","30","328"
"6","2","","84","21600","","93001","31","336"
"6","2","","85","21600","","93001","32","340"
"6","2","","86","21600","","93001","33","344"
"6","2","","87","21600","","93001","34","348"
"6","2","","88","21600","","93001","35","352"
"6","2","","89","21600","","93001","36","356"
"6","2","","90","21600","","93001","37","360"
"6","2","","91","21600","","93001","38","364"
"2","3","","1","14400","","20001","1","3"
"2","3","","1","9600","","20001","2","5"
"2","3","","1","7200","","20001","3","7"
"2","3","","1","5400","","20001","4","10"
"2","3","","1","3600","","20001","5","15"
"2","3","","1","9600","","20002","6","6"
"2","3","","1","7200","","20002","7","8"
"2","3","","1","4800","","20002","8","12"
"2","3","","1","3600","","20002","9","16"
"2","3","","1","2700","","20002","10","20"
"2","3","","1","10800","","20003","11","6"
"2","3","","1","9000","","20003","12","8"
"2","3","","1","7200","","20003","13","12"
"2","3","","1","5400","","20003","14","16"
"2","3","","1","3600","","20003","15","20"
"2","3","","1","2880","","20003","16","30"
"2","3","","1","12600","","20004","17","7"
"2","3","","1","11400","","20004","18","8"
"2","3","","1","10200","","20004","19","9"
"2","3","","1","9300","","20004","20","10"
"2","3","","1","8700","","20004","21","10"
"2","3","","1","6600","","20004","22","13"
"2","3","","1","6300","","20004","23","14"
"2","3","","1","6000","","20004","24","15"
"2","3","","1","5700","","20004","25","15"
"2","3","","1","5400","","20004","26","16"
"2","3","","1","5100","","20004","27","17"
"2","3","","1","4860","","20004","28","18"
"2","3","","1","4620","","20004","29","19"
"2","3","","1","4440","","20004","30","20"
