ecd499e0f59b22c1dce43fc2985577fb387805e51e591d0e51e8430ec7ae5013,1bdfb4ae67a4aeddd03013450bcbb3efa408cfa1ed12b3b4feb27bed69df0a6f,0032066c4c53a5f2f33e2de3a5268aaf891b7c6610e6e5d4ef8f8d3b18c4c3d0,fc7822d1a3a2e2dd836c2fc5fae22868b844c80ff2c43bf1f522080ea41d8aa7
"スロウ","8","1","1"
"ヘイスト","8","2","2"
"麻痺","8","3","3"
"凍結","8","4","4"
"束縛","8","5","5"
"睡眠","8","6","6"
"スタン","8","7","7"
"石化","8","8","8"
"拘留","8","9","9"
"拘留(ダメージ)","9","10","0"
"毒","9","11","1"
"火傷","9","12","2"
"呪い","9","13","3"
"魅了","11","14","0"
"暗闇","12","15","-1"
"沈黙","13","16","-1"
"即死","30","17","-1"
"ノックバック","3","18","-1"
"混乱","11","19","1"
"猛毒","9","20","4"
"千里眼","56","21","-1"
"回復阻害","59","22","-1"
"恐慌","61","23","-1"
"刻印付与","60","24","-1"
"畏怖","62","25","-1"
"トナカイ化","69","26","-1"
"気絶","8","27","10"
"呪詛","9","28","5"
"ＨＰ変化","70","29","-1"
"時間停止","8","30","11"
"ＨＰ回復量減少","76","31","-1"
"弱体被ダメージ上昇","78","32","-1"
"行動時毒ダメージ","79","33","1"
"スタン（別枠）","8","34","14"
"毒（別枠）","9","35","7"
"呪い（別枠）","9","36","8"
"混乱（別枠）","11","37","2"
"結晶化","8","38","13"
"スロウ(加算可能)","83","39","1"
"ヘイスト(加算可能)","83","40","2"
"バフ消去","49","41","3"
"バリア消去","49","42","10"
"黒炎","9","43","9"
"ヘイストフィールド","99","44","2"
"スロウフィールド","99","45","1"
"バフ消去（指定）","49","46","20"
"殴り刻印（攻撃ヒット）","101","47","5"
"行動時界雷ダメージ","79","48","10"
"状態異常時間延長","112","49","9"
"執着状態","116","50","1"
"アラクネ拘束","117","51","15"
"操糸","11","52","3"
