99ed6c7926e465e59d4c9e15e1d50111629bfeadd8d8c366c601abd3a0c2b81d,74a5f2a2665a05304516573bc6ca794d7e3847978427112d3890d495cea96319,be71a16f8f853aa344f19233c7c1c557e6dc1d6f6c20c403d1b0475c42b65431,f957587c1b56ab33881c6c733b43dac8ed5cadcdec9cb7c30ce7c2382a54c638,a46e049d1d1b234bafe20886da1c191fdafbe6010084944ead9dd459050ae2a5,4f2df695ad69b9ec02ae357f0d6839af1c64815b4e92f31901e6a96867c2c7ff,5f80f9156d3fabda7d7ae845c8d394b124096caa30c41a3f12f5e921a21c5341,eb0eae2cdad117cf46897b115d10fffcaa580ba789a50b7366b0743fe92a9f64,8a3a10f662e61829d1eb6f82a84e24e73d84b8a97ae33295f3cd1e85e7d13767,69338ba1f33280779f300588030dd801eb2e3634f6244b6bc9e1e2463cb65a17
"ハグ","0","2110001","0","バク","バグ","1","0","0","パグ"
"テイク","0","2110003","0","テクニック","テクノロジー","1","0","0","手首"
"じひびき","0","2110005","0","ふぶき","なだれ","1","0","0","ゆきやけ"
"黒曜石","0","2110006","0","化石","磁石","1","0","0","大理石"
"ガルフ","0","2110007","0","リバー","オーシャン","1","0","0","ミスト"
"バットマーク","0","2110008","0","ラットマーク","アットマーク","1","0","0","カットマーク"
"いつもすずしい場所","0","2110010","0","太陽があたらない場所","太陽の日があたる場所","1","0","0","建物の中の場所"
"ハッピーデート","0","2110011","0","ダブルデート","アップデート","1","0","0","バレンタインデート"
"オブリガード","0","2110012","0","ブルドーザー","ブリザード","1","0","0","バリケード"
"地球","0","2110014","0","月","太陽","1","0","0","火星"
"電話線","0","2110016","0","放物線","地平線","1","0","0","新幹線"
"赤歴史","0","2110018","0","白歴史","黒歴史","1","0","0","青歴史"
"お酢","0","2110019","0","みりん","しょうゆ","1","0","0","みそ"
"手のひら","0","2110021","0","お腹","背中","1","0","0","顔"
"ベニヤ板","0","2110022","0","ガラス板","鉄板","1","0","0","看板"
"バーコード","0","2110023","0","プレスコード","ドレスコード","1","0","0","エンコード"
"やくおとし","0","2110024","0","だるまおとし","こけらおとし","1","0","0","まくおとし"
"ライス","0","2110025","0","コイル","コイン","1","0","0","ライン"
"ナチュラル","0","2110026","0","パラレル","アパレル","1","0","0","パラソル"
"上塗り","0","2110028","0","ぼかし","透かし","1","0","0","薄塗り"
"塗り薬","0","2110031","0","風邪薬","目薬","1","0","0","胃薬"
"馬の耳","0","2110032","0","のれん","ぬか","1","0","0","石の上"
"カナブン","0","2110034","0","なみだ","金棒","1","0","0","豆腐"
"コーラ","0","2110035","0","レモネード","水","1","0","0","サイダー"
"二度","0","2110036","0","一度","三度","1","0","0","四度"
"手ぬぐい","0","2110037","0","髪の毛","たんこぶ","1","0","0","メガネ"
"極楽","0","2110038","0","光","闇","1","0","0","天国"
"ようかん","0","2110039","0","団子","ぼた餅","1","0","0","あんみつ"
"か","0","2110040","0","はえ","はち","1","0","0","あぶ"
"羊","0","2110041","0","猿","馬","1","0","0","猫"
"火","0","2110042","0","風","水","1","0","0","土"
"氷","0","2110043","0","寒","冷","1","0","0","水"
"散","0","2110044","0","韓","朝","1","0","0","脇"
"生米","0","2110045","0","生麦","生姜","1","0","0","生卵"
"先制","0","2110046","0","先生","宣誓","1","0","0","占星"
"希少","0","2110047","0","気象","起床","1","0","0","気性"
"無","0","2110049","0","非","不","1","0","0","未"
"無","0","2110050","0","不","非","1","0","0","未"
"非","0","2110051","0","不","無","1","0","0","未"
"非","0","2110052","0","不","未","1","0","0","無"
"一日千秋","0","2110053","0","馬耳東風","三日坊主","1","0","0","有名無実"
"いぬ","0","2110054","0","ねこ","たぬき","1","0","0","きつね"
"てぶくろ","0","2110056","0","くつひも","たび","1","0","0","あしのうら"
"千","0","2110058","0","十","百","1","0","0","万 "
"八","0","2110060","0","九","十","1","0","0","七"
"アジテーション","0","2111001","0","ジャッジメント","ハッピーエンド","1","0","0","ハイテンション"
