c469b6bd3648f2b7acec074afcd96271f228b8c8fd3025ffabfffc6849647362,8a22827c54d4b68eda7e2d5ed97d548e81e06780bcb8938d1e79cf9689ecafb0,a86c887e67e4eb31632835b95115bde2f7449d0b866048941c485239ee44c838,e20268b5646476280c1542be0c3a26e42d0971f0d3a7d97eb83be1d7b7717de9,de07ab92558cb54082e398216a3161427daca81e95acfbfb244beaf969a05c97,3c6d104b9d0e96d0c9cac86b033b7a01e3830df95007c46940da6a6628c0b30a,47983c5157d73f72ac900ac51b1fe873af95c13b77ebb750bafd59cd36121065,7ab63bfa33a5944228bb855badcf2f93fd8e7916525325f66cd2b5dc3dd6c632,b1a5ba8ae255dd5308663d8c97c26cb46478ae33ae8faab4ee06bca454eee68a,fa397316fc8379df43b4d77162f253197283472887f832fe85810366b1e41f2b,a2e58f382cc3cf684c933706e3d468baf89a6d936d54c08c59317c085031c3f7,963b58e10dbfa06572a3bb12339ac23a63656c830be179d33eb35eca2ebc4130,0e65fc074919bf222d20944e7ccccec68c3ca4ffb7d6c1a9bab6f3584e738039,28655d2ac39c6ddf7e0710f431eae70bcb8539ba23f3a321ef8bad2a97e8a864
"ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","2030/01/01 14:59:59","0","1","カリン","62","3.414","1","2025/01/31 12:00:00","-416.5","2","1","190801","1000001"
"ミッションをクリアして、\n報酬をゲットしましょう！","2030/01/01 14:59:59","0","1","カリン","62","3.099","1","2025/01/31 12:00:00","-416.5","2","2","190801","1000002"
"受け取ることができる\n報酬があるようです\n確認してみてください","2030/01/01 14:59:59","0","1","カリン","63","2.801","1","2025/01/31 12:00:00","-416.5","2","3","190801","1000003"
"報酬がもらえますよ！\nチェックしてみてください","2030/01/01 14:59:59","0","2","カリン","63","0","1","2025/01/31 12:00:00","-416.5","2","4","190801","1000004"
"ギルド管理協会です！\nイベント報酬券をお持ちでしたら、様々なアイテムと交換できますよ","2030/01/01 14:59:59","0","2","カリン","64","2.12","1","2025/01/31 12:00:00","-363","1","5","190801","1000005"
"お疲れさまです！\nこちらでイベント報酬券とアイテムを交換することができますよ","2030/01/01 14:59:59","0","1","カリン","64","1.68","1","2025/01/31 12:00:00","-363","2","6","190801","1000006"
"いつもありがとうございます！\n報酬交換ですか？\nでは、イベント報酬券とお引き換えいたしますね","2030/01/01 14:59:59","0","2","カリン","64","2.33","1","2025/01/31 12:00:00","-363","1","7","190801","1000007"
"今度の敵は、アタシにとっても\n放ってはおけない存在だ\n少年、アタシも全力で行くからさ\n一緒に守ろう、この世界を","2030/01/01 14:59:59","-6","3","ラビリスタ","61","5.18","10201","2025/01/31 12:00:00","-285","7","101","133701","1020101"
"退屈の吹き飛ぶような\n戦いの気配がするなぁ坊や\nさっさとワタシをそこへ連れてゆけ\n世界も守ってやるさ、ついでにな","2030/01/01 14:59:59","-2","1","クリスティーナ","61","8.77","10201","2025/01/31 12:00:00","-285","2","201","133901","1020102"
"おや、私の力が必要……と？\nグレゴールが手伝うそうですよ\n私は戦わないのか、という顔ですね\n……考えておきます","2030/01/01 14:59:59","0","6","ネネカ","61","15.5","10201","2025/01/31 12:00:00","-285","1","301","133801","1020103"
"わたしだけの歌…\n一緒に、探してくれる…？\nあなたがいれば…\nもっとがんばれるから…","2030/01/01 14:59:59","0","2","ランファ","61","9.061","10202","2025/02/28 12:00:00","-285","5","101","134301","1020201"
"同じ唱喚士として、仲間として\n私にできることをします\n…これも、あなたが\n背中を押してくれたおかげですよ","2030/01/01 14:59:59","0","1","チカ","61","7.699","10202","2025/02/28 12:00:00","-285","2","201","134401","1020202"
"世界の平和が私とクローチェさんに\nかかってるんですよね？\nぼっちには過大すぎる期待ですけど\nふ、二人でなら背負ってみせます！","2030/01/01 14:59:59","0","1","アオイ","61","8.595","10203","2025/03/31 12:00:00","-285","2","101","134601","1020301"
"新しく手に入れたこの翼で…\nナイトさんがどこにいたって\nわたし、駆けつけちゃいますよっ！\nクローチェ・エアリアル発進ですっ","2030/01/01 14:59:59","0","1","クローチェ","61","7.758","10203","2025/03/31 12:00:00","-285","2","201","134501","1020302"
"今日はダーリンとの初デート♪\n二人でショッピングして、その後は\n…って私、指名手配されてる！？\nちょ、た…助けてダーリン～！！","2030/01/01 14:59:59","0","2","ルイズマリー","61","7","10204","2025/04/30 12:00:00","-285","6","101","132302","1020401"
"ルイちゃんのおばあちゃん優しくて\nいつもにこにこで、イロハ大好き♪\nでも一番好きなのは、角がすっごく\n大きくてかっこいいとこなんだ～♪","2030/01/01 14:59:59","0","1","イロハ","61","7.904","10204","2025/04/30 12:00:00","-285","2","201","132402","1020402"
"ノゾミちゃんのおかげで売上が安定\nしてきたのに、臨時休業、痛すぎる\n…ま、ルイちゃんのために\n一肌脱ぐか。行くよイロハ～","2030/01/01 14:59:59","0","4","ソノ","61","8.487","10204","2025/04/30 12:00:00","-285","2","301","132502","1020403"
