8247882d6a7f624b12edcd616e3085305284bbcb1efdd3030e3ae9ebd1a3f221,62347fa859925e85fe14f2ee2aeaeb6ac99ad0c916d10dbfb28b9e72968f3003,b5843fa81ca080b7e9e870838c981a6073faea84436f46951e9045e99c6128ff,45900a46a8b0d50dcb8c0642355915b45cc793a0c4d4f4dcccbe483fa1a05550
"78100101","1","1","1001"
"78100102","2","2","1001"
"78100103","3","3","1001"
"78100104","4","4","1001"
"78100105","5","5","1001"
"78100201","6","1","1002"
"78100202","7","2","1002"
"78100203","8","3","1002"
"78100204","9","4","1002"
"78100205","10","5","1002"
"78100301","11","1","1003"
"78100302","12","2","1003"
"78100303","13","3","1003"
"78100304","14","4","1003"
"78100305","15","5","1003"
