caba4afc3f4cb1015ae41d4b5b2fb7b1a188410333fe5381e18a33aeb81b3d21,5d4b96a3ddbc1ac9f70f4a82f8ab4b20ad4ef16b9ee14e4d3cd049ad80068e09,7900a1bab6ca8a943af27bf89b78dbf8c2da3c339c5b0488b49276187eaf8396,4c2e3bbd68e3affde39385204a046264f0669d0331d95cfdbbe844f0e1aa2ad0,7b0159fb3a82d84ed018244279b0bd45a6ef92a70c38723098bab034d3557ab1,41e2cb59bbe1d304b0c7a72e82e12512136170c1738788ff055ae68f997ad1c7,0148bc8909266bfe523b82f63f9a484b9229eb4616f5f511df65b131fe6edad6,b08657429b3e237f40d18b0943092b5a8078b75d8059272460ae279f37ebe0f4,9a89905dbf0aaf4760d24fb28ed71af64b168c82292d0e3c055b5de48a33db97,e64f90996362892af39ea21379c337b471cf982ccd45ac4aedb1d70dbefe9a52,0375472484accb10eb90933544cb95e30e4a185cfd087f9678eb642014b51f82,7215474341526d50f232435017eecbce24fce50377843977a9256ce6d663d3da
"0","0","1","0","4","1005801","0","0.8","0","1","0","100580101"
"0","vo_ske","0","vo_ske_0101","2","1005801","0","0","0","2","0","100580102"
"0","0","0","0","1","1005801","0.705","0","60","3","1","100580103"
"0","0","1","0","4","1005801","0","1.549","0","4","0","100580104"
"60","0","0","0","1","1005801","1.807","0","304","5","1","100580105"
"0","0","1","0","4","1005801","0","3.027","0","6","0","100580106"
"0","0","0","0","1","1005801","1.141","0","140","7","2","100580107"
"0","0","1","0","4","1005801","0","1.9","0","8","0","100580108"
"140","0","0","0","1","1005801","1.78","0","380","9","2","100580109"
"0","0","1","0","4","1005801","0","4.544","0","10","0","100580110"
"0","vo_ske","0","vo_ske_0102","2","1005801","0","0","0","11","0","100580111"
"0","0","0","0","1","1005801","1.322","0","195","12","3","100580112"
"0","0","1","0","4","1005801","0","2.917","0","13","0","100580113"
"0","vo_ske","0","vo_ske_0103","2","1005801","0","0","0","14","0","100580114"
"0","0","0","0","1","1005801","1.932","0","228","15","4","100580115"
"0","0","1","0","4","1005801","0","2.582","0","16","0","100580116"
"228","0","0","0","1","1005801","0.996","0","367","17","4","100580117"
"0","0","1","0","4","1005801","0","3.856","0","18","0","100580118"
"0","vo_ske","0","vo_ske_0104","2","1005801","0","0","0","19","0","100580119"
"0","0","0","0","1","1005801","0.67","0","102","20","5","100580120"
"0","0","1","0","4","1005801","0","1.785","0","21","0","100580121"
"102","0","0","0","1","1005801","2.253","0","364","22","5","100580122"
"0","0","1","0","4","1005801","0","2.253","0","23","0","100580123"
"0","0","0","0","1","1005801","0.962","0","120","24","6","100580124"
"0","0","1","0","4","1005801","0","2.244","0","25","0","100580125"
"120","0","0","0","1","1005801","1.707","0","334","26","6","100580126"
"0","0","1","0","4","1005801","0","4.225","0","27","0","100580127"
"0","vo_ske","0","vo_ske_0105","2","1005801","0","0","0","28","0","100580128"
"0","0","0","0","1","1005801","1.256","0","168","29","7","100580129"
"0","0","1","0","4","1005801","0","3.119","0","30","0","100580130"
"0","vo_ske","0","vo_ske_0106","2","1005801","0","0","0","31","0","100580131"
"0","0","0","0","1","1005801","0.702","0","89","32","8","100580132"
"0","0","1","0","4","1005801","0","1.386","0","33","0","100580133"
"89","0","0","0","1","1005801","1.352","0","278","34","8","100580134"
"0","0","1","0","4","1005801","0","2.053","0","35","0","100580135"
"278","0","0","0","1","1005801","0.733","0","383","36","8","100580136"
"0","0","1","0","4","1005801","0","1.868","0","37","0","100580137"
"0","0","0","0","1","1005801","1.764","0","195","38","9","100580138"
"0","0","1","0","4","1005801","0","2.905","0","39","0","100580139"
"195","0","0","0","1","1005801","0.969","0","314","40","9","100580140"
"0","0","1","0","4","1005801","0","0.969","0","41","0","100580141"
"0","0","0","0","1","1005801","0.808","0","115","42","10","100580142"
"0","0","1","0","4","1005801","0","2.8","0","43","0","100580143"
"0","vo_ske","0","vo_ske_0107","2","1005801","0","0","0","44","0","100580144"
