993d8e67637e1e0e2fc530e68e891c1b7af3e47607f1e3e99c79d8c00f1a4119,871de6b220d983ac08f3580501972b676032093364fd99a655317c5fc5c19800,6c0d3262ef62c7c3c37632fc90c71a41aa06c4083f5c77e42eabad97eb03da2d,31be1305431c37167ebd74661476572d75ca2ea85c8fce19cda8ed4f3144ad85,ab329d4b75bf3f7b6e0924239d4f22e2e6af1555871a3164e9ed1d788c185a8f,72db7c31948c02e8cd8994db7773b96834e43c68d0e826bc939ae58cd530fd41,dbdc2ff27c7308473004b11f39ecaddf1aa310acf00d07501b4cfa0abee96e65
"細かいディテールにこだわった躍動感あふれる至高のツムギフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","3","0.478515625","1","ツムギのフィギュア","0.3046875","10101"
"細かいディテールにこだわった躍動感あふれる至高のノゾミフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","3","0.490234375","1","ノゾミのフィギュア","0.365234375","10102"
"細かいディテールにこだわった躍動感あふれる至高のチカフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","3","0.478515625","1","チカのフィギュア","0.291015625","10103"
"ツムギの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","3","0.440625","2","ツムギ直筆サイン色紙","0.440625","10201"
"ノゾミの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","3","0.440625","2","ノゾミ直筆サイン色紙","0.440625","10202"
"チカの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","3","0.440625","2","チカ直筆サイン色紙","0.440625","10203"
"ツムギのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","3","1.40625","3","ツムギのメモリアルピンバッジ","1.40625","10301"
"ノゾミのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","3","1.40625","3","ノゾミのメモリアルピンバッジ","1.40625","10302"
"チカのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","3","1.40625","3","チカのメモリアルピンバッジ","1.40625","10303"
"サマーライブ開催を記念し作られた限定メモリアルピンバッジ。\nエンブレムが刻印された高級感のある珠玉の一品。各メンバーの\nバッジと一緒にそろえよう！","3","1.40625","3","カルミナメモリアルピンバッジ","1.40625","10304"
"ツムギのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ツムギへの熱い思いがいっそう高まること間違いなし。","2","0.675","7","ツムギのブロマイド","1.0875","10401"
"ツムギのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","2","0.675","7","ツムギのサマーブロマイド","1.0875","10402"
"ツムギのハロウィン衣装のブロマイドセット。ハロウィンの時しか\n見られない貴重なショットの数々。甘いお菓子と悪戯、どっちも\n魅力的。ハッピーハロウィン！","2","0.675","7","ツムギのハロウィンブロマイド","1.0875","10403"
"ノゾミのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、ノゾミへの熱い思いがいっそう高まること間違いなし。","2","0.675","7","ノゾミのブロマイド","1.0875","10404"
"ノゾミのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","2","0.675","7","ノゾミのサマーブロマイド","1.0875","10405"
"ノゾミのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","2","0.675","7","ノゾミのクリスマスブロマイド","1.0875","10406"
"チカのブロマイド。厳選セレクトされた愛らしい表情を眺めれ\nば、チカへの熱い思いがいっそう高まること間違いなし。","2","0.675","7","チカのブロマイド","1.0875","10407"
"チカのサマー衣装のブロマイド。熱い夏を感じさせる、まぶしく\nて魅力的な姿を収めた素晴らしい姿を眺めて、彼女と共に最高の夏\nを。","2","0.675","7","チカのサマーブロマイド","1.0875","10408"
"チカのクリスマス衣装のブロマイド。クリスマスシーズンしか\n見られない貴重な姿は、カルミナファンへの最高のプレゼント。","2","0.675","7","チカのクリスマスブロマイド","1.0875","10409"
"ツムギのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","3","1.0125","8","ツムギのリストバンド","0.665625","10501"
"ノゾミのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","3","1.0125","8","ノゾミのリストバンド","0.665625","10502"
"チカのネーム入りリストバンド。入退場券の代わりとして肌身\n離さず身につけよう！","3","1.0125","8","チカのリストバンド","0.665625","10503"
"ツムギの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","3","0.470703125","10","ツムギのポスター","0.365234375","10601"
"ノゾミの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","3","0.470703125","10","ノゾミのポスター","0.365234375","10602"
"チカの華麗な姿を収めた大型ポスター。部屋に貼っておけば、\nいつでもあなただけに向けた彼女の笑顔をひとり占め。今日も明日\nも頑張ろう！","3","0.470703125","11","チカのポスター","0.365234375","10603"
"メンバー３人が写った大迫力の大型ポスター。部屋に貼っておけば\nおはようからおやすみまで、いつでも彼女たちの笑顔に会える。\n今日も明日も頑張ろう！","3","0.470703125","11","カルミナのポスター","0.365234375","10604"
"イベント会場でのみ入手できるサマーライブ限定デザインの会員\nカード。会場でしか手に入らないためプレミア度高め。真のファン\nならぜひともゲットしたい。","3","0.53125","8","会場限定会員カード","0.953125","10701"
"ツムギのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","2","0.4609375","12","ツムギのマフラータオル","0.443359375","10801"
"ノゾミのパーソナルカラーで彩られたサマーライブデザインの\nマフラータオル。ライブの汗で濡れた肌を拭くことはもちろん、\n応援グッズとして使うことも可能。","2","0.4609375","12","ノゾミのマフラータオル","0.443359375","10802"
