b72d32e292488f5c3f93ac07bf9d1e9c152985a3bcb93e9b9f2506eb85aad06a,44226ca7557de4da216e2bbf45a7ebba4cae433d1a12baf5e0a9ad30b1644048,1c0343d1c3f8ff561e0d3bf3b69e3eac42a9a11a3ba74d5e21652f7e6442224c,85fc8179a1dc15a8232129a02f9b66c170d3e0c7101dabe48162a90771d37898,095d277e9fcadb2978fb557ff40449a7ab0ec38ff3627c0272503ef5b3f7717c,3bd766b3376b94d79b91030aacb8f545b5bb9d5f0b4147a47a2a3d309c0c4a7a,e96731ec9cb26e61bc634e9e9ce6bd01c016f29090767feeb1e48990cb27239c,d6ef5a4c3461bed9aff564404d70f07d4bd6f598829cecab5d50b7fd211b7ff0,134a598a60408764e9e26e89d9eb2a49040381c6acafd1d8c92d4234c167a3ee,78c2e986b39df3e1d6c0df9bbd3d93fad4aa29b2a8be9a6c99d4feeb60942e64,4ea82cebd01b228e5dc0bcdfab32202e1042b1020532fd163603164297f13b83,aa5d950b07cadeba55d75cebebf5d0e15bbd6c3eae2f219069d1005743c593d6
"100700101","1","0","0","4","0","1","0.8","0","0","0","1007001"
"100700102","0","0","0","2","vo_svd_0101","2","0","vo_svd","0","0","1007001"
"100700103","0","0","1","1","0","3","0","0","300","1.684","1007001"
"100700104","1","0","0","4","0","4","1.949","0","0","0","1007001"
"100700105","0","15","2","1","0","5","0","0","327","1.363","1007001"
"100700106","1","0","0","4","0","6","3.027","0","0","0","1007001"
"100700107","0","0","0","2","vo_svd_0102","7","0","vo_svd","0","0","1007001"
"100700108","0","0","3","1","0","8","0","0","441","1.69","1007001"
"100700109","1","0","0","4","0","9","1.7","0","0","0","1007001"
"100700110","0","0","4","1","0","10","0","0","221","1.446","1007001"
"100700111","1","0","0","4","0","11","1.722","0","0","0","1007001"
"100700112","0","221","4","1","0","12","0","0","478","1.245","1007001"
"100700113","1","0","0","4","0","13","0.417","0","0","0","1007001"
"100700114","0","0","5","1","0","14","0","0","208","0.864","1007001"
"100700115","1","0","0","4","0","15","2.482","0","0","0","1007001"
"100700116","0","0","0","2","vo_svd_0103","16","0","vo_svd","0","0","1007001"
"100700117","0","0","6","1","0","17","0","0","420","2.352","1007001"
"100700118","1","0","0","4","0","18","1.694","0","0","0","1007001"
"100700119","0","0","7","1","0","19","0","0","268","0.953","1007001"
"100700120","1","0","0","4","0","20","2.5","0","0","0","1007001"
"100700201","1","0","0","4","0","1","0.8","0","0","0","1007002"
"100700202","0","0","0","2","vo_svd_0201","2","0","vo_svd","0","0","1007002"
"100700203","0","0","1","1","0","3","0","0","152","0.865","1007002"
"100700204","1","0","0","4","0","4","1.516","0","0","0","1007002"
"100700205","0","152","1","1","0","5","0","0","314","1.013","1007002"
"100700206","1","0","0","4","0","6","0.973","0","0","0","1007002"
"100700207","0","0","2","1","0","7","0","0","158","0.755","1007002"
"100700208","1","0","0","4","0","8","2.018","0","0","0","1007002"
"100700209","0","0","0","2","vo_svd_0202","9","0","vo_svd","0","0","1007002"
"100700210","0","0","3","1","0","10","0","0","132","0.541","1007002"
"100700211","1","0","0","4","0","11","0.517","0","0","0","1007002"
"100700212","0","132","3","1","0","12","0","0","299","0.992","1007002"
"100700213","1","0","0","4","0","13","0.792","0","0","0","1007002"
"100700214","0","0","4","1","0","14","0","0","132","0.751","1007002"
"100700215","1","0","0","4","0","15","1.887","0","0","0","1007002"
"100700216","0","0","0","2","vo_svd_0203","16","0","vo_svd","0","0","1007002"
"100700217","0","132","4","1","0","17","0","0","441","1.482","1007002"
"100700218","1","0","0","4","0","18","0.858","0","0","0","1007002"
"100700219","0","0","5","1","0","19","0","0","255","1.255","1007002"
"100700220","1","0","0","4","0","20","2.752","0","0","0","1007002"
"100700221","0","0","0","2","vo_svd_0204","21","0","vo_svd","0","0","1007002"
"100700222","0","0","6","1","0","22","0","0","336","1.827","1007002"
"100700223","1","0","0","4","0","23","1.654","0","0","0","1007002"
"100700224","0","0","7","1","0","24","0","0","364","1.773","1007002"
"100700225","1","0","0","4","0","25","2.5","0","0","0","1007002"
"100700301","1","0","0","4","0","1","0.8","0","0","0","1007003"
"100700302","0","0","0","2","vo_svd_0301","2","0","vo_svd","0","0","1007003"
"100700303","0","0","1","1","0","3","0","0","185","1.205","1007003"
"100700304","1","0","0","4","0","4","1.739","0","0","0","1007003"
"100700305","0","185","1","1","0","5","0","0","355","1.278","1007003"
"100700306","1","0","0","4","0","6","0.687","0","0","0","1007003"
"100700307","0","0","2","1","0","7","0","0","132","0.735","1007003"
"100700308","1","0","0","4","0","8","2.357","0","0","0","1007003"
"100700309","0","0","0","2","vo_svd_0302","9","0","vo_svd","0","0","1007003"
"100700310","0","132","2","1","0","10","0","0","364","1.542","1007003"
"100700311","1","0","0","4","0","11","1.9","0","0","0","1007003"
"100700312","0","0","3","1","0","12","0","0","336","1.82","1007003"
"100700313","1","0","0","4","0","13","1.754","0","0","0","1007003"
"100700314","0","0","4","1","0","14","0","0","255","1.133","1007003"
"100700315","1","0","0","4","0","15","2.697","0","0","0","1007003"
"100700316","0","0","0","2","vo_svd_0303","16","0","vo_svd","0","0","1007003"
"100700317","0","0","5","1","0","17","0","0","336","1.827","1007003"
"100700318","1","0","0","4","0","18","2.182","0","0","0","1007003"
"100700319","0","0","6","1","0","19","0","0","275","1.186","1007003"
"100700320","1","0","0","4","0","20","2.842","0","0","0","1007003"
"100700321","0","0","0","2","vo_svd_0304","21","0","vo_svd","0","0","1007003"
"100700322","0","0","7","1","0","22","0","0","336","2.067","1007003"
"100700323","1","0","0","4","0","23","1.844","0","0","0","1007003"
"100700324","0","0","8","1","0","24","0","0","364","2.068","1007003"
"100700325","1","0","0","4","0","25","2.5","0","0","0","1007003"
"100700401","1","0","0","4","0","1","0.8","0","0","0","1007004"
"100700402","0","0","0","2","vo_svd_0401","2","0","vo_svd","0","0","1007004"
"100700403","0","0","1","1","0","3","0","0","201","1.105","1007004"
"100700404","1","0","0","4","0","4","1.504","0","0","0","1007004"
"100700405","0","201","1","1","0","5","0","0","313","0.62","1007004"
"100700406","1","0","0","4","0","6","0.554","0","0","0","1007004"
"100700407","0","0","2","1","0","7","0","0","165","0.728","1007004"
"100700408","1","0","0","4","0","8","2.154","0","0","0","1007004"
"100700409","0","0","0","2","vo_svd_0402","9","0","vo_svd","0","0","1007004"
"100700410","0","165","2","1","0","10","0","0","334","1.051","1007004"
"100700411","1","0","0","4","0","11","0.915","0","0","0","1007004"
"100700412","0","0","3","1","0","12","0","0","161","0.927","1007004"
"100700413","1","0","0","4","0","13","1.701","0","0","0","1007004"
"100700414","0","161","3","1","0","14","0","0","311","0.905","1007004"
"100700415","1","0","0","4","0","15","0.816","0","0","0","1007004"
"100700416","0","0","4","1","0","16","0","0","329","1.249","1007004"
"100700417","1","0","0","4","0","17","1.252","0","0","0","1007004"
"100700418","0","0","5","1","0","18","0","0","268","0.987","1007004"
"100700419","1","0","0","4","0","19","2.864","0","0","0","1007004"
"100700420","0","0","0","2","vo_svd_0403","20","0","vo_svd","0","0","1007004"
"100700421","0","0","6","1","0","21","0","0","336","2.056","1007004"
"100700422","1","0","0","4","0","22","1.844","0","0","0","1007004"
"100700423","0","0","7","1","0","23","0","0","364","1.963","1007004"
"100700424","1","0","0","4","0","24","2.5","0","0","0","1007004"
"100700501","1","0","0","4","0","1","0.8","0","0","0","1007005"
"100700502","0","0","0","2","vo_svd_0501","2","0","vo_svd","0","0","1007005"
"100700503","0","0","1","1","0","3","0","0","329","1.741","1007005"
"100700504","1","0","0","4","0","4","2.972","0","0","0","1007005"
"100700505","0","0","0","2","vo_svd_0502","5","0","vo_svd","0","0","1007005"
"100700506","0","0","2","1","0","6","0","0","320","1.539","1007005"
"100700507","1","0","0","4","0","7","1.258","0","0","0","1007005"
"100700508","0","0","3","1","0","8","0","0","175","0.762","1007005"
"100700509","1","0","0","4","0","9","2.583","0","0","0","1007005"
"100700510","0","0","0","2","vo_svd_0503","10","0","vo_svd","0","0","1007005"
"100700511","0","0","4","1","0","11","0","0","336","2.131","1007005"
"100700512","1","0","0","4","0","12","2.924","0","0","0","1007005"
"100700513","0","0","5","1","0","13","0","0","329","1.868","1007005"
"100700514","1","0","0","4","0","14","3.266","0","0","0","1007005"
"100700515","0","0","0","2","vo_svd_0504","15","0","vo_svd","0","0","1007005"
"100700516","0","0","6","1","0","16","0","0","275","1.269","1007005"
"100700517","1","0","0","4","0","17","2.653","0","0","0","1007005"
"100700518","0","0","0","2","vo_svd_0505","18","0","vo_svd","0","0","1007005"
"100700519","0","0","7","1","0","19","0","0","336","2.056","1007005"
"100700520","1","0","0","4","0","20","1.844","0","0","0","1007005"
"100700521","0","0","8","1","0","21","0","0","364","1.965","1007005"
"100700522","1","0","0","4","0","22","2.5","0","0","0","1007005"
"100700601","1","0","0","4","0","1","0.8","0","0","0","1007006"
"100700602","0","0","0","2","vo_svd_0601","2","0","vo_svd","0","0","1007006"
"100700603","0","0","1","1","0","3","0","0","336","1.875","1007006"
"100700604","1","0","0","4","0","4","3.353","0","0","0","1007006"
"100700605","0","0","0","2","vo_svd_0602","5","0","vo_svd","0","0","1007006"
"100700606","0","0","2","1","0","6","0","0","336","1.734","1007006"
"100700607","1","0","0","4","0","7","1.665","0","0","0","1007006"
"100700608","0","0","3","1","0","8","0","0","219","1.035","1007006"
"100700609","1","0","0","4","0","9","1.893","0","0","0","1007006"
"100700610","0","248","3","1","0","10","0","0","354","0.821","1007006"
"100700611","1","0","0","4","0","11","0.664","0","0","0","1007006"
"100700612","0","0","4","1","0","12","0","0","275","1.361","1007006"
"100700613","1","0","0","4","0","13","1.108","0","0","0","1007006"
"100700614","0","0","5","1","0","14","0","0","259","1.269","1007006"
"100700615","1","0","0","4","0","15","3.112","0","0","0","1007006"
"100700616","0","0","0","2","vo_svd_0603","16","0","vo_svd","0","0","1007006"
"100700617","0","0","6","1","0","17","0","0","336","2.056","1007006"
"100700618","1","0","0","4","0","18","1.844","0","0","0","1007006"
"100700619","0","0","7","1","0","19","0","0","364","1.965","1007006"
"100700620","1","0","0","4","0","20","2.5","0","0","0","1007006"
"100700701","1","0","0","4","0","1","0.8","0","0","0","1007007"
"100700702","0","0","0","2","vo_svd_0701","2","0","vo_svd","0","0","1007007"
"100700703","0","0","1","1","0","3","0","0","132","0.926","1007007"
"100700704","1","0","0","4","0","4","1.549","0","0","0","1007007"
"100700705","0","132","1","1","0","5","0","0","345","1.457","1007007"
"100700706","1","0","0","4","0","6","1.228","0","0","0","1007007"
"100700707","0","0","2","1","0","7","0","0","168","0.762","1007007"
"100700708","1","0","0","4","0","8","2.221","0","0","0","1007007"
"100700709","0","0","0","2","vo_svd_0702","9","0","vo_svd","0","0","1007007"
"100700710","0","168","2","1","0","10","0","0","347","0.969","1007007"
"100700711","1","0","0","4","0","11","0.747","0","0","0","1007007"
"100700712","0","0","3","1","0","12","0","0","336","2.085","1007007"
"100700713","1","0","0","4","0","13","2.932","0","0","0","1007007"
"100700714","0","0","4","1","0","14","0","0","275","1.436","1007007"
"100700715","1","0","0","4","0","15","2.164","0","0","0","1007007"
"100700716","0","0","5","1","0","16","0","0","356","1.928","1007007"
"100700717","1","0","0","4","0","17","1.673","0","0","0","1007007"
"100700718","0","0","6","1","0","18","0","0","259","1.269","1007007"
"100700719","1","0","0","4","0","19","3.156","0","0","0","1007007"
"100700720","0","0","0","2","vo_svd_0703","20","0","vo_svd","0","0","1007007"
"100700721","0","0","7","1","0","21","0","0","336","2.077","1007007"
"100700722","1","0","0","4","0","22","1.841","0","0","0","1007007"
"100700723","0","0","8","1","0","23","0","0","364","1.965","1007007"
"100700724","0","0","0","4","0","24","2.5","0","0","0","1007007"
"100700801","1","0","0","4","0","1","0.8","0","0","0","1007008"
"100700802","0","0","0","2","vo_svd_0801","2","0","vo_svd","0","0","1007008"
"100700803","0","0","1","1","0","3","0","0","356","2.027","1007008"
"100700804","1","0","0","4","0","4","3.309","0","0","0","1007008"
"100700805","0","0","0","2","vo_svd_0802","5","0","vo_svd","0","0","1007008"
"100700806","0","0","2","1","0","6","0","0","336","1.879","1007008"
"100700807","1","0","0","4","0","7","3.041","0","0","0","1007008"
"100700808","0","0","0","2","vo_svd_0803","8","0","vo_svd","0","0","1007008"
"100700809","0","0","3","1","0","9","0","0","336","1.848","1007008"
"100700810","1","0","0","4","0","10","1.437","0","0","0","1007008"
"100700811","0","0","4","1","0","11","0","0","168","0.796","1007008"
"100700812","1","0","0","4","","12","2.532","","0","0","1007008"
"100700813","0","0","0","2","vo_svd_0804","13","0","vo_svd","0","0","1007008"
"100700814","0","0","5","1","0","14","0","0","101","1.002","1007008"
"100700815","1","0","0","4","0","15","2.164","0","0","0","1007008"
"100700816","0","101","5","1","0","16","0","0","299","1.574","1007008"
"100700817","1","0","0","4","0","17","2.164","0","0","0","1007008"
"100700818","0","0","6","1","0","18","0","0","259","1.269","1007008"
"100700819","1","0","0","4","0","19","2.5","0","0","0","1007008"
"100700901","1","0","0","4","0","1","0.8","0","0","0","1007009"
"100700902","0","0","0","2","vo_svd_0901","2","0","vo_svd","0","0","1007009"
"100700903","0","0","1","1","0","3","0","0","356","2.285","1007009"
"100700904","1","0","0","4","0","4","2.031","0","0","0","1007009"
"100700905","0","0","2","1","0","5","0","0","215","1.362","1007009"
"100700906","1","0","0","4","0","6","2.479","0","0","0","1007009"
"100700907","0","0","0","2","vo_svd_0902","7","0","vo_svd","0","0","1007009"
"100700908","0","0","3","1","0","8","0","0","356","2.004","1007009"
"100700909","1","0","0","4","0","9","1.804","0","0","0","1007009"
"100700910","0","0","4","1","0","10","0","0","266","2.026","1007009"
"100700911","1","0","0","4","0","11","2.473","0","0","0","1007009"
"100700912","0","266","4","1","0","12","0","0","338","0.518","1007009"
"100700913","1","0","0","4","0","13","0.556","0","0","0","1007009"
"100700914","0","0","5","1","0","14","0","0","336","2.021","1007009"
"100700915","1","0","0","4","0","15","1.713","0","0","0","1007009"
"100700916","0","0","6","1","0","16","0","0","250","1.513","1007009"
"100700917","1","0","0","4","0","17","1.981","0","0","0","1007009"
"100700918","0","0","0","2","vo_svd_0903","18","0","vo_svd","0","0","1007009"
"100700919","0","0","7","1","0","19","0","0","279","1.672","1007009"
"100700920","1","0","0","4","0","20","1.924","0","0","0","1007009"
"100700921","0","279","7","1","0","21","0","0","338","0.796","1007009"
"100700922","1","0","0","4","","22","1.832","","0","0","1007009"
"100700923","0","0","0","2","vo_svd_0904","23","0","vo_svd","0","0","1007009"
"100700924","0","0","8","1","0","24","0","0","96","0.703","1007009"
"100700925","1","0","0","4","0","25","1.523","0","0","0","1007009"
"100700926","0","0","0","2","vo_svd_0905","26","0","vo_svd","0","0","1007009"
"100700927","0","96","8","1","0","27","0","0","218","1.198","1007009"
"100700928","1","0","0","4","0","28","1.764","0","0","0","1007009"
"100700929","0","0","0","2","vo_svd_0906","29","0","vo_svd","0","0","1007009"
"100700930","0","0","9","1","0","30","0","0","336","2.335","1007009"
"100700931","1","0","0","4","0","31","3.423","0","0","0","1007009"
"100700932","0","0","0","2","vo_svd_0907","32","0","vo_svd","0","0","1007009"
"100700933","0","0","10","1","0","33","0","0","69","0.682","1007009"
"100700934","1","0","0","4","0","34","1.357","0","0","0","1007009"
"100700935","0","69","10","1","0","35","0","0","336","2.106","1007009"
"100700936","1","0","0","4","0","36","1.43","0","0","0","1007009"
"100700937","0","0","11","1","0","37","0","0","336","2.283","1007009"
"100700938","1","0","0","4","0","38","2.989","0","0","0","1007009"
"100700939","0","0","0","2","vo_svd_0908","39","0","vo_svd","0","0","1007009"
"100700940","0","0","12","1","0","40","0","0","322","1.978","1007009"
"100700941","1","0","0","4","0","41","1","0","0","0","1007009"
"100701001","1","0","0","4","0","1","0.8","0","0","0","1007010"
"100701002","0","0","0","2","vo_svd_1001","2","0","vo_svd","0","0","1007010"
"100701003","0","0","1","1","0","3","0","0","356","2.705","1007010"
"100701004","1","0","0","4","0","4","3.154","0","0","0","1007010"
"100701005","0","0","2","1","0","5","0","0","96","0.918","1007010"
"100701006","1","0","0","4","0","6","1.231","0","0","0","1007010"
"100701007","0","96","2","1","0","7","0","0","356","1.672","1007010"
"100701008","1","0","0","4","0","8","3.307","0","0","0","1007010"
"100701009","0","0","0","2","vo_svd_1002","9","0","vo_svd","0","0","1007010"
"100701010","0","0","3","1","0","10","0","0","131","0.835","1007010"
"100701011","1","0","0","4","0","11","1.164","0","0","0","1007010"
"100701012","0","131","3","1","0","12","0","0","336","1.623","1007010"
"100701013","1","0","0","4","0","13","1.712","0","0","0","1007010"
"100701014","0","0","4","1","0","14","0","0","356","2.294","1007010"
"100701015","1","0","0","4","0","15","2.186","0","0","0","1007010"
"100701016","0","0","5","1","0","16","0","0","322","2.184","1007010"
"100701017","1","0","0","4","0","17","3.034","0","0","0","1007010"
"100701018","0","0","0","2","vo_svd_1003","18","0","vo_svd","0","0","1007010"
"100701019","0","0","6","1","0","19","0","0","356","2.704","1007010"
"100701020","1","0","0","4","0","20","2.522","0","0","0","1007010"
"100701021","0","0","7","1","0","21","0","0","162","1.005","1007010"
"100701022","1","0","0","4","0","22","2.617","0","0","0","1007010"
"100701023","0","0","0","2","vo_svd_1004","23","0","vo_svd","0","0","1007010"
"100701024","0","0","8","1","0","24","0","0","131","0.975","1007010"
"100701025","1","0","0","4","0","25","1.202","0","0","0","1007010"
"100701026","0","131","8","1","0","26","0","0","291","1.214","1007010"
"100701027","1","0","0","4","0","27","1.187","0","0","0","1007010"
"100701028","0","0","9","1","0","28","0","0","345","2.043","1007010"
"100701029","1","0","0","4","0","29","3.356","0","0","0","1007010"
"100701030","0","0","0","2","vo_svd_1005","30","0","vo_svd","0","0","1007010"
"100701031","0","0","10","1","0","31","0","0","155","1.862","1007010"
"100701032","1","0","0","4","0","32","2.285","0","0","0","1007010"
"100701033","0","0","0","2","vo_svd_1006","33","0","vo_svd","0","0","1007010"
"100701034","0","0","11","1","0","34","0","0","85","0.682","1007010"
"100701035","1","0","0","4","0","35","1.529","0","0","0","1007010"
"100701036","0","85","11","1","0","36","0","0","220","1.042","1007010"
"100701037","1","0","0","4","0","37","2.384","0","0","0","1007010"
"100701038","0","0","0","2","vo_svd_1007","38","0","vo_svd","0","0","1007010"
"100701039","0","0","12","1","0","39","0","0","100","1.106","1007010"
"100701040","1","0","0","4","0","40","1.891","0","0","0","1007010"
"100701041","0","100","12","1","0","41","0","0","289","1.322","1007010"
"100701042","1","0","0","4","0","42","1","0","0","0","1007010"
