6f8f30278818cf71de9fddd7eb033ffad62c8fa0285aa3e7887be8bcfb148928,ad21e4d0fa79ae84d9e27487500fddb1a9db53841cebaabd369e8ed3a4bec4d6,b1071ae45aefd96fdfd600c24ab5ac65c94a96fa2435d37caaf1123b70599c76,f4a3eab38faceadc3aa79aacf88b71c1b2eb98fa208f0c895ae76524b00ac24d,5dc0fa9ba1b872cd3c295c2d71649e0d28eb45e62f9e170fecea94054640c8bc
"10153","10153102","1","信頼度","6017101"
"20015","0","1","信頼度","0"
"20017","0","1","信頼度","0"
"20018","0","1","信頼度","0"
"20019","0","1","信頼度","0"
"20020","0","1","信頼度","0"
"20022","0","1","信頼度","0"
"20023","0","1","信頼度","0"
"20024","0","1","信頼度","0"
"20025","0","1","信頼度","0"
"20026","0","1","信頼度","0"
"20028","0","1","信頼度","0"
"20029","0","1","信頼度","0"
"20030","0","1","信頼度","0"
"20031","0","1","信頼度","0"
"20032","0","1","信頼度","0"
"20035","0","1","信頼度","0"
"20037","0","1","信頼度","0"
"20038","0","1","信頼度","0"
"20042","0","1","信頼度","0"
"20043","0","1","信頼度","0"
"20048","0","1","信頼度","0"
"20049","0","1","信頼度","0"
"20051","0","1","信頼度","0"
"20054","0","1","信頼度","0"
"20055","0","1","信頼度","0"
"20056","0","1","信頼度","0"
"20061","0","1","信頼度","0"
"20066","0","1","信頼度","0"
"20076","0","1","信頼度","0"
