725f808de3c3ec12f8f3002299a0e8693e9f5edcac7b07cb2e347ee47a79a624,2c538810ade64a7abd900ef92cfbc308aa01b0766d3d2420a08a7e0922e1c057,ffe41fbb0d538fcd6c44a822ec83b03b97621dd7d7a4ee0d6edd121f640dca00,fa7d43a3fe331a4b5d430804de0bf06284406df53d1de2c5c4509721b5267a30,f6fa4562e01e2aebcac4778f9458f172dff7fb6fa4856c1a302f39015ff28b57,6e15a06edcaaf0cd9de1e21c330149c0eb503135cfe907b181cf2a42c20ebe72,1563ba120c52969f7a571f494cbb74a0956374bc7ca9b9e3cf96bd8667e0d2fc,b37b9beee77017a6d9386203edb25ecc5b3f21c5253a906500100cc6854a178d,6f83bee239d877576adee78d19f69a0a6e102e79b7bb006fb6c1d734e9c5064d,c3e7277b99ed08725227fc4816d18313881a4e5a3520a689d710a5662b414eef,4f684b10d5affdf5dc35510239ef14cd52206fe033a252b0e14d0de858f2a8fa
"イベントスペシャルエピソード","2020/07/31 12:00:00","10046","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","1004601","1","2020/08/31 11:59:59","5046601","5046601","ストーリーへ","イベント「ミサトサマーエール！　夢追う真夏のナイン」の\nスペシャルエピソードが解放されました。"
"イベントスペシャルエピソード","2020/09/14 21:00:00","10048","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","1004801","2","2020/09/30 11:59:59","0","5048","ストーリーへ","イベント「ハッピー・チェンジ・エンジェルズ」の\nエンディングを読むと、特別なエピソードが解放されます。"
"イベントスペシャルエピソード","2020/09/14 21:00:00","10048","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","1004802","3","2020/09/30 11:59:59","0","5048","ストーリーへ","イベント「ハッピー・チェンジ・エンジェルズ」で\nラフィからお手紙が届きました！"
"イベントスペシャルエピソード","2021/01/14 21:00:00","10056","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","1005601","4","2021/01/31 11:59:59","5056601","5056","ストーリーへ","イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。"
"イベントスペシャルエピソード","2021/02/28 12:00:00","10061","エクストラストーリーから\n特別なストーリーをご覧いただけます。","1006101","3","2021/03/18 14:59:59","5061601","5061","ストーリーへ","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。"
"イベントスペシャルエピソード","2021/03/14 21:00:00","10061","","1006102","5","2021/03/18 14:59:59","5061602","10061","ストーリーへ","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。"
"イベントスペシャルエピソード","2021/03/18 15:00:00","10061","エクストラストーリーから\n特別なストーリーをご覧いただけます。","1006103","3","2021/03/31 11:59:59","5061601","5061","ストーリーへ","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。"
"ミニゲーム ストーリー解放","2021/04/30 12:00:00","10066","閲覧には「みんなのゲームテーブル」で\n「大激戦！しりとりドラゴンズ」を購入し\nEXTRAをプレイする必要があります","1006601","6","2021/05/31 11:59:59","5027704","1004","ストーリーへ","ミニゲーム「大激戦！しりとりドラゴンズ」\nで新しいストーリーが解放されました"
"イオからのコメント追加","2021/07/14 21:00:00","10070","「夏休みの絵日記」表紙からの切り替えで\n添削コメントをご覧いただけます。","1007001","5","2021/07/18 14:59:59","5070601","10070","イベントへ","「夏休みの絵日記」に\nイオ先生からの添削コメントが追加されました。"
"イベントスペシャルエピソード","2021/08/18 12:00:00","10073","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","1007301","1","2021/08/31 11:59:59","5046601","5046601","ストーリーへ","イベント「ミサトサマーエール！　夢追う真夏のナイン」の\nスペシャルエピソードが解放されました。"
"イベントスペシャルエピソード","2021/09/24 21:00:00","10075","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","1007501","2","2021/09/30 11:59:59","0","5048","ストーリーへ","イベント「ハッピー・チェンジ・エンジェルズ」の\nエンディングを読むと、特別なエピソードが解放されます。"
"イベントスペシャルエピソード","2021/09/24 21:00:00","10075","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","1007502","3","2021/09/30 11:59:59","0","5048","ストーリーへ","イベント「ハッピー・チェンジ・エンジェルズ」で\nラフィからお手紙が届きました！"
"集合写真追加","2022/01/14 21:00:00","10082","","1008201","5","2022/01/18 14:59:59","5082601","1004","イベントへ","「みんなでおせちパーティー」に\n集合写真が追加されました。"
"イベントスペシャルエピソード","2022/01/25 21:00:00","10083","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","1008301","4","2022/01/31 11:59:59","5056601","5056","ストーリーへ","イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。"
"イベントスペシャルエピソード","2022/03/16 12:00:00","10089","エクストラストーリーから\n特別なストーリーをご覧いただけます。","1008901","3","2022/03/25 14:59:59","5061601","5061","ストーリーへ","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。"
"イベントスペシャルエピソード","2022/03/23 21:00:00","10089","","1008902","5","2022/03/25 14:59:59","5061602","10089","ストーリーへ","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。"
"イベントスペシャルエピソード","2022/03/25 15:00:00","10089","エクストラストーリーから\n特別なストーリーをご覧いただけます。","1008903","3","2022/03/31 11:59:59","5061601","5061","ストーリーへ","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。"
"イベントスペシャルエピソード","2022/05/14 21:00:00","10092","","1009201","5","2022/05/18 14:59:59","5092601","10092","ストーリーへ","イベント「エピソード・オブ・パイレーツ　海賊島の呪われし\n遺宝」のスペシャルエピソードが解放されました。"
"イベントスペシャルエピソード","2022/09/14 21:00:00","10100","","1010001","5","2022/09/18 14:59:59","5100601","10100","ストーリーへ","イベント「マホマホ・ミラクル・ジャーニー！　旅する少女と\n最果ての大樹」のスペシャルエピソードが解放されました。"
"集合写真追加","2023/01/23 21:00:00","10109","","1010901","5","2023/01/25 14:59:59","5082601","1004","イベントへ","「みんなでおせちパーティー」に\n集合写真が追加されました。"
"イベントスペシャルエピソード","2023/05/23 21:00:00","10119","","1011901","5","2023/05/25 14:59:59","5092601","10119","ストーリーへ","イベント「エピソード・オブ・パイレーツ　海賊島の呪われし\n遺宝」のスペシャルエピソードが解放されました。"
"イベントスペシャルエピソード","2023/09/25 21:00:00","10127","","1012701","5","2023/09/27 14:59:59","5100601","10127","ストーリーへ","イベント「マホマホ・ミラクル・ジャーニー！　旅する少女と\n最果ての大樹」のスペシャルエピソードが解放されました。"
