7279993fa04c1a7ed08e82d72250fab3a4926a0178a42460eddd96a1d1dbf628,dcca8565d40fa6931c19559d742c6498ab4411cfb2ac37b3eab0c15fd825d73d
"1","ＨＰ強化"
"2","物理攻撃力強化"
"3","物理防御力強化"
"4","魔法攻撃力強化"
"5","魔法防御力強化"
"6","物理クリティカル強化"
"7","魔法クリティカル強化"
"8","回避強化"
"9","ＨＰ吸収強化"
"10","ＨＰ自動回復強化"
"11","ＴＰ自動回復強化"
"12","物理貫通ダメージ強化"
"13","魔法貫通ダメージ強化"
"14","ＴＰ上昇強化"
"15","回復量上昇強化"
"16","ＴＰ消費軽減強化"
"17","命中強化"
"50","物理・魔法攻撃力強化"
"51","物理・魔法防御力強化"
"52","物理・魔法クリティカル強化"
"100","物理クリティカルダメージ強化"
"101","魔法クリティカルダメージ強化"
"102","物理与ダメージ強化"
"103","魔法与ダメージ強化"
"104","属性ボーナス強化"
