bb9c9f46118471fa6df6bfc688a0a60afbdec214f8418971f37e521c64cf4b58,c0a0f45e9e7638bc5a02a065cdbbea8b2adf81f4669a9ad4b922cd213c196d80,ce356c68497987fd2987c4d453333ff31d6f773fbb9535ba372dad66fae31bff,33feaf12b3b211fecb54ff46d62fc995387d8d956b6994dc03585636a6c16df4,3f3cca429d404b870c539c0729844db51785eb12fede2e3725298f98763bf180,45cec9f132fcae599473fe21e75c57d117da675256c9e84e2347f188ca879a30,84cd461a2c3ce2bf49c9c764882408ca88eaddc83fa8516d4180bfce747d4b42,82ea1da21177f646541dbd5c8f72b0eeba4bd69a83e9d00f58dc8cd728b40964,6313bb54ffb9220c56b4a21bdfc8c687de07f27a0b59fcc4a9edcaafb15dea56,d683417f53adedd8af26b05719ba28dc0a9325cb971bb19f1540779fc6e3042e
"0","20","100","1","パーツを20個獲得しよう","1","10000","3","1","1"
"0","25","100","1","パーツを25個獲得しよう","2","10001","3","1","2"
"0","30","100","1","パーツを30個獲得しよう","2","10002","3","1","3"
"0","35","100","1","パーツを35個獲得しよう","3","10003","3","1","4"
"0","40","100","1","パーツを40個獲得しよう","3","10004","3","1","5"
"0","45","100","1","パーツを45個獲得しよう","4","10005","3","1","6"
"0","50","100","1","パーツを50個獲得しよう","4","10006","3","1","7"
"0","1500","101","2","総戦力を1500以上にしよう","3","20000","2","1","101"
"0","2000","101","2","総戦力を2000以上にしよう","3","20001","2","1","102"
"0","2500","101","2","総戦力を2500以上にしよう","3","20002","2","1","103"
"0","3000","101","2","総戦力を3000以上にしよう","3","20003","2","1","104"
"0","3500","101","2","総戦力を3500以上にしよう","3","20004","2","1","105"
"0","4000","101","2","総戦力を4000以上にしよう","4","20005","2","1","106"
"0","4500","101","2","総戦力を4500以上にしよう","4","20006","2","1","107"
"0","5000","101","2","総戦力を5000以上にしよう","4","20007","2","1","108"
"0","6000","101","2","総戦力を6000以上にしよう","4","20008","2","1","109"
"0","7000","101","2","総戦力を7000以上にしよう","4","20009","2","1","110"
"0","8000","101","2","総戦力を8000以上にしよう","5","20010","2","1","111"
"0","9000","101","2","総戦力を9000以上にしよう","5","20011","2","1","112"
"0","10000","101","2","総戦力を10000以上にしよう","5","20012","2","1","600"
"0","100","200","3","バトルポイントを累計100pt獲得しよう","2","30000","4","2","201"
"0","200","200","3","バトルポイントを累計200pt獲得しよう","2","30001","4","2","202"
"0","300","200","3","バトルポイントを累計300pt獲得しよう","2","30002","4","2","203"
"0","400","200","3","バトルポイントを累計400pt獲得しよう","2","30003","4","2","204"
"0","500","200","3","バトルポイントを累計500pt獲得しよう","2","30004","4","2","205"
"0","600","200","3","バトルポイントを累計600pt獲得しよう","3","30005","4","2","206"
"0","700","200","3","バトルポイントを累計700pt獲得しよう","3","30006","4","2","207"
"0","800","200","3","バトルポイントを累計800pt獲得しよう","3","30007","4","2","208"
"0","900","200","3","バトルポイントを累計900pt獲得しよう","3","30008","4","2","209"
"0","1000","200","3","バトルポイントを累計1000pt獲得しよう","3","30009","4","2","210"
"0","5","400","5","フブキから5個パーツを獲得しよう","7","50000","1","4","401"
"0","10","400","5","フブキから10個パーツを獲得しよう","7","50001","1","4","402"
"0","15","400","5","フブキから15個パーツを獲得しよう","7","50002","1","4","403"
"0","20","400","5","フブキから20個パーツを獲得しよう","7","50003","1","4","404"
"0","25","400","5","フブキから25個パーツを獲得しよう","7","50004","1","4","405"
"0","30","400","5","フブキから30個パーツを獲得しよう","7","50005","1","4","406"
"0","35","400","5","フブキから35個パーツを獲得しよう","7","50006","1","4","407"
"0","40","400","5","フブキから40個パーツを獲得しよう","7","50007","1","4","408"
"0","45","400","5","フブキから45個パーツを獲得しよう","7","50008","1","4","409"
"0","50","400","5","フブキから50個パーツを獲得しよう","6","50009","1","4","700"
"30009","800","209","6","バトルポイントを800pt獲得しよう（何度でも）","7","60000","4","2","999"
"0","14","300","7","ステージ14をクリアしよう","6","70000","3","3","799"
"0","50","301","7","ステージ50をクリアしよう","8","70001","3","3","800"
