60647178848c2116c003e67b2da6ee4e3b6be1ce73eb810574879a6a19463a62,60536a7e73a493b883303276627efd112f99cb29323e8913401d72698ea44027,29782e0fc2a6c89349ecc0528d52f4089d421082fe1ba34a4e7cdc42ca88972d,9369453f8e3b9c62d0d74c1e46c0d8e0a7f5aff86138a8d9a9cc5673de1d2b55,0a2a7d29f548ff3532785cff7f925600a2d76488d0b6e79d580d9421f1a11ed1,9b013ecd7eb1b1cbab8aaa891e0adb2a338a1f951416d4cf47b6e1811906d952,ea42ab27f5e3e68c510b25e58c1af1bd3819b8cd1a750437c862c5b4b30d99e5,bd3f2220fb99dc236a77362b17a17ec8f58c60502caa7adbd42c0bb1cfa426fe,01ec8f1654d3f20d9b73a32a78e62e01f63b37701c4c7c1d832e9c894674dab3
"18001001","100","-1","2030/12/31 23:59:59","1","93001","6","2018/01/01 5:00:00","1"
"18001002","100","-1","2030/12/31 23:59:59","1","93001","6","2018/01/01 5:00:00","2"
"11001001","30","-1","2020/11/16 4:59:59","1","0","5","2018/01/01 5:00:00","3"
"11001001","30000","-1","2020/11/16 4:59:59","1","94002","12","2018/01/01 5:00:00","4"
"11001001","10","-1","2020/11/16 4:59:59","1","91002","8","2018/01/01 5:00:00","5"
"11003001","40","-1","2020/11/16 4:59:59","1","0","5","2018/01/01 5:00:00","6"
"11003001","2","-1","2020/11/16 4:59:59","1","20002","2","2018/01/01 5:00:00","7"
"11003001","10","-1","2020/11/16 4:59:59","1","91002","8","2018/01/01 5:00:00","8"
"13002001","20","-1","2020/11/16 4:59:59","1","0","5","2018/01/01 5:00:00","9"
"18004001","20","-1","2020/11/16 4:59:59","1","0","5","2018/01/01 5:00:00","10"
"16006001","25","-1","2020/11/16 4:59:59","1","0","5","2018/01/01 5:00:00","11"
"16007001","25","-1","2020/11/16 4:59:59","1","0","5","2018/01/01 5:00:00","12"
"16007001","3","-1","2020/11/16 4:59:59","1","22001","2","2018/01/01 5:00:00","13"
"11004001","30","-1","2020/11/16 4:59:59","1","0","5","2018/01/01 5:00:00","14"
"11004001","2","-1","2020/11/16 4:59:59","1","20002","2","2018/01/01 5:00:00","15"
"11004001","500","-1","2020/11/16 4:59:59","1","90007","2","2018/01/01 5:00:00","16"
"11005001","40","-1","2020/11/16 4:59:59","1","0","5","2018/01/01 5:00:00","17"
"11005001","30000","-1","2020/11/16 4:59:59","1","94002","12","2018/01/01 5:00:00","18"
"11005001","500","-1","2020/11/16 4:59:59","1","90007","2","2018/01/01 5:00:00","19"
"11006001","30","-1","2030/12/31 23:59:59","1","0","5","2018/01/01 5:00:00","20"
"11006001","2","-1","2030/12/31 23:59:59","1","20003","2","2018/01/01 5:00:00","21"
"15004001","30","-1","2022/12/16 4:59:59","1","0","5","2018/01/01 5:00:00","22"
"15004001","100","-1","2022/12/16 4:59:59","1","90007","2","2018/01/01 5:00:00","23"
"14001001","40","-1","2020/11/16 4:59:59","1","0","5","2018/01/01 5:00:00","24"
"14001001","80000","-1","2020/11/16 4:59:59","1","94002","12","2018/01/01 5:00:00","25"
"14001001","2","-1","2020/11/16 4:59:59","1","20003","2","2018/01/01 5:00:00","26"
"14003001","50","-1","2020/11/16 4:59:59","1","0","5","2018/01/01 5:00:00","27"
"14003001","140000","-1","2020/11/16 4:59:59","1","94002","12","2018/01/01 5:00:00","28"
"14003001","4","-1","2020/11/16 4:59:59","1","22002","2","2018/01/01 5:00:00","29"
"21001001","30","-1","2030/12/31 23:59:59","1","91002","8","2018/01/01 5:00:00","30"
"21001001","2000","-1","2030/12/31 23:59:59","1","94002","12","2018/01/01 5:00:00","31"
"21001002","30","-1","2030/12/31 23:59:59","1","91002","8","2018/01/01 5:00:00","33"
"21001002","2","-1","2030/12/31 23:59:59","1","22001","2","2018/01/01 5:00:00","34"
"21001003","30","-1","2030/12/31 23:59:59","1","91002","8","2018/01/01 5:00:00","36"
"21001003","1","-1","2030/12/31 23:59:59","1","22002","2","2018/01/01 5:00:00","37"
"21001004","30","-1","2030/12/31 23:59:59","1","91002","8","2018/01/01 5:00:00","39"
"21001004","1","-1","2030/12/31 23:59:59","1","22003","2","2018/01/01 5:00:00","40"
"21001005","90","-1","2030/12/31 23:59:59","1","91002","8","2018/01/01 5:00:00","42"
"21001005","2","-1","2030/12/31 23:59:59","1","22003","2","2018/01/01 5:00:00","43"
"21002001","60","-1","2030/12/31 23:59:59","1","91002","8","2018/01/01 5:00:00","45"
"21002001","4000","-1","2030/12/31 23:59:59","1","94002","12","2018/01/01 5:00:00","46"
"21002002","60","-1","2030/12/31 23:59:59","1","91002","8","2018/01/01 5:00:00","48"
"21002002","4","-1","2030/12/31 23:59:59","1","22001","2","2018/01/01 5:00:00","49"
"21002003","60","-1","2030/12/31 23:59:59","1","91002","8","2018/01/01 5:00:00","51"
"21002003","2","-1","2030/12/31 23:59:59","1","22002","2","2018/01/01 5:00:00","52"
