29d982be059b96625a3a3afcad5a7050c2efd35d76ac71ffd444b92e8fd86057,29af8da8d252bd9a9433171a1107c027a601e976a77547d2e5a67c2dc78e9452,f07f71574cb1fc115fef42a349f2ff6e83b8f51ea0bea67569c2efe61d6ef241,55a2afc8322cddfc5a316df51aeaf53462b70404205256ac7c3d5a202db1231e,206b8268f4fe6517d12ff3639a09864d763e36124a6ad679ff16c72ff31e20e6,0d7c3520f886b61cfa09a7565a04f1ba29d2ef2ce3efb97cb880c6692b58bbdd,8d9614ca1d2bf8efa7398d08c1ec55ea3f853c6f0c28a6ccbd0910a895b8d463,98935049734707e96d2a5e276e898fd8ac2821bc629a103a44c88a53a6d5d81a,be8717f91218649c62907599ba7ad907e6be768ecf30c48801ef68fc1b3b3c8c,ea4bf613b6b51e52b4f69977e486befb8a7f246d7d37e784f8bbdaa1dd959665,66b40e746686e4ca407f9e1663845d1494f6944c560e83aa59bbfb2cd0b0d625,58caff96531fd00035fd46206fa0e7d19597d81d2192452477c3cd339255b652,2b2ebeacf3bca4c00bb33b39ac7617b0dff6a14a990e548ce3c3dfad5267835c,c46c96e4b06aaf164b691fd2d2d6fdf7285d6e1e4dbeb463843f8f9d98da0419
"110","1","1","160","122601","101","仲間と夏を楽しむ、夏海の魔法士。自分を変えたいという固い決意で、障害物を無効化して走り続ける。","0","1","1.5","1","105","0","0.029"
"105","2","3","120","122401","102","太陽よりも輝く、夏海の元気娘。　持ち前の身体能力で、どんなコースも柔軟に対応し、駆け抜ける。","0","0","2.5","2","111","1","0.014"
"110","3","2","350","122501","103","波打ち際に煌めく、夏海の剣士。　日々の鍛錬で鍛えた脚で、長い距離も速度を落とさず走り切る。","1","0","2.5","3","105","0","0.017"
"110","4","3","130","107501","104","海の幸に目がない、渚のお姫様。　『王家の装備』の力を解放し、障害物をものともせず前へと進む。","0","0","1.5","4","105","1","0.016"
"110","5","1","160","107601","105","海でも主さまをお世話する、白浜の巫女。精霊の力で自身を加速させ、誰よりも速くゴールを目指す。","0","1","2.5","5","105","0","0.014"
"120","6","2","255","107801","106","水着姿を恥じらう、ツンデレ猫娘。お得意の魔法で、対戦相手の走りを妨害し、レースを有利に進める。","1","0","3.5","6","103","0","0.029"
"120","7","1","160","110601","107","優雅に浜を駆ける、真夏のマホ姫。しゃなりしゃなりと、雅な身のこなしで障害物を跳び越えていく。","0","1","3.5","7","103","0","0.013"
"110","8","2","350","110401","108","浜の平和を守る、真夏の狼娘。　　獣人の強靭なスタミナで、レース　後半にスパートをかける。","1","0","2.5","8","103","0","0.014"
"105","9","3","130","110501","109","浜に力強く舞う、真夏の南国娘。　レースの喧噪の中でも精神を乱さず後半に大きな捲りを見せる。","0","0","1.5","9","100","1","0.012"
"105","10","1","200","115701","110","浜の事件を嗅ぎ付けた、真夏の　　名探偵。高い推理力と魔法で、的確に対戦相手の走りを乱す。","0","1","2.5","10","103","0","0.014"
"105","11","2","350","113601","111","再び鎧を脱いだ、灼熱の騎士団長。実戦で培った判断力で、瞬時にバリアを展開し、障害物を無力化する。","1","0","2.5","11","103","0","0.071"
"120","12","3","130","107901","112","水が苦手な、海辺の気まぐれ猫娘。浜に現れた美少女義賊は、対戦相手のスピードを奪いとる。","0","0","1.5","12","103","1","0.014"
"110","13","2","200","108001","113","バカンスも効率第一な、海の傭兵。レースでも最高効率を求め、どんな状況でも隙のない走りを見せる。","0","1","1.5","13","105","0","0.022"
"110","14","1","160","110301","114","真夏の太陽が良く似合う、海辺の　サレンママ。多才で器用、どんな　障害物もエレガントに越えていく。","0","1","2.5","14","108","0","0.031"
"110","15","1","130","107701","115","海に嵐を呼ぶ夏のドジっ娘メイド。日頃から災難に慣れており、多少　のトラブルには動じたりしない。","0","0","0.5","15","105","1","0.036"
"110","16","2","350","113101","116","粋な夏を愉しむ、若夏の姉御。　　流麗な身体捌きで、始・継・終と、UBを重ねるごとに、加速する。","1","0","3.5","16","95","0","0.048"
