e8c7a7d62012984b5cbb664c5292b783705a2e6e7bb477df520631e205a44859,ece5b39cb0e18d38685a0130d3c7db6977a35ff7bc98261c47226830c62618c1,d22bedc74595d1d546acad9fc2fc06762e65457c10db209300538b53b7b05331,9e275b01672a03f84082b785cbbd2c918e0332864477a0690dccc7dbcfc3e80b,264ab20376fd35fc388d03e5309be72dab6eade7f8cf8c3e9b45a3461a021f4c
"1","31058","2","10","9105801"
"2","31020","2","10","9102001"
"3","31002","2","10","9100201"
"4","31055","2","10","9105501"
"5","31016","2","10","9101601"
"6","31124","2","10","9112401"
"7","31044","2","10","9104401"
"8","31023","2","10","9102301"
"9","31059","2","10","9105901"
"10","31042","2","10","9104201"
"11","31040","2","10","9104001"
"12","31021","2","10","9102101"
"13","31063","2","10","9106301"
"14","31065","2","10","9106501"
"15","31009","2","10","9100901"
"16","31017","2","10","9101701"
"17","31056","2","10","9105601"
"18","31053","2","10","9105301"
"19","31027","2","10","9102701"
"20","31108","2","10","9110801"
"21","31043","2","10","9104301"
"22","31125","2","10","9112501"
"23","31004","2","10","9100401"
"24","31037","2","10","9103701"
"25","31061","2","10","9106101"
"26","31018","2","10","9101801"
"27","31013","2","10","9101301"
"28","31011","2","10","9101101"
"29","31001","2","10","9100101"
"30","31030","2","10","9103001"
"31","31060","2","10","9106001"
"32","31015","2","10","9101501"
"33","31054","2","10","9105401"
"34","31109","2","10","9110901"
"35","31010","2","10","9101001"
"36","31066","2","10","9106601"
"37","31028","2","10","9102801"
"38","31008","2","10","9100801"
"39","31049","2","10","9104901"
"40","31047","2","10","9104701"
"41","31014","2","10","9101401"
"42","31094","2","10","9109401"
"43","31038","2","10","9103801"
"44","31048","2","10","9104801"
"45","31045","2","10","9104501"
"46","31022","2","10","9100601"
"47","31006","2","10","9100601"
"48","31005","2","10","9100501"
"49","31126","2","10","9112601"
"50","31092","2","10","9109201"
"51","31025","2","10","9102501"
"52","31031","2","10","9103101"
"53","31012","2","10","9101201"
"54","31026","2","10","9102601"
"55","31050","2","10","9105001"
"56","31003","2","10","9100301"
"57","31007","2","10","9100701"
"58","31029","2","10","9102901"
"59","31036","2","10","9103601"
"60","31093","2","10","9109301"
"61","31071","2","10","9107101"
"62","31110","2","10","9111001"
"63","31046","2","10","9104601"
"64","31033","2","10","9103301"
"65","31051","2","10","9105101"
"66","31057","2","10","9105701"
"67","31032","2","10","9103201"
"68","31052","2","10","9105201"
"69","31034","2","10","9103401"
"70","31070","2","10","9107001"
"71","31058","2","10","9105802"
"72","31020","2","10","9102002"
"73","31002","2","10","9100202"
"74","31055","2","10","9105502"
"75","31016","2","10","9101602"
"77","31044","2","10","9104402"
"78","31023","2","10","9102302"
"79","31059","2","10","9105902"
"80","31042","2","10","9104202"
"81","31040","2","10","9104002"
"82","31021","2","10","9102102"
"83","31063","2","10","9106302"
"84","31065","2","10","9106502"
"85","31009","2","10","9100902"
"86","31017","2","10","9101702"
"87","31056","2","10","9105602"
"88","31068","2","10","9106802"
"89","31053","2","10","9105302"
"90","31027","2","10","9102702"
"91","31108","2","10","9110802"
"92","31043","2","10","9104302"
"94","31004","2","10","9100402"
"95","31037","2","10","9103702"
"96","31061","2","10","9106102"
"97","31018","2","10","9101802"
"98","31013","2","10","9101302"
"99","31011","2","10","9101102"
"100","31001","2","10","9100102"
"101","31030","2","10","9103002"
"102","31060","2","10","9106002"
"103","31015","2","10","9101502"
"104","31054","2","10","9105402"
"105","31109","2","10","9110902"
"106","31180","2","10","9118002"
"107","31010","2","10","9101002"
"108","31066","2","10","9106602"
"109","31028","2","10","9102802"
"110","31008","2","10","9100802"
"111","31049","2","10","9104902"
"112","31047","2","10","9104702"
"113","31014","2","10","9101402"
"114","31094","2","10","9109402"
"115","31038","2","10","9103802"
"116","31048","2","10","9104802"
"117","31045","2","10","9104502"
"118","31022","2","10","9100602"
"119","31006","2","10","9100602"
"120","31005","2","10","9100502"
"122","31092","2","10","9109202"
"123","31025","2","10","9102502"
"124","31031","2","10","9103102"
"125","31012","2","10","9101202"
"126","31026","2","10","9102602"
"127","31050","2","10","9105002"
"128","31003","2","10","9100302"
"129","31007","2","10","9100702"
"130","31029","2","10","9102902"
"131","31036","2","10","9103602"
"132","31093","2","10","9109302"
"133","31071","2","10","9107102"
"134","31110","2","10","9111002"
"135","31046","2","10","9104602"
"136","31033","2","10","9103302"
"137","31051","2","10","9105102"
"138","31057","2","10","9105702"
"139","31032","2","10","9103202"
"140","31052","2","10","9105202"
"141","31034","2","10","9103402"
"142","31070","2","10","9107002"
"143","31058","2","10","9105803"
"144","31020","2","10","9102003"
"145","31002","2","10","9100203"
"146","31055","2","10","9105503"
"147","31016","2","10","9101603"
"148","31067","2","10","9106703"
"149","31044","2","10","9104403"
"150","31023","2","10","9102303"
"151","31059","2","10","9105903"
"152","31042","2","10","9104203"
"153","31040","2","10","9104003"
"154","31021","2","10","9102103"
"155","31063","2","10","9106303"
"156","31065","2","10","9106503"
"157","31009","2","10","9100903"
"158","31017","2","10","9101703"
"159","31056","2","10","9105603"
"160","31068","2","10","9106803"
"161","31053","2","10","9105303"
"162","31027","2","10","9102703"
"163","31108","2","10","9110803"
"164","31043","2","10","9104303"
"165","31004","2","10","9100403"
"166","31037","2","10","9103703"
"167","31061","2","10","9106103"
"168","31018","2","10","9101803"
"169","31013","2","10","9101303"
"170","31011","2","10","9101103"
"171","31001","2","10","9100103"
"172","31030","2","10","9103003"
"173","31060","2","10","9106003"
"174","31015","2","10","9101503"
"175","31054","2","10","9105403"
"176","31185","2","10","9118503"
"177","31109","2","10","9110903"
"178","31180","2","10","9118003"
"179","31010","2","10","9101003"
"180","31066","2","10","9106603"
"181","31028","2","10","9102803"
"182","31008","2","10","9100803"
"183","31049","2","10","9104903"
"184","31047","2","10","9104703"
"185","31038","2","10","9103803"
"186","31014","2","10","9101403"
"187","31094","2","10","9109403"
"188","31048","2","10","9104803"
"189","31045","2","10","9104503"
"190","31022","2","10","9100603"
"191","31006","2","10","9100603"
"192","31005","2","10","9100503"
"193","31092","2","10","9109203"
"194","31025","2","10","9102503"
"195","31064","2","10","9106403"
"196","31031","2","10","9103103"
"197","31012","2","10","9101203"
"198","31181","2","10","9118103"
"199","31026","2","10","9102603"
"200","31050","2","10","9105003"
"201","31003","2","10","9100303"
"202","31007","2","10","9100703"
"203","31029","2","10","9102903"
"204","31036","2","10","9103603"
"205","31093","2","10","9109303"
"206","31071","2","10","9107103"
"207","31230","2","10","9123003"
"208","31110","2","10","9111003"
"209","31046","2","10","9104603"
"210","31033","2","10","9103303"
"211","31051","2","10","9105103"
"212","31057","2","10","9105703"
"213","31032","2","10","9103203"
"214","31052","2","10","9105203"
"215","31034","2","10","9103403"
"216","31070","2","10","9107003"
