38d006d4d1574875f5fd17f1912c34516c8fff2b9978a1a399e81a4e5afe3853,6cd45fee135b3c8cd7d809e8085bceb95bd5ddcbd4338a5935b71463f237eb28,04b16b8087e2d36d95c1f2094d832812ccc0d5f4e0932332d150475f8190cf3b,769000ea6795a5e854e6411a7bd44740b070c55a3c05f4154548d582cdd41a9b,570720dabecb91a07f47f48874b3668f6875e284bcf2020e9adfeca56d849a76,61fb46d89abca25dca517f95aeb7565dfc9aa7b7d0efdc0d4fd61de186ab3c1a,10f8597f04d2cf69d6aa67d8e4b8e1848d1bed2aee01a4d373246134658136ec
"ボスNORMAL討伐で解放！","107601","[3C404E]ボスNORMAL討伐で解放！","20004","10","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72004021"
"ボスNORMAL討伐で解放！","108001","[3C404E]ボスNORMAL討伐で解放！","20005","12","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72005021"
"ボスNORMAL討伐で解放！","108201","[3C404E]ボスNORMAL討伐で解放！","20007","15","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72007021"
"ボスNORMAL討伐で解放！","108501","[3C404E]ボスNORMAL討伐で解放！","20009","17","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72009021"
"ボスNORMAL討伐で解放！","108901","[3C404E]ボスNORMAL討伐で解放！","20010","19","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72010021"
"ボスNORMAL討伐で解放！","109001","[3C404E]ボスNORMAL討伐で解放！","20011","21","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72011021"
"ボスNORMAL討伐で解放！","109301","[3C404E]ボスNORMAL討伐で解放！","20013","22","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72013021"
"ボスNORMAL討伐で解放！","110101","[3C404E]ボスNORMAL討伐で解放！","20015","23","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72015021"
"ボスNORMAL討伐で解放！","110501","[3C404E]ボスNORMAL討伐で解放！","20016","24","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72016021"
"ボスNORMAL討伐で解放！","111201","[3C404E]ボスNORMAL討伐で解放！","20018","25","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72018021"
"ボスNORMAL討伐で解放！","111601","[3C404E]ボスNORMAL討伐で解放！","20020","26","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72020021"
"ボスNORMAL討伐で解放！","112101","[3C404E]ボスNORMAL討伐で解放！","20021","27","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72021021"
"ボスNORMAL討伐で解放！","112301","[3C404E]ボスNORMAL討伐で解放！","20022","28","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72022021"
"ボスNORMAL討伐で解放！","113001","[3C404E]ボスNORMAL討伐で解放！","20025","29","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72025021"
"ボスNORMAL討伐で解放！","113201","[3C404E]ボスNORMAL討伐で解放！","20026","30","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72026021"
"ボスNORMAL討伐で解放！","113501","[3C404E]ボスNORMAL討伐で解放！","20027","31","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72027021"
"ボスNORMAL討伐で解放！","114101","[3C404E]ボスNORMAL討伐で解放！","20029","32","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72029021"
"ボスNORMAL討伐で解放！","114601","[3C404E]ボスNORMAL討伐で解放！","20031","33","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72031021"
"ボスNORMAL討伐で解放！","114701","[3C404E]ボスNORMAL討伐で解放！","20032","34","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72032021"
"ボスNORMAL討伐で解放！","115601","[3C404E]ボスNORMAL討伐で解放！","20033","35","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72033021"
"ボスNORMAL討伐で解放！","115801","[3C404E]ボスNORMAL討伐で解放！","20035","36","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72035021"
"ボスNORMAL討伐で解放！","116801","[3C404E]ボスNORMAL討伐で解放！","20038","37","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72038021"
"ボスNORMAL討伐で解放！","117401","[3C404E]ボスNORMAL討伐で解放！","20040","38","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72040021"
"ボスNORMAL討伐で解放！","117801","[3C404E]ボスNORMAL討伐で解放！","20042","39","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72042021"
"ボスNORMAL討伐で解放！","119201","[3C404E]ボスNORMAL討伐で解放！","20044","40","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72044021"
"ボスNORMAL討伐で解放！","120801","[3C404E]ボスNORMAL討伐で解放！","20045","41","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72045021"
"ボスNORMAL討伐で解放！","121201","[3C404E]ボスNORMAL討伐で解放！","20047","42","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72047021"
"ボスNORMAL討伐で解放！","122101","[3C404E]ボスNORMAL討伐で解放！","20051","43","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72051021"
"ボスNORMAL討伐で解放！","122401","[3C404E]ボスNORMAL討伐で解放！","20052","44","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72052021"
"ボスNORMAL討伐で解放！","122801","[3C404E]ボスNORMAL討伐で解放！","20053","45","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72053021"
"ボスNORMAL討伐で解放！","123501","[3C404E]ボスNORMAL討伐で解放！","20055","46","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","72055021"
