eda8c55a1f5f26a3d367c077e133fc8d7404d75a72edc26cace512d4e5ec1019,d1fb7b13a99554aa21c88049abbb5c6601c03bdd2b80ff999f4cb9e6ecbb112f,707be3716a9d8b314330ed0c6c568400361a484271d221b9704acc48556e0975,c549f3f3bbf3b488d0b9547c7d254feeb306e72222f2bd884d2ebc20a46a848d,4f21a2bc92c879a6773f279465a80abbb0a9f9d5586009bfdb7aada7aa7c45a8,4ed395dd2716fa302ca98056ce0e66010964f3c540ef37864fa43a3f7129c879,bafd7771958e6dd57d4b8ea2a550e699591d3837181a466a833309023c6baa41,5604d13bd0040bdc663ce8a3906d3cf109583d1ad1c651cd41b6a0d4ed741fc1
"4","2","5","1","104","200","3","111"
"4","2","5","1","14","2","3","211"
"4","2","5","1","103","2","3","311"
"4","2","5","1","102","2","3","411"
"4","2","5","1","104","200","3","511"
"4","2","5","1","1","250","3","611"
"4","2","5","1","101","3","3","711"
"4","2","5","1","100","3","3","811"
"4","2","5","1","104","200","3","911"
"4","2","5","1","1","250","3","1011"
"4","2","5","1","3","250","3","1111"
"4","2","5","1","5","250","3","1112"
"4","2","5","1","6","150","3","1211"
"4","2","5","1","7","150","3","1212"
"4","2","5","1","104","200","3","1311"
"4","2","5","1","103","2","3","1411"
"4","2","5","1","102","2","3","1511"
"4","2","5","1","1","250","3","1611"
"4","2","5","1","104","200","3","1711"
"4","2","5","1","2","500","3","1811"
"4","2","5","1","4","500","3","1812"
"4","2","5","1","101","3","3","1911"
"4","2","5","1","100","3","3","2011"
"4","2","5","1","104","200","3","2111"
"4","2","5","1","1","250","3","2211"
"4","2","5","1","100","3","3","2311"
"4","2","5","1","101","3","3","2411"
"4","2","5","1","104","200","3","2511"
"4","2","5","1","2","500","3","2611"
"4","2","5","1","4","500","3","2612"
"4","2","5","1","6","150","3","2711"
"4","2","5","1","7","150","3","2712"
"4","2","5","1","2","500","3","2811"
"4","2","5","1","4","500","3","2812"
"4","2","5","1","104","200","3","2911"
"4","2","5","1","3","250","3","3011"
"4","2","5","1","5","250","3","3012"
"4","2","5","1","100","3","3","3111"
"4","2","5","1","101","3","3","3211"
"4","2","5","1","104","200","3","3311"
"4","2","5","1","100","2","3","3411"
"4","2","5","1","104","200","3","3511"
"4","2","5","1","103","1","3","3611"
"4","2","5","1","102","1","3","3711"
"4","2","5","1","2","250","3","3811"
"4","2","5","1","4","250","3","3812"
"4","2","5","1","102","1","3","3911"
"4","2","5","1","104","200","3","4011"
"4","2","5","1","100","2","3","4111"
"4","2","5","1","6","150","3","4211"
"4","2","5","1","7","150","3","4212"
"4","2","5","1","104","200","3","4311"
"4","2","5","1","103","1","3","4411"
"4","2","5","1","104","200","3","4511"
"4","2","5","1","101","2","3","4611"
"4","2","5","1","102","1","3","4711"
"4","2","5","1","104","200","3","4811"
"4","2","5","1","103","1","3","4911"
"4","2","5","1","104","200","3","5011"
"4","2","5","1","101","2","3","5111"
"4","2","5","1","102","1","3","5211"
"4","2","5","1","104","200","3","5311"
"4","2","5","1","6","150","3","5411"
"4","2","5","1","7","150","3","5412"
"4","2","5","1","103","1","3","5511"
"4","2","5","1","104","200","3","5611"
"4","2","5","1","100","2","3","5711"
"4","2","5","1","101","2","3","5811"
"4","2","5","1","103","1","3","5911"
"4","2","5","1","104","200","3","6011"
"4","2","5","1","102","1","3","6111"
