138881f81a27a7140df56eb5ef8a5ed11bf32aafe4c3f958b8486fbee133f76a,c7a9cdeb6aa2f7c9e40edcea0138dbb6a67c177421c7269c1b18f5a2a7ea2b59,598396722ed862df3410d4ec265825507eb78e48a6cac303c6ab026613e10280,38fa724514a16fe71a5872510ed778077905767c79cdc81f7e2ce4ebabed9cab,c88550f93856ec6599ee21c96e787319fdfe0875b4efa335f57bde7e6f28d228,1a9a901a50d964e3135044b1d6de935cbbef12d5e5c02abc7431dc86ae791a7f,790dc1e02a844df79c93a2496736266f073cd2af599373f247463b0bcf8d0f38,4def469fd1ea6114a3e6099fdeadea6bc277bf0b329fd970815fcbbb5a0cd754
"0","1","3050100","0","24","1","1","10101020"
"0","2","4010200","0","24","1","2","0"
"0","3","3030200","0","24","1","3","10401020"
"0","4","3050200","0","24","1","4","10401020"
"0","5","3040200","0","24","1","5","10401020"
"0","6","3020200","0","24","1","6","10401020"
"0","7","4010300","0","24","1","7","0"
"0","8","3030100","0","24","1","101","10101020"
"0","9","3010201","0","24","1","102","0"
"0","10","3020201","0","24","1","103","0"
"0","11","3010301","0","24","1","104","0"
"0","12","3030301","0","24","1","105","0"
"0","13","3040301","0","24","1","106","0"
"0","14","3050301","0","24","1","107","0"
"0","15","3020301","0","24","1","108","0"
"0","16","3030300","0","24","1","109","10401050"
"0","17","3040300","0","24","1","110","10401050"
"0","18","3050300","0","24","1","111","10401050"
"0","19","3020300","0","24","1","112","10401050"
"0","20","3010100","0","24","1","201","10101020"
"0","21","3020100","0","24","1","202","10101020"
"0","22","3030100","0","24","1","203","10101020"
"0","23","3040100","0","24","1","204","10101020"
"0","24","3050100","0","24","1","205","10101020"
"0","25","3010200","0","24","1","206","10101020"
"0","26","3020200","0","24","1","207","10101020"
"0","27","3030200","0","24","1","208","10101020"
"0","28","3040200","0","24","1","209","10101020"
"0","29","3050200","0","24","1","210","10101020"
"0","30","1010301","112","24","1","401","0"
"0","31","1020301","203","24","1","402","0"
"0","32","1030301","306","24","1","403","0"
"0","33","1040301","401","24","1","404","0"
"0","34","1050301","508","24","1","405","0"
"0","35","1020301","209","24","1","406","20101050"
"0","36","1030301","306","24","1","407","20101050"
"0","37","1040301","407","24","1","408","20101050"
"0","38","1050301","501","24","1","409","20101050"
"11001337","39","0","0","15","1","600","0"
"91002","40","0","0","8","150","600","0"
"11001338","41","0","0","15","1","700","0"
"91002","42","0","0","8","150","799","0"
"11001339","43","0","0","15","1","800","0"
"0","44","0","0","24","1","999","0"
