ac2eac16a0a5195a158f5ee0092beae58f802808f0eae802ddf385702518f776,b165801a6985484347926d04df5af9cd6cca656fd1595f244e6b81bbef691255,989095422b277daf1406146b51d7c1efa7576026d84d2dffef965cf985bee683,2aa0199919598957ba75f1f378f7e22fb87a394ecce28b3a5a85509993c27dcc,23becbaa119710c52bf93728c1f5abe64c548fc441d7bd8e25bbabf3937e33f1,4ad93671cbe07e380573ad37090e93b8a9187ff7be20c9b7ab09a14226781a37,3449ed6c3c1894bee608ae9be28f4e8a1ee92c54f7f8049c62677ce824e13286,29a8207be872039a972d8d4959627f6469f393b872eaa9f4e4cf3b0a561ce15e,8e76d8207616ded0d8708e5583c7b9abcbdd027cee37b8cde62960bc6cb01bc0,29f2608eaa1c8c51f4f497783f79c893a0b3b543f93c0c0a9cb5f7c5ea550457,17a467c985b29e383d83467ed33b79ed8d5292ab5c8219365d0f74e848aef765,d183ed17ae9da3764586e6756be0f8cd850a42cd57d842a652bd5878b4120703,9ff5e77d3947713052424a8e7fa8843fdd0252ef778cac1c4abc62d5ef0321a2,4637eeedbcd766331c3095dec9e0ed4fdcee4a4d5a8df1027263e448b743e1b5,a942e6e45ac629e823bbb76cffd7c104d8e077d354180bff30a9c183b4f56f8a,54ee573e89f5aecb9242e8028c982bea2f7b2e9dd16f1bbc0e534040fcf78aad
"1001001","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25011"
"1001002","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25012"
"1001003","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25013"
"1001004","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25014"
"1001005","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25015"
"1001006","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25011"
"1001007","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25012"
"1001008","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25013"
"1001009","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25014"
"1001010","400","2","12","8","10","91002","94002","25001","10","2","2","500000","200","90008","25015"
"1001011","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25011"
"1001012","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25012"
"1001013","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25013"
"1001014","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25014"
"1001015","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25015"
"1001016","0","2","12","8","10","91002","94002","25021","50","0","2","500000","200","90008","0"
"1001017","0","2","12","8","10","91002","94002","25021","50","0","2","500000","200","90008","0"
"1001018","0","2","12","8","10","91002","94002","25021","50","0","2","500000","200","90008","0"
"1002001","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25011"
"1002002","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25012"
"1002003","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25013"
"1002004","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25014"
"1002005","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25015"
"1002006","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25011"
"1002007","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25012"
"1002008","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25013"
"1002009","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25014"
"1002010","400","2","12","8","10","91002","94002","25001","10","2","2","500000","200","90008","25015"
"1002011","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25011"
"1002012","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25012"
"1002013","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25013"
"1002014","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25014"
"1002015","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25015"
"1002016","0","2","12","8","10","91002","94002","25021","50","0","2","500000","200","90008","0"
"1002017","0","2","12","8","10","91002","94002","25021","50","0","2","500000","200","90008","0"
"1002018","0","2","12","8","10","91002","94002","25021","50","0","2","500000","200","90008","0"
"1003001","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25011"
"1003002","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25012"
"1003003","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25013"
"1003004","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25014"
"1003005","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25015"
"1003006","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25011"
"1003007","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25012"
"1003008","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25013"
"1003009","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25014"
"1003010","400","2","12","8","10","91002","94002","25001","10","2","2","500000","200","90008","25015"
"1003011","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25011"
"1003012","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25012"
"1003013","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25013"
"1003014","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25014"
"1003015","400","2","12","8","10","91002","94002","25021","50","2","2","500000","200","90008","25015"
"1003016","0","2","12","8","10","91002","94002","25021","50","0","2","500000","200","90008","0"
