b9ec20b79cd2baa21d29571cdedca97c2c5d5f033065e3d79bef857d0aac3868,9a89d1040b744ef5a96bec8e42ea3185fa4a36558de2668c37e399fc96365c86,90efea31da74a1ce709b3c5f5bdfb56b199918abc4da1485ebc1c9b141691b45,ffcae350bd4ad4e783ac51fe32ac5ca83351b4d14abc76ae62d8bfe148c4582f,c09908fa2efe1b4a918651542e0d0b4e453e1d637b053b2e70c717a2c52e3330,600a6dc2b3aad3ba324fff951ee2ce50e9c95df8db816887fdaf42e38921a210,369ca0b88535f0f472c5c4c7421b3d6c9ca070f59bec02926fddbaefbe4b4a03
"ふっふっふ、これでカヤぴぃとボスを見返してやるです！","2","vo_minigame_1004_top_1_000","1","vo_minigame_1004","10001","1000101"
"しりとりでの戦い、お兄さんにも手伝ってもらうです","2","vo_minigame_1004_top_1_003","1","vo_minigame_1004","10002","1000201"
"どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！","1","vo_minigame_1004_top_1_004","2","vo_minigame_1004","10003","1000301"
"石板でしりとりか……イノリのヤツおもしろいこと考えるな","1","vo_minigame_1004_top_1_005","2","vo_minigame_1004","10004","1000401"
"しりとりだろうがなんだろうが返り討ちにしてやるぜ","1","vo_minigame_1004_top_1_006","2","vo_minigame_1004","10005","1000501"
"ぐもも……（オデ、ハラヘッタ）","2","vo_minigame_1004_top_1_007","3","vo_minigame_1004","10006","1000601"
"ぐもももも（シリトリ タノシイ）","2","vo_minigame_1004_top_1_008","3","vo_minigame_1004","10007","1000701"
"ぐもももも！（イノリ イイヤツ）","2","vo_minigame_1004_top_1_009","3","vo_minigame_1004","10008","1000801"
"カヤぴぃ相手でも手加減しないです","2","vo_minigame_1004_top_2_010","1","vo_minigame_1004","10009","1000901"
"上等だ！やるからには本気で来いよな","1","vo_minigame_1004_top_2_011","2","vo_minigame_1004","10009","1000902"
"カヤぴぃ、謝るなら今のうちです","2","vo_minigame_1004_top_2_012","1","vo_minigame_1004","10010","1001001"
"イノリこそ泣きを入れるなら今のうちだぜ？","1","vo_minigame_1004_top_2_013","2","vo_minigame_1004","10010","1001002"
"カヤぴぃ、これからは知性の時代ですよ？","2","vo_minigame_1004_top_2_014","1","vo_minigame_1004","10011","1001101"
