306954af60d4a1daffe1c247678c4f441357afc01e6df663a835486292c01870,ca347b4793ea59dc1d5cd7db6152165067a2c960cdd4de66d1c7043684c92fb0,3241ab5a2e7eb72d2f674e29d30a28e2a39450e080c76f877d73a8f5605bec0a,d42d65a262accc720395999ed88a094609c6058a6498cfe0405a30252c53d222,5997d2ea1e49ac706236a5a07722137e04623670744d668498968d0fc6bbac3c,17cc71002175acfc5e61fd4ad782e98bbc7b1dd5588ab261daf7a197e61999cf,db2be72d332631e7181fdb0cb678b88e66ee828bb287f11e3d68ba2eacb6fb6d,d3442c7afb24339fbb0d79c060b50f75b4dca65bf970f596641f1aeb2ca61c35,e810d990df15d626612f4d20a58a354cdd4a37b8d5beeb2c010e4a548e105ca5,e4e34b756f057ba579247ebe4beef9464cd4d1e0c995f71cb94a265129e9b5e8,e654180ee5e1969caa783811ce91109a72265fbfe07e23324cc706fddaac7238,58f66e3b038d29caa483b460f18e3b37949b31dddde003c0fdd65bc8e0a5c3ec
"0","0","12","0","1","1","1120001","0","0","4","3","0"
"0","0","12","0","2","0","1120002","vo_nyx_0101","0","2","0","vo_nyx"
"2.698","0","12","280","3","0","1120003","0","1","1","0","0"
"0","0","12","0","4","3.334","1120004","0","0","4","1","0"
"0","0","12","0","5","0","1120005","vo_nyx_0102","0","2","0","vo_nyx"
"1.055","280","12","382","6","0","1120006","0","1","1","0","0"
"0","0","12","0","7","1.055","1120007","0","0","4","1","0"
"0.732","0","12","88","8","0","1120008","0","2","1","0","0"
"0","0","12","0","9","1.05","1120009","0","0","4","1","0"
"2.42","88","12","365","10","0","1120010","0","2","1","0","0"
"0","0","12","0","11","3.5","1120011","0","0","4","1","0"
"0","0","12","0","12","2","1120012","0","0","4","3","0"
"0","0","12","0","13","0","1120013","vo_nyx_0103","0","2","0","vo_nyx"
"0.815","0","12","82","14","0","1120014","0","3","1","0","0"
"0","0","12","0","15","1.157","1120015","0","0","4","1","0"
"2.763","82","12","372","16","0","1120016","0","3","1","0","0"
"0","0","12","0","17","2.763","1120017","0","0","4","1","0"
"2.388","0","12","250","18","0","1120018","0","4","1","0","0"
"0","0","12","0","19","3.338","1120019","0","0","4","1","0"
"0","0","12","0","20","0","1120020","vo_nyx_0104","0","2","0","vo_nyx"
"0.778","0","12","71","21","0","1120021","0","5","1","0","0"
"0","0","12","0","22","1.214","1120022","0","0","4","1","0"
"3.167","71","12","375","23","0","1120023","0","5","1","0","0"
"0","0","12","0","24","3.61","1120024","0","0","4","1","0"
"2.618","0","12","256","25","0","1120025","0","6","1","0","0"
"0","0","12","0","26","3.198","1120026","0","0","4","1","0"
"0","0","12","0","27","0","1120027","vo_nyx_0105","0","2","0","vo_nyx"
"1.4","256","12","392","28","0","1120028","0","6","1","0","0"
"0","0","12","0","29","1.448","1120029","0","0","4","1","0"
"2.927","0","12","296","30","0","1120030","0","7","1","0","0"
"0","0","12","0","31","3.811","1120031","0","0","4","1","0"
"0","0","12","0","32","3","1120032","0","0","4","3","0"
"0","0","12","0","33","0","1120033","vo_nyx_0106","0","2","0","vo_nyx"
"0.506","296","12","360","34","0","1120034","0","7","1","0","0"
"0","0","12","0","35","1.175","1120035","0","0","4","1","0"
"0","0","12","0","36","3","1120036","0","0","4","3","0"
"0","0","12","0","37","0","1120037","vo_nyx_0107","0","2","0","vo_nyx"
"1.439","0","12","159","38","0","1120038","0","8","1","0","0"
"0","0","12","0","39","1.439","1120039","0","0","4","1","0"
"1.462","159","12","315","40","0","1120040","0","8","1","0","0"
