e18ffeac4d10421c499593a774780f24d46ee0230176d5e74cb0b97c93bad0b3,b8f45ec2d7d2ad52647ab062b36b1f450fa202bfb03218aaaa89fede9e44b442,df3ceede5346416a8265364a488294aee32dbe747355959c7643a2895c781c13,7448be5a7a518ce899be08a25bb224a7cdab58bebbe0e0d44b3821b34efb5914,052c88934ca6ba02ad85cb395934c9e8da0a462e3deaefee59e48ad8db9ee266,f794318e4225857dab1a7280b9223ddc930cb168eb4bf747ce448d9bc094147e,6843d8febf06baa46335192071490508cfed913e531c5ccb0e049642d9ea26b5,f67fa6a0d3bf1a702fd8beda5ad4c10c2201b1f07f4e84507ac36b3d112c93eb
"182","-90","-401","1","1","71","1","170"
"182","-90","-401","2","2","81","1","170"
"182","90","-255","3","3","121","1","255"
"182","90","-255","4","4","131","1","255"
"182","90","-255","5","5","141","1","255"
"176","-80","-107","6","6","191","1","229"
"176","-80","-107","7","7","201","1","229"
"151","-85","136","8","8","271","1","218"
"151","-85","136","9","9","281","1","218"
"151","-85","136","10","10","291","1","218"
"219","80","280","11","11","331","1","156"
"219","80","280","12","12","341","1","156"
"219","80","280","13","13","351","1","156"
"183","-97","417","14","14","401","1","213"
"183","-97","417","15","15","411","1","213"
"229","-73","-259","2","1","451","2","242"
"179","124","-222","4","2","481","2","226"
"192","-67","-101","6","3","501","2","219"
"190","-27","-26","8","4","521","2","168"
"260","-50","117","11","5","551","2","192"
"138","120","241","14","6","601","2","159"
"138","120","241","14","7","611","2","159"
"229","-71","243","14","8","621","2","224"
"43","32","-353","1","1","781","3","71"
"268","-30","-228","2","2","801","3","235"
"45","144","-243","3","3","831","3","80"
"225","-76","20","4","4","851","3","221"
"222","-74","230","5","5","861","3","211"
"136","44","-100","6","6","891","3","115"
"136","44","-100","7","7","901","3","115"
"250","76","116","8","8","991","3","306"
"250","76","116","9","9","1001","3","306"
"250","76","116","10","10","1011","3","306"
"188","40","322","11","11","1041","3","96"
"188","40","322","12","12","1051","3","96"
"272","-6","-211","1","1","1091","4","294"
"115","129","-288","2","2","1101","4","92"
"115","129","-288","3","3","1111","4","92"
"174","128","-58","4","4","1121","4","135"
"184","133","143","5","5","1151","4","222"
"98","-129","-277","6","6","1161","4","134"
"98","-129","-277","7","7","1171","4","134"
"70","-12","-60","8","8","1211","4","67"
"70","-12","-60","9","9","1221","4","67"
"185","-55","116","10","10","1231","4","132"
"89","-103","-17","11","11","1261","4","93"
"89","-103","-17","12","12","1271","4","93"
"239","23","232","13","13","1311","4","150"
"72","-161","-289","1","1","1391","5","114"
"72","-161","-289","2","2","1401","5","114"
"248","80","-261","3","3","1411","5","228"
"211","-91","-103","4","4","1431","5","223"
"181","95","-87","5","5","1471","5","186"
"176","-122","69","6","6","1551","5","132"
"176","-122","69","7","7","1561","5","132"
"184","91","54","8","8","1611","5","143"
"247","45","204","9","9","1641","5","211"
"167","141","308","10","10","1651","5","137"
"174","-46","282","11","11","1661","5","175"
"240","-11","-252","1","1","1741","6","222"
"245","-96","-19","2","2","1761","6","311"
"221","95","-46","3","3","1771","6","261"
"237","83","152","4","4","1781","6","166"
"229","-100","227","5","5","1782","6","183"
"183","-46","-249","1","1","1811","7","223"
"247","54","-159","2","2","1881","7","337"
"191","-70","30","3","3","1921","7","202"
"215","0","173","4","4","1941","7","176"
"236","77","292","5","5","1981","7","204"
"254","89","-472","1","1","2001","8","209"
"282","-77","-375","2","2","2031","8","250"
"223","110","-280","3","3","2051","8","241"
"270","-85","-148","4","4","2101","8","243"
"264","74","3","5","5","2131","8","274"
"302","-36","155","6","6","2171","8","321"
"277","82","283","7","7","2201","8","199"
"344","0","374","8","8","2271","8","349"
"301","-30","-275","1","1","2321","9","240"
"108","-115","-132","2","2","2361","9","106"
"108","-115","-132","3","3","2371","9","106"
"246","32","-73","4","4","2381","9","202"
"84","-140","-43","5","5","2411","9","114"
"84","-140","-43","6","6","2421","9","114"
"84","65","50","8","7","2461","9","86"
"84","65","50","9","8","2471","9","86"
"137","-110","80","10","9","2481","9","185"
"137","-110","80","11","10","2491","9","185"
"377","24","131","7","11","2521","9","301"
"305","-50","280","12","12","2531","9","190"
"145","-137","-527","3","1","2601","10","123"
"145","-137","-527","4","2","2611","10","123"
"295","35","-379","1","3","2621","10","408"
"192","103","-299","2","4","2622","10","171"
"244","-64","-138","6","5","2623","10","342"
"254","9","-47","5","6","2701","10","224"
"204","-88","131","8","7","2781","10","253"
"139","23","89","9","8","2791","10","110"
"139","23","89","10","9","2801","10","110"
"249","42","275","7","10","2811","10","292"
"151","-120","274","11","11","2821","10","126"
"151","-120","274","12","12","2831","10","126"
"316","-17","448","13","13","2841","10","276"
"203","-87","-292","1","1","2901","11","158"
"187","123","-224","2","2","3011","11","256"
"225","-80","-65","3","3","3031","11","144"
"214","-84","80","4","4","3111","11","149"
"194","112","227","5","5","3131","11","201"
"111","-111","159","6","6","3141","11","161"
"111","-111","159","7","7","3151","11","161"
"209","-80","307","8","8","3171","11","166"
"206","-106","-185","3","1","3211","12","364"
"277","34","-304","1","2","3221","12","160"
"275","45","-107","2","3","3231","12","249"
"233","-46","31","5","4","3321","12","167"
"130","-122","135","7","5","3381","12","174"
"130","-122","135","8","6","3391","12","174"
"223","101","127","4","7","3431","12","244"
"246","-24","254","6","8","3441","12","235"
"156","-114","303","9","9","3461","12","167"
"156","-114","303","10","10","3471","12","167"
"94","152","338","11","11","3491","12","108"
"94","152","338","12","12","3501","12","108"
"270","-48","-286","3","1","3531","13","210"
"103","144","-310","2","2","3541","13","92"
"219","-90","-152","3","3","3551","13","228"
"103","99","-148","4","4","3561","13","94"
"71","-157","-12","5","5","3571","13","110"
"274","-2","-5","1","6","3581","13","209"
"292","-72","141","6","7","3691","13","219"
"104","143","146","7","8","3701","13","88"
"135","131","299","8","9","3741","13","160"
"135","131","299","9","10","3751","13","160"
"268","-82","301","10","11","3791","13","179"
"286","6","-470","2","1","3801","14","197"
"89","-123","-520","3","2","3811","14","134"
"236","103","-369","1","3","3821","14","204"
"241","-74","-283","5","4","3861","14","176"
"236","-83","-151","6","5","3891","14","156"
"226","108","-174","4","6","3911","14","219"
