8f01958cccb09ee7b6b3260a117113741c90d93f254816865fe3b9814d0440b2,3aeea28a5c197f661914c494d60f0f78250b71957baa4152cd2c826588178525,27e7f12b5e814d49e80c26fb95be6931047d85469066c191ce7e89bba4e3bfcd,80a10da109aea71d0ba43d69e8125458cd02d865a758458c009f10ab499db8bf,a572cc0c267e759d9e903b1693e8b8304e22821e8860cb3633854fdbdce93871,70ef46d3e7365464ad2d218ba0789d680628253c954f76dd954f45653d9704ad,75fe25ecfe1e809bc7a72e6f5e8cf3e0e52056121fb00a0918aa51ebad440a63,000ef64f266b996727c642978cc8a23aac476f8743db7f445619dd4cc8c91f12,0072a8db7e9114224b1ffcb7e3787b07439df226e343d06c08ae464321285b10,1f42e8aea4e441b4c3c106cc5d0ac9cf79e86eec5423917169da2179be86f69e,f6631650191c2888a76a627044e3d0ba4ef9ca8b7c9f7d3a776ad6379053eee7
"1","1","1","1001","40","sjr_talk_idle","-194","1.65","100","1","122611"
"","1","3","1002","","","","0.2","1","122611","sjr_talk_wish_look"
"","1","21","1003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_001"
"0","1","11","1004","1","1","0","0","10","122611","騎士クン…見ててね\nわたし、頑張って\n走るから…！"
"","1","91","1005","","","","","","0",""
"","1","3","1006","","","","0.2","1","122611","sjr_talk_idle"
"1","2","1","2001","40","sjr_talk_idle","-194","1.65","100","1","122611"
"","2","3","2002","","","","0.2","1","122611","sjr_talk_mouth_hidden_shy"
"","2","21","2003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_002"
"0","2","11","2004","1","1","0","0","7","122611","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…"
"","2","91","2005","","","","","","0",""
"","2","3","2006","","","","0.2","1","122611","sjr_talk_idle"
"1","3","1","3001","40","sjr_talk_idle","-194","1.65","100","1","122611"
"0","3","3","3002","sjr_talk_stepback_worry","","1","0.2","0","122611","sjr_talk_stepback_surprise_worry"
"","3","21","3003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_003"
"0","3","11","3004","1","1","0","0","8","122611","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…"
"","3","91","3005","","","","","","0",""
"","3","3","3006","","","","0.2","1","122611","sjr_talk_idle"
"1","4","1","4001","40","sjr_talk_idle","-194","1.65","100","1","122611"
"","4","3","4002","","","","0.2","1","122611","sjr_talk_thinking_surprise"
"","4","21","4003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_004"
"0","4","11","4004","1","1","0","0","6","122611","変わったコースが\nいっぱいあるね\nどれに出ようかな…"
"","4","91","4005","","","","","","0",""
"","4","3","4006","","","","0.2","1","122611","sjr_talk_idle"
"1","5","1","5001","40","sjr_talk_idle","-194","1.65","100","1","122611"
"0","5","3","5002","sjr_talk_guts2_anger_loop","","1","0.2","0","122611","sjr_talk_guts2_anger"
"","5","21","5003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_005"
"0","5","11","5004","1","1","0","0","7","122611","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！"
"","5","91","5005","","","","","","0",""
"","5","3","5006","","","","0.2","1","122611","sjr_talk_idle"
"1","6","1","6001","40","sjr_talk_idle","-194","1.65","100","1","122511"
"0","6","3","6002","sjr_talk_arm_crossed_look_loop","","1","0.2","0","122511","sjr_talk_arm_crossed_joy_look"
"","6","21","6003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_006"
"0","6","11","6004","1","1","0","0","6","122511","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ"
"","6","91","6005","","","","","","0",""
"","6","3","6006","","","","0.2","1","122511","sjr_talk_idle"
"1","7","1","7001","40","sjr_talk_idle","-194","1.65","100","1","122511"
"","7","3","7002","","","","0.2","1","122511","sjr_talk_mouth_hidden2_shy"
"","7","21","7003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_007"
"0","7","11","7004","1","1","0","0","6","122511","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…"
"","7","91","7005","","","","","","0",""
"","7","3","7006","","","","0.2","1","122511","sjr_talk_idle"
"1","8","1","8001","40","sjr_talk_idle","-194","1.65","100","1","122511"
"","8","3","8002","","","","0.2","1","122511","sjr_talk_mouth_hidden"
"","8","21","8003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_008"
"0","8","11","8004","1","1","0","0","6","122511","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！"
"","8","91","8005","","","","","","0",""
"","8","3","8006","","","","0.2","1","122511","sjr_talk_idle"
"1","9","1","9001","40","sjr_talk_idle","-194","1.65","100","1","122511"
"","9","3","9002","","","","0.2","1","122511","sjr_talk_stepback_surprise"
"","9","21","9003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_009"
"0","9","11","9004","1","1","0","0","6","122511","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな"
"","9","91","9005","","","","","","0",""
"","9","3","9006","","","","0.2","1","122511","sjr_talk_idle"
"1","10","1","10001","40","sjr_talk_idle","-194","1.65","100","1","122511"
"","10","3","10002","","","","0.2","1","122511","sjr_talk_thinking_blink"
"","10","21","10003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_010"
"0","10","11","10004","1","1","0","0","5","122511","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か"
"","10","91","10005","","","","","","0",""
"","10","3","10006","","","","0.2","1","122511","sjr_talk_idle"
"1","11","1","11001","40","sjr_talk_idle","-194","1.65","100","1","122411"
"0","11","3","11002","sjr_talk_eieio_loop","","1","0.2","0","122411","sjr_talk_eieio"
"","11","21","11003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_011"
"0","11","11","11004","1","1","0","0","6","122411","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！"
"","11","91","11005","","","","","","0",""
"","11","3","11006","","","","0.2","1","122411","sjr_talk_idle"
"1","12","1","12001","40","sjr_talk_idle","-194","1.65","100","1","122411"
"","12","3","12002","","","","0.2","1","122411","sjr_talk_arm_opened_wink"
"","12","21","12003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_012"
"0","12","11","12004","1","1","0","0","6","122411","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！"
"","12","91","12005","","","","","","0",""
"","12","3","12006","","","","0.2","1","122411","sjr_talk_idle"
"1","13","1","13001","40","sjr_talk_idle","-194","1.65","100","1","122411"
"0","13","3","13002","sjr_talk_doya_loop","","1","0.2","0","122411","sjr_talk_doya"
"","13","21","13003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_013"
"0","13","11","13004","1","1","0","0","8","122411","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪"
"","13","91","13005","","","","","","0",""
"","13","3","13006","","","","0.2","1","122411","sjr_talk_idle"
"1","14","1","14001","40","sjr_talk_idle","-194","1.65","100","1","122411"
"0","14","3","14002","sjr_talk_swing_joy","","1","0.2","0","122411","sjr_talk_watch_arm_opened"
"","14","21","14003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_014"
"0","14","11","14004","1","1","0","0","7","122411","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！"
"","14","91","14005","","","","","","0",""
"","14","3","14006","","","","0.2","1","122411","sjr_talk_idle"
"1","15","1","15001","40","sjr_talk_idle","-194","1.65","100","1","122411"
"","15","3","15002","","","","0.2","1","122411","sjr_talk_wish_doya"
"","15","21","15003","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_1_015"
"0","15","11","15004","1","1","0","0","7","122411","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！"
"","15","91","15005","","","","","","0",""
"","15","3","15006","","","","0.2","1","122411","sjr_talk_idle"
"1","16","1","16001","72","sjr_talk_idle","-194","1.65","100","1","122611"
"0","16","1","16002","-72","sjr_talk_idle","-194","1.65","100","1","122511"
"","16","3","16003","","","","0.2","1","122611","sjr_talk_wish_doya"
"","16","21","16004","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_001"
"0","16","11","16005","1","1","0","0","5","122611","レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから"
"","16","91","16006","","","","","","0",""
"","16","3","16007","","","","0.2","1","122611","sjr_talk_idle"
"0","16","3","16008","sjr_talk_arm_crossed_joy_loop","","1","0.2","0","122511","sjr_talk_arm_crossed_normal_joy"
"","16","21","16009","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_002"
"0","16","11","16010","1","0.5","0","0","6","122511","ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう"
"","16","91","16011","","","","","","0",""
"","16","3","16012","","","","0.2","1","122511","sjr_talk_idle"
"1","17","1","17001","72","sjr_talk_idle","-194","1.65","100","1","122611"
"0","17","1","17002","-72","sjr_talk_idle","-194","1.65","100","1","122511"
"","17","3","17003","","","","0.2","1","122511","sjr_talk_worry_shy"
"","17","21","17004","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_003"
"0","17","11","17005","1","0.5","0","0","6","122511","ねぇユイ\n水着で走るのって\nちょっと…"
"","17","91","17006","","","","","","0",""
"","17","3","17007","","","","0.2","1","122511","sjr_talk_idle"
"","17","3","17008","","","","0.2","1","122611","sjr_talk_wish_shy"
"","17","21","17009","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_004"
"0","17","11","17010","1","0.5","0","0","5","122611","うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！"
"","17","91","17011","","","","","","0",""
"","17","3","17012","","","","0.2","1","122611","sjr_talk_idle"
"0","17","3","17013","sjr_talk_thinking_light","","1","0.2","0","122511","sjr_talk_thinking_blink_light"
"","17","21","17014","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_005"
"0","17","11","17015","1","0.5","0","0","6","122511","いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！"
"","17","91","17016","","","","","","0",""
"","17","3","17017","","","","0.2","1","122511","sjr_talk_idle"
"1","18","1","18001","72","sjr_talk_idle","-194","1.65","100","1","122611"
"0","18","1","18002","-72","sjr_talk_idle","-194","1.65","100","1","122511"
"","18","3","18003","","","","0.2","1","122611","sjr_talk_wish_surprise"
"","18","21","18004","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_006"
"0","18","11","18005","1","0.5","0","0","7","122611","なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…"
"","18","91","18006","","","","","","0",""
"","18","3","18007","","","","0.2","1","122611","sjr_talk_idle"
"0","18","3","18008","sjr_talk_arm_crossed_normal2_loop","","1","0.2","0","122511","sjr_talk_arm_crossed_normal2"
"","18","21","18009","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_007"
"0","18","11","18010","1","0.5","0","0","7","122511","気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ"
"","18","91","18011","","","","","","0",""
"","18","3","18012","","","","0.2","1","122511","sjr_talk_idle"
"1","19","1","19001","72","sjr_talk_idle","-194","1.65","100","1","122611"
"0","19","1","19002","-72","sjr_talk_idle","-194","1.65","100","1","122411"
"0","19","3","19003","sjr_talk_idle_joy","","1","0.2","0","122611","sjr_talk_wave_hand"
"","19","21","19004","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_008"
"0","19","11","19005","1","0.5","0","0","11","122611","ヒヨリちゃん\n楽しんでる？"
"","19","91","19006","","","","","","0",""
"","19","3","19007","","","","0.2","1","122611","sjr_talk_idle"
"0","19","3","19008","sjr_talk_swing_joy2","","1","0.2","0","122411","sjr_talk_fun"
"","19","21","19009","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_009"
"0","19","11","19010","1","0.5","0","0","8","122411","もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！"
"","19","91","19011","","","","","","0",""
"","19","3","19012","","","","0.2","1","122411","sjr_talk_idle"
"","19","3","19013","","","","0.2","1","122611","sjr_talk_laugh"
"","19","21","19014","0","","","","0","vo_minigame_1010","vo_minigame_1010_top_talk_2_010"
"0","19","11","19015","1","0.5","0","0","8","122611","そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！"
"","19","91","19016","","","","","","0",""
"","19","3","19017","","","","0.2","1","122611","sjr_talk_idle"
"1","20","1","20001","72","sjr_talk_idle","-194","1.65","100","1","122611"
