a8f870f850bfc08994be650f02a8a53429f4e6fbe49a85778bf4026ce19963bc,b76e2bdd07b28395371949f735cd9044f6d6fe942e40950c6464db6198790873,0c11c82476887bf8ecede93daad5553e5ebc8a8b006207cd38db3f829ced35a2,f271bba0c0440963ddc2d0d5c262c8d609db114113bafba2f039138df22cbe16,5d8d9480c5d5b6c91b5ab49937941165c13946af462ebeb9d10658442716bc63,8bfaf70298a06699f6b55ab86213b79d86a41cc887f8d2f37436b45690b9f650
"3001","1","212","2146041","803100263","211"
"3002","1","212","2146042","803100263","211"
"3003","1","212","2146043","803100263","211"
"3004","1","212","2146044","803100263","211"
"3006","1","212","2147041","803100272","213"
"3007","1","212","2147042","803100272","213"
"30011","1","313","2145039","803100253","202"
"30012","0","302","2145040","803100253","105"
"30021","1","311","2145069","803100256","204"
"30022","1","312","2145070","803100256","205"
"30031","1","310","2145099","803100259","212"
"30032","0","301","2145100","803100259","107"
"30041","0","307","2146039","803100262","110"
"30042","0","302","2146040","803100262","105"
"30051","1","314","2146081","803100267","203"
"30061","1","312","2147019","803100269","205"
"30062","0","303","2147020","803100269","106"
"30071","1","313","2147039","803100271","202"
"30072","1","310","2147040","803100271","212"
"300101","0","100","2145011","803100251","104"
"300102","0","100","2145012","803100251","104"
"300103","0","102","2145013","803100251","105"
"300104","0","100","2145014","803100251","104"
"300105","0","102","2145015","803100251","105"
"300106","0","103","2145016","803100251","106"
"300107","0","102","2145017","803100251","105"
"300108","0","103","2145018","803100251","106"
"300109","1","111","2145019","803100251","204"
"300110","0","100","2145020","803100251","104"
"300111","0","100","2145021","803100252","104"
"300112","0","102","2145022","803100252","105"
"300113","0","100","2145023","803100252","104"
"300114","0","102","2145024","803100252","105"
"300115","0","103","2145025","803100252","106"
"300116","0","102","2145026","803100252","105"
"300117","0","103","2145027","803100252","106"
"300118","1","111","2145028","803100252","204"
"300119","0","100","2145029","803100252","104"
"300120","0","100","2145030","803100252","104"
"300121","0","102","2145031","803100253","105"
"300122","0","100","2145032","803100253","104"
"300123","0","102","2145033","803100253","105"
"300124","1","112","2145034","803100253","208"
"300125","1","110","2145035","803100253","212"
"300126","0","100","2145036","803100253","104"
"300127","0","102","2145037","803100253","105"
"300128","0","103","2145038","803100253","106"
"300201","0","101","2145041","803100254","107"
"300202","0","101","2145042","803100254","107"
"300203","0","102","2145043","803100254","105"
"300204","0","103","2145044","803100254","106"
"300205","1","113","2145045","803100254","202"
"300206","1","114","2145046","803100254","203"
"300207","0","101","2145047","803100254","107"
"300208","1","113","2145048","803100254","202"
"300209","1","114","2145049","803100254","203"
"300210","0","101","2145050","803100254","107"
"300211","0","101","2145051","803100255","107"
"300212","0","102","2145052","803100255","105"
"300213","0","103","2145053","803100255","106"
"300214","1","113","2145054","803100255","202"
"300215","1","114","2145055","803100255","203"
"300216","0","101","2145056","803100255","107"
"300217","1","113","2145057","803100255","202"
"300218","1","114","2145058","803100255","203"
"300219","0","101","2145059","803100255","107"
"300220","0","101","2145060","803100255","107"
"300221","0","102","2145061","803100256","105"
"300222","0","103","2145062","803100256","106"
"300223","0","101","2145063","803100256","107"
"300224","1","112","2145064","803100256","208"
"300225","1","110","2145065","803100256","212"
"300226","0","102","2145066","803100256","105"
"300227","0","103","2145067","803100256","106"
"300228","0","101","2145068","803100256","107"
"300301","0","100","2145071","803100257","104"
"300302","0","101","2145072","803100257","107"
"300303","0","101","2145073","803100257","107"
"300304","1","113","2145074","803100257","202"
"300305","1","114","2145075","803100257","203"
"300306","0","100","2145076","803100257","104"
"300307","0","101","2145077","803100257","107"
"300308","1","111","2145078","803100257","204"
"300309","1","112","2145079","803100257","205"
"300310","0","100","2145080","803100257","104"
"300311","0","101","2145081","803100258","107"
"300312","0","101","2145082","803100258","107"
"300313","1","113","2145083","803100258","202"
"300314","1","114","2145084","803100258","203"
"300315","0","100","2145085","803100258","104"
"300316","0","101","2145086","803100258","107"
"300317","1","111","2145087","803100258","204"
"300318","1","112","2145088","803100258","205"
"300319","0","100","2145089","803100258","104"
"300320","0","101","2145090","803100258","107"
"300321","0","100","2145091","803100259","104"
"300322","0","101","2145092","803100259","107"
"300323","1","113","2145093","803100259","202"
"300324","1","112","2145094","803100259","208"
"300325","0","100","2145095","803100259","104"
"300326","0","101","2145096","803100259","107"
"300327","1","111","2145097","803100259","204"
"300328","1","112","2145098","803100259","205"
"300401","0","102","2146011","803100260","105"
