2ed292d382bbf4f0bd57931386c06ee9e4ab2a030549b3e9635443d31d750a3b,7c064bb7125727a6abd0b587d51ee6566ccb2aafde5cd74efa7d9f7b62343db2,7380969bbd86ece4163d3f337b11e0c6feaa1b42a0c62d324a0160026f7ec1d2,9c6ccbddbe25f5f406045cb202b65e6a77c5239bf376ece070a16fe9e1e67448,007ec4e6c37d7d82dd88ffc4232fca0b1b992a82371e79f03e96f6e2439d8faf,8529bfc02c6ea670fd2a6684553cba3b94ea74a0c600b5b0f3dedd74ca8e3353
"118001","3001","バトル開始後90秒間物理攻撃力極大\nアップ","1013206","2023/11/30 12:00:00","1"
"118001","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","1013206","2023/11/30 12:00:00","2"
"118001","3010","バトル開始後90秒間ＴＰ上昇大アップ","1013206","2023/11/30 12:00:00","3"
"105801","3001","バトル開始後90秒間物理攻撃力極大\nアップ","1013206","2023/11/30 12:00:00","4"
"105801","3004","バトル開始後90秒間魔法防御力極大\nアップ","1013206","2023/11/30 12:00:00","5"
"105801","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","1013206","2023/11/30 12:00:00","6"
"107501","3001","バトル開始後90秒間物理攻撃力極大\nアップ","1013206","2023/11/30 12:00:00","7"
"107501","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","1013206","2023/11/30 12:00:00","8"
"107501","3010","バトル開始後90秒間ＴＰ上昇大アップ","1013206","2023/11/30 12:00:00","9"
"111801","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","1013206","2023/11/30 12:00:00","10"
"111801","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","1013206","2023/11/30 12:00:00","11"
"121001","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","1013206","2023/11/30 12:00:00","13"
"121001","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","1013206","2023/11/30 12:00:00","14"
"180401","3001","バトル開始後90秒間物理攻撃力極大\nアップ","1013206","2023/11/30 12:00:00","16"
"180401","3004","バトル開始後90秒間魔法防御力極大\nアップ","1013206","2023/11/30 12:00:00","17"
"180401","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","1013206","2023/11/30 12:00:00","18"
"127901","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","1013206","2023/11/30 12:00:00","19"
"127901","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","1013206","2023/11/30 12:00:00","20"
"106601","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","21"
"106601","3012","バトル開始後90秒間物理/魔法無効バ\nリア","1013406","2023/12/31 12:00:00","22"
"101401","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","23"
"101401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","1013406","2023/12/31 12:00:00","24"
"101201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","25"
"101201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","1013406","2023/12/31 12:00:00","26"
"116501","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","27"
"116501","3012","バトル開始後90秒間物理/魔法無効バ\nリア","1013406","2023/12/31 12:00:00","28"
"121601","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","29"
"121601","3012","バトル開始後90秒間物理/魔法無効バ\nリア","1013406","2023/12/31 12:00:00","30"
"128301","3001","バトル開始後90秒間物理攻撃力極大\nアップ","1013406","2023/12/31 12:00:00","31"
"128301","3012","バトル開始後90秒間物理/魔法無効バ\nリア","1013406","2023/12/31 12:00:00","32"
"112201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","33"
"112201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","1013406","2023/12/31 12:00:00","34"
"115701","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","35"
