7498a59ef381b522015c2a30e5cd961293a90f0556125ece0167038a414a4f34,9d1f3eeb83981094e0c0bd7e089d75d65c85893888a4169768c7fa616021a10f,c7ca2069cdbe7358c8a04c7b7255a548dab29f0b06ced723c940968a41544267,664620793952983834537ba0942be210aacd45657814496ef4046bab56f3cc32,d9f143864eafaed2047b167c04e1ad1de4dd0cc964d215a4388f42669b001832,16ceeb69af6954c46970f3b5fe4f0ad5b7e041ea54fb43fa4702f3a31d324989,61c4e4b36ce720c33e42583fa3b69d714046f249ac6da7d095f1fa709da0b20e,e20943d03cd60d6d60415bb3fa2204cf7ffc4c504b854dcf82114150e7db5cc8,c51ec9ab8288178d9a5352af9e946eb75ae5f33f4d176b7bd8910a1c094dac70,893ff4fbac00f88a594a4e21c61c3c10fdb22d528c448b684afa7ea0a20aad26,2e0d1dc9c2bffb0c36fafe560750975ac79f606cb1fd7e6920ac1f4febd18221,9c234d9c268129a5c7fff5f49aad8fa144b5b997526e4ef0d79af8031e0fc78e
"1","0","4","0","0","0","104","1","2","11041","0","101"
"2","0","2","0","0","0","14","2","3","10141","1","201"
"3","0","2","0","0","0","103","3","2","11031","2","301"
"4","0","1","0","0","0","102","4","1","11021","3","401"
"5","0","4","0","0","0","104","5","2","11041","4","501"
"6","0","1","0","0","0","1","6","3","10011","5","601"
"7","0","3","0","0","0","101","7","4","11011","6","701"
"8","0","1","0","0","0","100","8","3","11001","7","801"
"9","0","4","0","0","0","104","9","2","11041","8","901"
"10","0","2","0","0","0","1","10","3","10011","9","1001"
"11","0","1","0","0","0","51","11","4","10511","10","1101"
"12","0","2","0","0","0","52","12","3","10521","11","1201"
"13","0","4","0","0","0","104","13","2","11041","12","1301"
"14","0","1","0","0","0","103","14","1","11031","13","1401"
"15","0","1","0","0","0","102","15","2","11021","14","1501"
"16","0","1","0","0","0","1","16","3","10011","15","1601"
"17","0","4","0","0","0","104","17","2","11041","16","1701"
"18","0","2","0","0","0","50","18","3","10501","17","1801"
"19","0","3","0","0","0","101","19","4","11011","18","1901"
"20","0","2","0","0","0","100","20","3","11001","19","2001"
"21","0","4","0","0","0","104","21","2","11041","20","2101"
"22","0","3","0","0","0","1","22","1","10011","21","2201"
"23","0","2","0","0","0","100","23","3","11001","22","2301"
"24","0","2","0","0","0","101","24","2","11011","23","2401"
"25","0","4","0","0","0","104","25","3","11041","24","2501"
"26","0","3","0","0","0","50","26","4","10501","25","2601"
"27","0","3","0","0","0","52","27","3","10521","26","2701"
"28","0","1","0","0","0","50","28","1","10501","27","2801"
