192711963107a4a52b9025da2ca3fcd60bb7bd008ebcb45e5362dfab40a00076,e1a56818725e34a65d7d71ec757b27710d13e6f5ea4fb600400f31da3801913c,761602de2e7c4a8ccc671b7ccb4d562d6f46d80f2fdf2ad98c79ae74428b95bc,392eb83557d00d24a8a159293e7940707026bcfd48c445c18b87288c9614436e,b668e952730e234d7688b614e1489d981c7091d46c86ab1e0da2a1d479250fb7,bfb0905d005478dbe6137f32ad5f73f99dcf571e0080cd542bab06373ae60520
"1","1013206","118001","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00"
"2","1013206","118001","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2023/11/30 12:00:00"
"3","1013206","118001","3010","バトル開始後90秒間ＴＰ上昇大アップ","2023/11/30 12:00:00"
"4","1013206","105801","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00"
"5","1013206","105801","3004","バトル開始後90秒間魔法防御力極大\nアップ","2023/11/30 12:00:00"
"6","1013206","105801","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","2023/11/30 12:00:00"
"7","1013206","107501","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00"
"8","1013206","107501","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2023/11/30 12:00:00"
"9","1013206","107501","3010","バトル開始後90秒間ＴＰ上昇大アップ","2023/11/30 12:00:00"
"10","1013206","111801","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/11/30 12:00:00"
"11","1013206","111801","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","2023/11/30 12:00:00"
"13","1013206","121001","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/11/30 12:00:00"
"14","1013206","121001","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","2023/11/30 12:00:00"
"16","1013206","180401","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/11/30 12:00:00"
"17","1013206","180401","3004","バトル開始後90秒間魔法防御力極大\nアップ","2023/11/30 12:00:00"
"18","1013206","180401","3005","バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","2023/11/30 12:00:00"
"19","1013206","127901","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/11/30 12:00:00"
"20","1013206","127901","3004","バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","2023/11/30 12:00:00"
"21","1013406","106601","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00"
"22","1013406","106601","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00"
"23","1013406","101401","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00"
"24","1013406","101401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00"
"25","1013406","101201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00"
