b9045479d07bab2e65898938123be458c56ce58ef64dcbb3405e80dea71d60a7,973d816aa3b2ea934541a2c1942342bda9fb0840fc7994d7ac1d4be7e5873172,89c73397db1aa4f1d999898f47d2947a1fce3d6e85f54af005ed01c8debb2895
"1","1","32025"
"2","1","32046"
"3","1","32048"
"4","1","32016"
"5","1","32060"
"5","2","32078"
"6","1","32031"
"7","1","32007"
"8","1","32050"
"9","1","32033"
"10","1","32058"
"10","2","32075"
"11","1","32042"
"12","1","32021"
"13","1","32023"
"14","1","32027"
"15","1","32049"
"16","1","32011"
"17","1","32045"
"18","1","32030"
"19","1","32013"
"20","1","32040"
"21","1","32018"
"22","1","32028"
"23","1","32043"
"24","1","32017"
"25","1","32010"
"26","1","32036"
"27","1","32004"
"28","1","32020"
"29","1","32059"
"29","2","32076"
"30","1","32014"
"31","1","32038"
"32","1","32003"
"32","2","32089"
"33","1","32071"
"34","1","32029"
"35","1","32044"
