3347a83e5f20d231b730922c61371e584e4f08d86ed37b7d100e14f1b68dc999,98a83d04989f956b23733dcce767fc1531782db3c4c142f0f74dc59e87e398c9,0105d172aaa03d92b613d1307ef5f6df11b4c61e454f0fba9a1fa70189d981e4,1f2aa41cec3f27a9401bdc418e1b9ebb52d941cc53c053fb23bfc2939fec13b9,684739bf82552bcb7c1d59d03bd792be6ab8cff7b1366f064ff70067bd8accf9,761d94122f06122e193b831fe8617bff2d02cd121e6322072e455b4ac6a90491,0f33ca7fea0d570e03148b277f0508a9eef9bfb31ccaeb716753140a8e2b00b5,459c2001033e900208749a6559973053e96782cf2c66cdd358105c75617bcf78,7c881c1e06f97f2f5c4192508f4f15e15d03a25a178cfd9f5261c53f9974327c
"0","1","2018/05/22 5:00:00","1","2018/06/01 4:59:59","0","0","0","1"
"0","2","2018/08/21 5:00:00","2","2018/09/01 4:59:59","0","0","0","1"
"0","3","2018/12/22 5:00:00","3","2019/01/04 4:59:59","0","0","0","1"
"0","4","2019/02/15 5:00:00","4","2019/03/01 4:59:59","1","0","0","1"
"0","5","2019/03/01 5:00:00","5","2019/03/31 11:59:59","1","4","14","0"
"0","6","2019/08/15 5:00:00","6","2019/09/01 4:59:59","1","0","0","1"
"0","7","2019/12/20 5:00:00","7","2020/01/03 18:59:59","1","0","0","1"
"0","8","2020/02/15 5:00:00","8","2020/03/01 4:59:59","1","0","0","1"
"0","9","2020/04/30 5:00:00","9","2020/05/07 4:59:59","1","0","0","1"
"0","10","2020/08/15 5:00:00","10","2020/09/01 4:59:59","1","0","0","1"
"0","11","2020/11/10 5:00:00","11","2020/11/17 4:59:59","1","0","0","1"
"0","12","2020/11/17 5:00:00","12","2020/11/30 11:59:59","1","11","7","0"
"0","13","2020/12/21 5:00:00","13","2021/01/04 4:59:59","1","0","0","1"
"0","14","2021/01/04 5:00:00","14","2021/01/31 11:59:59","1","13","14","0"
"0","15","2021/02/15 5:00:00","15","2021/03/01 4:59:59","1","0","0","1"
"0","16","2021/03/01 5:00:00","16","2021/03/31 11:59:59","1","15","14","0"
"0","17","2021/04/30 5:00:00","17","2021/05/10 4:59:59","1","0","0","1"
"0","18","2021/08/15 5:00:00","18","2021/09/01 4:59:59","1","0","0","1"
"0","19","2021/09/01 5:00:00","19","2021/09/30 11:59:59","1","18","17","0"
"0","20","2021/11/03 5:00:00","20","2021/11/10 4:59:59","1","0","0","1"
"0","21","2021/11/10 5:00:00","21","2021/11/30 4:59:59","1","20","7","0"
"0","22","2021/12/22 5:00:00","22","2022/01/04 4:59:59","1","0","0","1"
"0","23","2022/01/04 5:00:00","23","2022/01/31 4:59:59","1","22","13","0"
"0","24","2022/02/15 5:00:00","24","2022/03/01 4:59:59","1","0","0","1"
"0","25","2022/03/01 5:00:00","25","2022/03/31 4:59:59","1","24","14","0"
"0","26","2022/04/30 5:00:00","26","2022/05/10 4:59:59","1","0","0","1"
"0","27","2022/08/15 5:00:00","27","2022/09/01 4:59:59","1","0","0","1"
"0","28","2022/10/25 5:00:00","28","2022/11/01 4:59:59","1","0","0","1"
"0","29","2022/12/23 5:00:00","29","2023/01/04 4:59:59","1","0","0","1"
"0","30","2023/02/15 5:00:00","30","2023/03/01 4:59:59","1","0","0","1"
"0","31","2023/04/25 5:00:00","31","2023/05/01 4:59:59","1","0","0","1"
"0","32","2023/08/15 5:00:00","32","2023/09/01 4:59:59","1","0","0","1"
"0","33","2023/10/26 5:00:00","33","2023/11/01 4:59:59","1","0","0","1"
"0","34","2023/12/22 5:00:00","34","2024/01/04 4:59:59","2","0","0","1"
"0","35","2024/02/15 5:00:00","35","2024/03/01 4:59:59","2","0","0","1"
"0","36","2024/04/26 5:00:00","36","2024/05/01 4:59:59","2","0","0","1"
"0","37","2024/08/15 5:00:00","37","2024/09/01 4:59:59","2","0","0","1"
"0","38","2024/12/22 5:00:00","38","2025/01/04 4:59:59","2","0","0","1"
"0","39","2025/02/10 5:00:00","39","2025/02/21 4:59:59","2","0","0","1"
"0","40","2025/04/26 5:00:00","40","2025/05/01 4:59:59","2","0","0","1"
