53a7f6dd40fb1931aac10f8814dd280e30705a6db2dfeedc751b8074585cae18,e2299f4fa979c8fcb9d4ea00ced68ee9313fc8f22d9d42d28675c6c5b64af700,44c7ba4df6ab8d2e7b44cfb90d977df5f456332ee7ff6d0adeea662dd980574f,ed4dd7a92a378099b851d104c9b833a9749bfd7edfc68482e980a0f4f8326044
"1","1","4301511","18"
"1","2","4301512","18"
"1","3","4301513","18"
"1","4","4301514","18"
"1","5","4301515","18"
"1","6","26202","2"
"2","1","4302511","18"
"2","2","4302512","18"
"2","3","4302513","18"
"2","4","4302514","18"
"2","5","4302515","18"
"2","6","26202","2"
"3","1","4303511","18"
"3","2","4303512","18"
"3","3","4303513","18"
"3","4","4303514","18"
"3","5","4303515","18"
"3","6","26202","2"
"4","1","4304511","18"
"4","2","4304512","18"
"4","3","4304513","18"
"4","4","4304514","18"
"4","5","4304515","18"
"4","6","26202","2"
"5","1","4305511","18"
"5","2","4305512","18"
"5","3","4305513","18"
"5","4","4305514","18"
"5","5","4305515","18"
"5","6","26202","2"
"6","1","4301516","18"
"6","2","4301517","18"
"6","3","4301518","18"
"6","4","4301519","18"
"6","5","4301520","18"
"6","6","26202","2"
"7","1","4302516","18"
"7","2","4302517","18"
"7","3","4302518","18"
"7","4","4302519","18"
"7","5","4302520","18"
"7","6","26202","2"
"8","1","4303516","18"
"8","2","4303517","18"
"8","3","4303518","18"
"8","4","4303519","18"
"8","5","4303520","18"
"8","6","26202","2"
"9","1","4304516","18"
"9","2","4304517","18"
"9","3","4304518","18"
"9","4","4304519","18"
"9","5","4304520","18"
"9","6","26202","2"
"10","1","4305516","18"
"10","2","4305517","18"
"10","3","4305518","18"
"10","4","4305519","18"
"10","5","4305520","18"
"10","6","26202","2"
"11","1","4201511","18"
"11","2","4201512","18"
"11","3","4201513","18"
"11","4","4201514","18"
"11","5","4201515","18"
"11","6","26202","2"
"12","1","4202511","18"
"12","2","4202512","18"
"12","3","4202513","18"
"12","4","4202514","18"
"12","5","4202515","18"
"12","6","26202","2"
"13","1","4203511","18"
"13","2","4203512","18"
"13","3","4203513","18"
"13","4","4203514","18"
"13","5","4203515","18"
"13","6","26202","2"
"14","1","4204511","18"
"14","2","4204512","18"
"14","3","4204513","18"
"14","4","4204514","18"
"14","5","4204515","18"
"14","6","26202","2"
