4a66343402e19fe7f189a5d2ec3c66d4f4060dbc494cffcde1da22f3db2ff391,44847d06098ef3caf4cd16734ced16819f07a22eb7c563a4294cb5a172947396,ea72c6239ae82143b82fcd70734e6e2760b8452048a389912e2178d2cf85d526,264fbfde84a4384cdaec4d9a5a1b6a30ad9cfa75c530c8cfced345650721e4a7,0349829a2b696df6a3600eb910f8a1753b8ab45358382a40ee33c85def2a261d,d8e1d3eea57a8bb848059222838cce1045da8f82a253b76e7ed15aeb3a4c2d5d,6a058187c53d8d251d21a18deabd96659766f0ea5ba73a9368c3a67c35a86bf6,66160966f0460ead623067a33e71a7e98508611981902d1dd6b52be0faa7d0d9,83929367163b5c55e76765ce4e4cd938a2df936d6a2fc723b92b0526f0504bbe,c30ff42c4dd6cc5f59ee3d64b9c68370d9a8b8948b9669617fd40a135239850c,2ac1c316ee17b7e0a963c886e5efcf115af7ee8462241cb470f3ca100d9ccdfb,68f2b2ced24cb7079558954c89e0bc472043c5651ac186d2223237fa637d1651,8e701ef25c0378a620a18aa1d0f6cde8bd2227bf8ba76ace0e17eec4832c6ebc,bb57c9878eff111d00f79d52c5b7779037c1164dc31907db1f3bca86266517a2,0099df52c666da89a558c751c6ad071bfe8908818da706a2fc569379d265c47c,9d084d7b580bb8d0eb1ea53c2e8a0fbfe494cb7f5bed71f242fa1fb26ee48d69,5dd9506c9627786da2662a6366ca02b38bb7a1247ce6c2e55d865f856244ba22,aa1461a1bf338e52456af4a74ed6b0771ba25b9024e33ad98d8913f51ca0ae45,e416dde66b377349f8eea3ae7af5a9b31a98dd2aeb8ba9a0f793750c4350de20,d4e27cc998db799638c753acc694cb528565cbb63cb14eaad0a61a34e8b114fd,ded2934abfd6c34070dfb5a31087faf795da92dffd6bc3a72714d1aa02c3d255,6d1df63938f50b3e34e1546ae2625db955ffe2730d3cd7ee0090831ecea6fa15,48cf9ccf9b000735c3e4ed738bc3bf073f97d1274d3a16b8e41fbd6050afebb7,d0bfffde5785f129f259e5eb9ba31a90a8f6ef9834f4c6a9f765917e61e722a4
"10010101","3","1001","0","1001","7","1","0","0","1","100101","0","0","0","0","0","1","1002","0","0","1002","0","0","0"
"10020101","3","1001","0","1001","10","1","0","0","1","100201","0","0","0","0","0","1","1002","1","1001","1002","1","0","0"
"10030101","4","1","0","1001","8","1002","0","0","1","100301","0","0","0","0","0","1001","1","0","0","1","1002","0","0"
"10040101","3","1001","0","1001","7","1","0","0","1","100401","0","0","0","0","0","1","1002","0","0","1001","0","0","0"
"10050101","3","1001","0","1001","7","1","0","0","1","100501","0","0","0","0","0","1","1002","0","0","1002","0","0","0"
"10060101","3","1001","0","1001","9","1","0","0","1","100601","0","0","0","0","0","1","1002","1001","0","1002","1","0","0"
"10070101","6","1","0","1","9","1001","0","0","1","100701","0","0","0","0","0","1","1","1002","0","1002","1001","0","0"
"10080101","3","1","0","1002","10","1","0","0","1001","100801","0","0","0","0","0","1002","1001","1","1002","1","1001","0","0"
"10090101","3","1001","0","1","7","1001","0","0","1","100901","0","0","0","0","0","1","1001","0","0","1001","0","0","0"
"10100101","3","1001","0","1001","10","1","0","0","1002","101001","0","0","0","0","0","1","1002","1002","1","1","1","0","0"
"10110101","3","1002","0","1002","7","1","0","0","1","101101","0","0","0","0","0","1","1001","0","0","1001","0","0","0"
"10120101","3","1001","0","1001","7","1","0","0","1","101201","0","0","0","0","0","1","1002","0","0","1002","0","0","0"
"10130101","3","1","0","1002","7","1","0","0","1001","101301","0","0","0","0","0","1002","1001","0","0","1","0","0","0"
"10140101","3","1002","0","1002","7","1","0","0","1","101401","0","0","0","0","0","1","1001","0","0","1001","0","0","0"
"10150101","3","1002","0","1002","7","1","0","0","1","101501","0","0","0","0","0","1","1001","0","0","1001","0","0","0"
"10160101","3","1001","0","1001","7","1","0","0","1","101601","0","0","0","0","0","1","1002","0","0","1002","0","0","0"
"10170101","5","1001","0","1001","9","1","0","0","1001","101701","0","0","0","0","0","1","1002","1001","0","1","1","0","0"
"10180101","3","1002","0","1002","7","1","0","0","1","101801","0","0","0","0","0","1","1001","0","0","1001","0","0","0"
