beb63a2bbd181c6a43629b8d112d1933fb217e4d3e0533912fb6a698a64d5880,5381ac9ffaa8bedc240a82531ae131bce081350569d8b1f6d5653c8e6b62e417,03aa837777a2a602b5bea11af87756cf8d87756bed43f436d0e7bd6736049593,16df7cd9ba9d77cce934713c37664bb3c0663898b9049db129460ca5bd2ccc86,577c92fdebc60b11be9c16f1c673de49c08c2c3c5e2c88618db6e1e011bfe1b2,005dee344a2d9617d1c093d9dbb922f8b759ec34143474ce0b9983e243c275b8,602693e184a2de00fed17650f7eb668249512208c584d064e44bd44ba9b94f28,400c77157aaca8a12d4b2e86c5bd3186661047cd36d032d107ae23a6f3e1e429,b10f6ac229b62f39108093c140527ac236ea6fd68bfa0dbe1f20a722c354f48d
"11","1","1","0","502001102","43.5","1","0.7","320010106"
"67","2","2","0","502001103","13","3","0.65","320010106"
"49","3","3","0","0","-74","2","0.65","320010106"
"13","1","4","0","502001108","-49","1","0.7","320010107"
"62","2","5","0","502001109","-4","3","0.85","320010107"
"50","3","6","0","0","59","2","0.65","320010107"
"-10","1","7","0","0","0","1","1.05","320010108"
"-10","1","8","0","0","-15","1","1.05","320010109"
"-45","1","9","0","0","-85","1","0.43","320010110"
"-45","2","10","0","0","85","2","0.43","320010110"
"11","1","11","0","502001202","43.5","1","0.7","320010206"
"67","2","12","0","502001203","13","3","0.65","320010206"
"49","3","13","0","0","-74","2","0.65","320010206"
"13","1","14","0","502001208","-49","1","0.7","320010207"
"62","2","15","0","502001209","-4","3","0.85","320010207"
"50","3","16","0","0","59","2","0.65","320010207"
"-10","1","17","0","0","0","1","1.05","320010208"
"-10","1","18","0","0","-15","1","1.05","320010209"
"-45","1","19","0","0","-85","1","0.43","320010210"
"-45","2","20","0","0","85","2","0.43","320010210"
"11","1","21","0","502001302","43.5","1","0.7","320010306"
"67","2","22","0","502001303","13","3","0.65","320010306"
"49","3","23","0","0","-74","2","0.65","320010306"
"13","1","24","0","502001308","-49","1","0.7","320010307"
"62","2","25","0","502001309","-4","3","0.85","320010307"
"50","3","26","0","0","59","2","0.65","320010307"
"-10","1","27","0","0","0","1","1.05","320010308"
"-10","1","28","0","0","-15","1","1.05","320010309"
"-45","1","29","0","0","-85","1","0.43","320010310"
"-45","2","30","0","0","85","2","0.43","320010310"
"11","1","31","0","502001402","43.5","1","0.7","320010406"
"67","2","32","0","502001403","13","3","0.65","320010406"
"49","3","33","0","0","-74","2","0.65","320010406"
"13","1","34","0","502001408","-49","1","0.7","320010407"
"62","2","35","0","502001409","-4","3","0.85","320010407"
"50","3","36","0","0","59","2","0.65","320010407"
"-10","1","37","0","0","0","1","1.05","320010408"
"-10","1","38","0","0","-15","1","1.05","320010409"
"-45","1","39","0","0","-85","1","0.43","320010410"
"-45","2","40","0","0","85","2","0.43","320010410"
"11","1","41","0","502001502","43.5","1","0.7","320010506"
"67","2","42","0","502001503","13","3","0.65","320010506"
"49","3","43","0","0","-74","2","0.65","320010506"
"13","1","44","0","502001508","-49","1","0.7","320010507"
"62","2","45","0","502001509","-4","3","0.85","320010507"
"50","3","46","0","0","59","2","0.65","320010507"
"-10","1","47","0","0","0","1","1.05","320010508"
"-10","1","48","0","0","-15","1","1.05","320010509"
"-45","1","49","0","0","-85","1","0.43","320010510"
"-45","2","50","0","0","85","2","0.43","320010510"
"11","1","51","0","502002102","43.5","1","0.7","320020106"
"67","2","52","0","502002103","13","3","0.65","320020106"
"49","3","53","0","0","-74","2","0.65","320020106"
"13","1","54","0","502002108","-49","1","0.7","320020107"
"62","2","55","0","502002109","-4","3","0.85","320020107"
"50","3","56","0","0","59","2","0.65","320020107"
"-10","1","57","0","0","0","1","1.05","320020108"
"-10","1","58","0","0","-15","1","1.05","320020109"
"-45","1","59","0","0","-85","1","0.43","320020110"
"-45","2","60","0","0","85","2","0.43","320020110"
"11","1","61","0","502002202","43.5","1","0.7","320020206"
"67","2","62","0","502002203","13","3","0.65","320020206"
"49","3","63","0","0","-74","2","0.65","320020206"
"13","1","64","0","502002208","-49","1","0.7","320020207"
"62","2","65","0","502002209","-4","3","0.85","320020207"
"50","3","66","0","0","59","2","0.65","320020207"
"-10","1","67","0","0","0","1","1.05","320020208"
"-10","1","68","0","0","-15","1","1.05","320020209"
"-45","1","69","0","0","-85","1","0.43","320020210"
"-45","2","70","0","0","85","2","0.43","320020210"
"11","1","71","0","502002302","43.5","1","0.7","320020306"
"67","2","72","0","502002303","13","3","0.65","320020306"
"49","3","73","0","0","-74","2","0.65","320020306"
"13","1","74","0","502002308","-49","1","0.7","320020307"
"62","2","75","0","502002309","-4","3","0.85","320020307"
"50","3","76","0","0","59","2","0.65","320020307"
"-10","1","77","0","0","0","1","1.05","320020308"
"-10","1","78","0","0","-15","1","1.05","320020309"
"-45","1","79","0","0","-85","1","0.43","320020310"
"-45","2","80","0","0","85","2","0.43","320020310"
"11","1","81","0","502002402","43.5","1","0.7","320020406"
"67","2","82","0","502002403","13","3","0.65","320020406"
"49","3","83","0","0","-74","2","0.65","320020406"
"13","1","84","0","502002408","-49","1","0.7","320020407"
"62","2","85","0","502002409","-4","3","0.85","320020407"
"50","3","86","0","0","59","2","0.65","320020407"
"-10","1","87","0","0","0","1","1.05","320020408"
"-10","1","88","0","0","-15","1","1.05","320020409"
"-45","1","89","0","0","-85","1","0.43","320020410"
"-45","2","90","0","0","85","2","0.43","320020410"
"11","1","91","0","502002502","43.5","1","0.7","320020506"
"67","2","92","0","502002503","13","3","0.65","320020506"
"49","3","93","0","0","-74","2","0.65","320020506"
"13","1","94","0","502002508","-49","1","0.7","320020507"
"62","2","95","0","502002509","-4","3","0.85","320020507"
"50","3","96","0","0","59","2","0.65","320020507"
"-10","1","97","0","0","0","1","1.05","320020508"
"-10","1","98","0","0","-15","1","1.05","320020509"
"-45","1","99","0","0","-85","1","0.43","320020510"
"-45","2","100","0","0","85","2","0.43","320020510"
"11","1","101","0","502003102","43.5","1","0.7","320030106"
"67","2","102","0","502003103","13","2","0.65","320030106"
"49","3","103","0","0","-74","3","0.65","320030106"
"13","1","104","0","502003108","-49","1","0.7","320030107"
"62","2","105","0","502003109","-4","3","0.85","320030107"
"50","3","106","0","0","59","2","0.65","320030107"
"-10","1","107","0","0","0","1","1.05","320030108"
"-10","1","108","0","0","-15","1","1.05","320030109"
"-45","1","109","0","0","-85","1","0.43","320030110"
"-45","2","110","0","0","85","2","0.43","320030110"
"11","1","111","0","502003202","43.5","1","0.7","320030206"
"67","2","112","0","502003203","13","2","0.65","320030206"
"49","3","113","0","0","-74","3","0.65","320030206"
"13","1","114","0","502003208","-49","1","0.7","320030207"
"62","2","115","0","502003209","-4","3","0.85","320030207"
"50","3","116","0","0","59","2","0.65","320030207"
"-10","1","117","0","0","0","1","1.05","320030208"
"-10","1","118","0","0","-15","1","1.05","320030209"
"-45","1","119","0","0","-85","1","0.43","320030210"
"-45","2","120","0","0","85","2","0.43","320030210"
"11","1","121","0","502003302","43.5","1","0.7","320030306"
"67","2","122","0","502003303","13","2","0.65","320030306"
"49","3","123","0","0","-74","3","0.65","320030306"
"13","1","124","0","502003308","-49","1","0.7","320030307"
"62","2","125","0","502003309","-4","3","0.85","320030307"
"50","3","126","0","0","59","2","0.65","320030307"
"-10","1","127","0","0","0","1","1.05","320030308"
"-10","1","128","0","0","-15","1","1.05","320030309"
"-45","1","129","0","0","-85","1","0.43","320030310"
"-45","2","130","0","0","85","2","0.43","320030310"
"11","1","131","0","502003402","43.5","1","0.7","320030406"
"67","2","132","0","502003403","13","2","0.65","320030406"
"49","3","133","0","0","-74","3","0.65","320030406"
"13","1","134","0","502003408","-49","1","0.7","320030407"
"62","2","135","0","502003409","-4","3","0.85","320030407"
"50","3","136","0","0","59","2","0.65","320030407"
"-10","1","137","0","0","0","1","1.05","320030408"
"-10","1","138","0","0","-15","1","1.05","320030409"
"-45","1","139","0","0","-85","1","0.43","320030410"
"-45","2","140","0","0","85","2","0.43","320030410"
"11","1","141","0","502003502","43.5","1","0.7","320030506"
"67","2","142","0","502003503","13","2","0.65","320030506"
"49","3","143","0","0","-74","3","0.65","320030506"
"13","1","144","0","502003508","-49","1","0.7","320030507"
"62","2","145","0","502003509","-4","3","0.85","320030507"
"50","3","146","0","0","59","2","0.65","320030507"
"-10","1","147","0","0","0","1","1.05","320030508"
"-10","1","148","0","0","-15","1","1.05","320030509"
"-45","1","149","0","0","-85","1","0.43","320030510"
"-45","2","150","0","0","85","2","0.43","320030510"
"49","1","151","0","502004103","-74","1","0.7","320040106"
"67","2","152","0","502004104","13","3","0.85","320040106"
"11","3","153","0","0","43.5","2","0.65","320040106"
"50","1","154","0","502004107","59","1","0.7","320040107"
"62","2","155","0","502004109","-4","3","0.85","320040107"
"13","3","156","0","0","-49","2","0.65","320040107"
"-10","1","157","0","0","0","1","0.8","320040108"
"20","1","158","0","0","30","1","0.9","320040109"
"-25","1","159","0","0","20","1","1","320040110"
"49","1","160","0","502004203","-74","1","0.7","320040206"
"67","2","161","0","502004204","13","3","0.85","320040206"
"11","3","162","0","0","43.5","2","0.65","320040206"
"50","1","163","0","502004207","59","1","0.7","320040207"
"62","2","164","0","502004209","-4","3","0.85","320040207"
"13","3","165","0","0","-49","2","0.65","320040207"
"-10","1","166","0","0","0","1","0.8","320040208"
"20","1","167","0","0","30","1","0.9","320040209"
"-25","1","168","0","0","20","1","1","320040210"
"49","1","169","0","502004303","-74","1","0.7","320040306"
"67","2","170","0","502004304","13","3","0.85","320040306"
"11","3","171","0","0","43.5","2","0.65","320040306"
"50","1","172","0","502004307","59","1","0.7","320040307"
"62","2","173","0","502004309","-4","3","0.85","320040307"
"13","3","174","0","0","-49","2","0.65","320040307"
"-10","1","175","0","0","0","1","0.8","320040308"
"20","1","176","0","0","30","1","0.9","320040309"
"-25","1","177","0","0","20","1","1","320040310"
"49","1","178","0","502004403","-74","1","0.7","320040406"
"67","2","179","0","502004404","13","3","0.85","320040406"
"11","3","180","0","0","43.5","2","0.65","320040406"
"50","1","181","0","502004407","59","1","0.7","320040407"
"62","2","182","0","502004409","-4","3","0.85","320040407"
"13","3","183","0","0","-49","2","0.65","320040407"
"-10","1","184","0","0","0","1","0.8","320040408"
"20","1","185","0","0","30","1","0.9","320040409"
"-25","1","186","0","0","20","1","1","320040410"
"49","1","187","0","502004503","-74","1","0.7","320040506"
"67","2","188","0","502004504","13","3","0.85","320040506"
"11","3","189","0","0","43.5","2","0.65","320040506"
"50","1","190","0","502004507","59","1","0.7","320040507"
"62","2","191","0","502004509","-4","3","0.85","320040507"
"13","3","192","0","0","-49","2","0.65","320040507"
"-10","1","193","0","0","0","1","0.8","320040508"
"20","1","194","0","0","30","1","0.9","320040509"
"-25","1","195","0","0","20","1","1","320040510"
"40","1","196","0","502005101","-74","2","0.7","320050106"
"67","2","197","0","502005103","13","3","1","320050106"
"11","3","198","0","0","43.5","1","0.65","320050106"
"50","1","199","0","502005106","59","2","0.7","320050107"
"62","2","200","0","502005108","30","3","0.9","320050107"
"13","3","201","0","0","-49","1","0.65","320050107"
"10","1","202","0","0","5","1","0.75","320050108"
"10","1","203","0","0","-10","1","0.75","320050109"
"-25","1","204","0","0","20","1","1","320050110"
"40","1","205","0","502005201","-74","2","0.7","320050206"
"67","2","206","0","502005203","13","3","1","320050206"
"11","3","207","0","0","43.5","1","0.65","320050206"
"50","1","208","0","502005206","59","2","0.7","320050207"
"62","2","209","0","502005208","30","3","0.9","320050207"
"13","3","210","0","0","-49","1","0.65","320050207"
"10","1","211","0","0","5","1","0.75","320050208"
"10","1","212","0","0","-10","1","0.75","320050209"
"-25","1","213","0","0","20","1","1","320050210"
"40","1","214","0","502005301","-74","2","0.7","320050306"
"67","2","215","0","502005303","13","3","1","320050306"
"11","3","216","0","0","43.5","1","0.65","320050306"
"50","1","217","0","502005306","59","2","0.7","320050307"
"62","2","218","0","502005308","30","3","0.9","320050307"
"13","3","219","0","0","-49","1","0.65","320050307"
"10","1","220","0","0","5","1","0.75","320050308"
"10","1","221","0","0","-10","1","0.75","320050309"
"-25","1","222","0","0","20","1","1","320050310"
"40","1","223","0","502005401","-74","2","0.7","320050406"
"67","2","224","0","502005403","13","3","1","320050406"
"11","3","225","0","0","43.5","1","0.65","320050406"
"50","1","226","0","502005406","59","2","0.7","320050407"
"62","2","227","0","502005408","30","3","0.9","320050407"
"13","3","228","0","0","-49","1","0.65","320050407"
"10","1","229","0","0","5","1","0.75","320050408"
"10","1","230","0","0","-10","1","0.75","320050409"
"-25","1","231","0","0","20","1","1","320050410"
"40","1","232","0","502005501","-74","2","0.7","320050506"
"67","2","233","0","502005503","13","3","1","320050506"
"11","3","234","0","0","43.5","1","0.65","320050506"
"50","1","235","0","502005506","59","2","0.7","320050507"
"62","2","236","0","502005508","30","3","0.9","320050507"
"13","3","237","0","0","-49","1","0.65","320050507"
"10","1","238","0","0","5","1","0.75","320050508"
"10","1","239","0","0","-10","1","0.75","320050509"
"-25","1","240","0","0","20","1","1","320050510"
"40","1","241","0","502006101","-74","2","0.7","320060106"
"67","2","242","0","502006103","13","3","0.7","320060106"
"11","3","243","0","0","43.5","1","0.65","320060106"
"50","1","244","0","502006106","59","2","0.7","320060107"
"62","2","245","0","502006108","30","3","0.9","320060107"
"13","3","246","0","0","-49","1","0.65","320060107"
"10","1","247","0","0","5","1","1","320060108"
"10","1","248","0","0","-10","1","1.2","320060109"
"-25","1","249","0","0","20","1","1","320060110"
"40","1","250","0","502006201","-74","2","0.7","320060206"
"67","2","251","0","502006203","13","3","0.7","320060206"
"11","3","252","0","0","43.5","1","0.65","320060206"
"50","1","253","0","502006206","59","2","0.7","320060207"
"62","2","254","0","502006208","30","3","0.9","320060207"
"13","3","255","0","0","-49","1","0.65","320060207"
"10","1","256","0","0","5","1","1","320060208"
"10","1","257","0","0","-10","1","1.2","320060209"
"-25","1","258","0","0","20","1","1","320060210"
"40","1","259","0","502006301","-74","2","0.7","320060306"
"67","2","260","0","502006303","13","3","0.7","320060306"
"11","3","261","0","0","43.5","1","0.65","320060306"
"50","1","262","0","502006306","59","2","0.7","320060307"
"62","2","263","0","502006308","30","3","0.9","320060307"
"13","3","264","0","0","-49","1","0.65","320060307"
"10","1","265","0","0","5","1","1","320060308"
"10","1","266","0","0","-10","1","1.2","320060309"
"-25","1","267","0","0","20","1","1","320060310"
"40","1","268","0","502006401","-74","2","0.7","320060406"
"67","2","269","0","502006403","13","3","0.7","320060406"
"11","3","270","0","0","43.5","1","0.65","320060406"
"50","1","271","0","502006406","59","2","0.7","320060407"
"62","2","272","0","502006408","30","3","0.9","320060407"
"13","3","273","0","0","-49","1","0.65","320060407"
"10","1","274","0","0","5","1","1","320060408"
"10","1","275","0","0","-10","1","1.2","320060409"
"-25","1","276","0","0","20","1","1","320060410"
"40","1","277","0","502006501","-74","2","0.7","320060506"
"67","2","278","0","502006503","13","3","0.7","320060506"
"11","3","279","0","0","43.5","1","0.65","320060506"
"50","1","280","0","502006506","59","2","0.7","320060507"
"62","2","281","0","502006508","30","3","0.9","320060507"
"13","3","282","0","0","-49","1","0.65","320060507"
"10","1","283","0","0","5","1","1","320060508"
"10","1","284","0","0","-10","1","1.2","320060509"
"-25","1","285","0","0","20","1","1","320060510"
"40","1","286","0","502007101","-74","2","0.7","320070106"
"67","2","287","0","502007103","43","3","0.7","320070106"
"11","3","288","0","0","43.5","1","0.65","320070106"
"50","1","289","0","502007106","59","2","0.7","320070107"
"62","2","290","0","502007108","30","3","0.9","320070107"
"13","3","291","0","0","-49","1","0.65","320070107"
"20","1","292","0","0","5","1","0.9","320070108"
"20","1","293","0","0","0","1","0.9","320070109"
"-20","1","294","0","0","-20","1","1","320070110"
"40","1","295","0","502007201","-74","2","0.7","320070206"
"67","2","296","0","502007203","43","3","0.7","320070206"
"11","3","297","0","0","43.5","1","0.65","320070206"
"50","1","298","0","502007206","59","2","0.7","320070207"
"62","2","299","0","502007208","30","3","0.9","320070207"
"13","3","300","0","0","-49","1","0.65","320070207"
"20","1","301","0","0","5","1","0.9","320070208"
"20","1","302","0","0","0","1","0.9","320070209"
"-20","1","303","0","0","-20","1","1","320070210"
"40","1","304","0","502007301","-74","2","0.7","320070306"
"67","2","305","0","502007303","43","3","0.7","320070306"
"11","3","306","0","0","43.5","1","0.65","320070306"
"50","1","307","0","502007306","59","2","0.7","320070307"
"62","2","308","0","502007308","30","3","0.9","320070307"
"13","3","309","0","0","-49","1","0.65","320070307"
"20","1","310","0","0","5","1","0.9","320070308"
"20","1","311","0","0","0","1","0.9","320070309"
"-20","1","312","0","0","-20","1","1","320070310"
