8b329804c3de690a4fd71406c26845aa8e16e878e961b6e02acab48254e2466c,a74f20eb5bade3ad5fcbbd0045e16d4892e81b78794c7eed2bff6fdd538356c8,0ea98462fb8c893aee8756007f7e7611c75378809031ead8c853008a6d518a61,0d201705e93e61cb8137385bfc930fa9db5574e5f1ecb4adf0591b866e019984,aff163d9ea6cf8471bad38bbcb0facd4b8a10b13421804d0d443f1e36722caef,108915597fc5cdc7d2443df7fd5b9e708389338c13332d19f659e3b60a902189,026cf777e4479a4958ac0684d6c8748c4aa13f5c6d8c4a4f7d0ced6b340fdef2
"91002","10","8","累計スコアを2500pt 獲得しよう","1","101","2500"
"91002","10","8","累計スコアを5000pt 獲得しよう","1","102","5000"
"91002","10","8","累計スコアを10000pt 獲得しよう","1","103","10000"
"91002","10","8","累計スコアを12500pt 獲得しよう","1","104","12500"
"91002","10","8","累計スコアを15000pt 獲得しよう","1","105","15000"
"91002","10","8","累計スコアを20000pt 獲得しよう","1","106","20000"
"91002","10","8","累計スコアを25000pt 獲得しよう","1","107","25000"
"91002","10","8","累計スコアを30000pt 獲得しよう","1","108","30000"
"91002","10","8","累計スコアを35000pt 獲得しよう","1","109","35000"
"91002","10","8","累計スコアを40000pt 獲得しよう","1","110","40000"
"91002","10","8","累計スコアを45000pt 獲得しよう","1","111","45000"
"11001302","1","15","累計スコアを50000pt 獲得しよう","1","112","50000"
"91002","10","8","累計スコアを2500pt 獲得しよう","2","201","2500"
"91002","10","8","累計スコアを5000pt 獲得しよう","2","202","5000"
"91002","10","8","累計スコアを10000pt 獲得しよう","2","203","10000"
"91002","10","8","累計スコアを12500pt 獲得しよう","2","204","12500"
"91002","10","8","累計スコアを15000pt 獲得しよう","2","205","15000"
"91002","10","8","累計スコアを20000pt 獲得しよう","2","206","20000"
"91002","10","8","累計スコアを25000pt 獲得しよう","2","207","25000"
"91002","10","8","累計スコアを30000pt 獲得しよう","2","208","30000"
"91002","10","8","累計スコアを35000pt 獲得しよう","2","209","35000"
"91002","10","8","累計スコアを40000pt 獲得しよう","2","210","40000"
"91002","10","8","累計スコアを45000pt 獲得しよう","2","211","45000"
"11001303","1","15","累計スコアを50000pt 獲得しよう","2","212","50000"
