3ac0f66549311c510a1ad2436197aeb466318dd4405303c86ccb7853fe3ea8a4,a4ce244f7d0555effcab7ce70473229b1e629b0c25937e406d58b25f73911a66,93323118e99ca58442fb5c01068a24784bec797dcd6f23d73b910e8ed638c2c6,ba28fcfcdc798d0c91932602addd67e5d9768eaa148360c224bfc55bf2651929,3ee1dd3879fce2500669822261f37e864d845026e7ba2f2dba8351d5675858a6,7b85c0ca0390e9b54b23f96cba71726657903a1bcd3273cd510d120a01377f4e,c2409430b0cdce8f0a446773dff26ea515a7c630707eb35ae473763f072ee453,82b80a93c5fba04613f768805168727b7107b089423f202fce7312804f05ad54
"101","0","3","短時間、障害物バリアを展開！","0","0","2001","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）"
"102","5","5","中時間、スピードとジャンプ小アップ！","5","0","3","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）"
"103","6","4","短時間、スピード中アップ！","0","0","1","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）"
"104","0","5","中時間、障害物バリアを展開！","0","0","2001","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）"
"105","3","6","中時間、スピード小アップ！","0","0","1","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）"
"106","4","6","中時間、対戦相手のスピード小ダウン！","0","0","1001","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）"
"107","17","5","中時間、スピードとジャンプ特大アップ！","16","0","3","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）"
"108","8","40","ラウンド中、スピード中アップ！","0","0","1","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）"
"109","30","4","短時間、スピード特大アップ！","0","0","1","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）"
"110","10","40","ラウンド中、対戦相手が大きく減速！","0","0","1001","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）"
"111","0","1","ごく短時間、障害物バリアを展開！","0","0","2001","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）"
"112","15","4","短時間、先頭の対戦相手が大きく減速！","0","0","1004","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）"
"113","5","6","中時間、スピード小アップ！","0","0","1","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）"
"114","5","5","中時間、ジャンプ小アップ！","0","0","2","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）"
"115","0","7","長時間、バリアで能力ダウンを防ぐ！","0","0","2002","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）"
"116","3","25","累積で、スピード小アップ！","0","0","1","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）"
"117","3","25","累積で、対戦相手が小さく減速！","0","0","1001","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）"
"118","30","7","長時間、スピードとジャンプ特大アップ！","20","0","3","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）"
"119","15","4","短時間、先頭の対戦相手が大きく減速！","0","0","1004","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）"
"120","0","7","長時間、バリアで能力ダウンを防ぐ！","0","0","2002","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）"
"121","30","12","長時間、ジャンプ特大アップ！","0","0","2","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）"
"122","15","30","累積で、先頭の対戦相手が大きく減速！","0","0","1004","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）"
"123","11","4","短時間大きく加速した後、ごく短時間減速！","2","8","4","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）"
"124","9","8","長時間、スピード中アップ！","0","0","1","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）"
"125","0","4","短時間、障害物バリアを展開！","0","0","2001","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）"
"126","3","30","累積で、対戦相手が小さく減速！","0","0","1001","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）"
"127","22","10","長時間、スピード特大アップ！","0","0","1","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）"
"128","30","4","短時間、ジャンプ特大アップ！","0","0","2","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）"
"129","20","3","短時間、対戦相手のスピード特大ダウン！","0","0","1001","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）"
"130","30","4","短時間、スピード特大アップ！","0","0","1","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）"
