b755e68f7799a3329c0d47d4fca1e9e0242e9539bb1f7360d9ea916789b57e94,aedb2d76aab3b92db10862f552e65e847ac4bfd94e16bc521b5f6188e58ea894,205402d4c7e0873e26c4ce2fa60b419d043e502b61774c9d4894268aaa5129d3,a7ee87a162b0462be5c090710413594df85a235c775e25995f76d8aff02c3bb3
"ＨＰ","1","10000","1"
"物理攻撃力","1","10000","2"
"物理防御力","1","10000","3"
"魔法攻撃力","1","10000","4"
"魔法防御力","1","10000","5"
"物理クリティカル","1","10000","6"
"魔法クリティカル","1","10000","7"
"回避","0","1","8"
"ＨＰ吸収","0","1","9"
"ＨＰ自動回復","0","1","10"
"ＴＰ自動回復","0","1","11"
"物理貫通ダメージ","0","1","12"
"魔法貫通ダメージ","0","1","13"
"ＴＰ上昇","0","1","14"
"回復量上昇","0","1","15"
"ＴＰ消費軽減","0","1","16"
"命中","0","1","17"
"物理クリティカルダメージ","1","100","100"
"魔法クリティカルダメージ","1","100","101"
"物理与ダメージ","1","100","102"
"魔法与ダメージ","1","100","103"
"属性ボーナス","1","10000","104"
"状態異常命中","0","1","105"
"通常攻撃強化","0","1","107"
"バフ強化","0","1","108"
"回復強化","0","1","110"
