1bbfaac4a17d8d28ea0921f9d86be9b345d9be4ae70624e77e94b52e16037779,9cee26dbd45b07cf51bc75d0aca6de9d1f6cae625c8e26317320b4604336a4ed,81639b7993112c32103fd0c2dd3ff77b004e1e1a7914ae53324feb9240fd8ead,adecdc7e885680830983ea6dd29eeb23e6aab187baf725b74fb1e4be92dd168c,8381ef297d5967616b2bd363d66f56aa0fec453c800d88f55d5b2fc58d73b411,edd2f44b37446a5d2f336206c6ba5eeed851be467e42d6093783b5eca6abddd3,f9d6d64d21b13815f2e1fd8432185a9fdcd262ae74a439367c9e2320aec63e9a,8c901e38d8671c7f6eba513abc76f2d67538232edd4c4a49f1550b905db84d89,98e27c4519e8fc3d4698c2b2046b53ba075050de808d1a6d8cd9791da4f627ee,94117bfbdf2c788a981a89d7a6d90ba890159545f978224b2485b51503654d12,b379dbbc1aed02065931884cfafe3f3fa22b76d9c003dd22f03d8f24dbdb103a,432410ebb6a09490d92a079fea13006862b403d8d0bfe47e7ba67d024de659df,9b8c8659f034c14a992af02167f0cd00123b79ad3b1f5c4da71aa79b51ccfb58,2ccc3c01425495143dfc343d727b02404df7da35770a4279118b12cf33aae315,d7f229442b5a4edf05262ee18c2f6f7e49d6d0551998189665fb33b76060a323,9538299ddc2c7707c9fb99f98e18d81b4e905f98e698a630623f5268c339439b,534d33ff69f4b48e8df4b3de525305e6ff4169418b57d73ef002a2003c2000a8,594335ce13dfb1d09b54510b5409df193f0a87e3c56fe209eb28921a40d17a1b,094eed318a53f3551d9b6f5bc09df749d726292c3fcdf14326620008db8a923c,79016e9e12e2b4a922f77550df521dc59c1daa27068f248362bf117e6c84e8e9,588822f76eb2e5f7f49c6c89129daa3e38fb71dd2f042c32ae1bd80c11dfbe40,4c9810458641976507a6dcb759c89d363b1faf0cf852e49a14e024c84581d08a
"0.6","1","250","-480","-120","0.7","bgm_M64","0","1","1","210","101001","-30","10","0.8","1001","0","-30","1","1","101001","10010101"
"0.75","2","0","-260","-120","1","bgm_M64","0","1","2","200","101001","0","10","1.2","1001","0","-30","1","1","101001","10010102"
"0.75","3","100","-40","0","1","bgm_M64","0","1","3","200","101001","-10","0","1.1","1001","-50","-30","1","1","101001","10010103"
"0.7","4","0","240","-50","1","bgm_M64","0","1","4","200","101001","0","0","1","1001","0","-30","1","1","101001","10010104"
"1.2","5","200","480","-40","1","bgm_M55","0","1","5","250","101011","0","0","1.3","1001","0","-30","1","1","101011","10010105"
"0.6","1","250","-480","-155","0.7","bgm_M64","0","1","1","210","101021","-30","10","0.8","1002","0","-30","1","1","101001","10020101"
"0.75","2","250","-265","-120","1","bgm_M64","0","1","2","200","101021","0","10","1.2","1002","0","-30","1","1","101001","10020102"
"0.9","3","100","-30","30","1","bgm_M64","-15","1","3","200","101021","-10","0","1.4","1002","-30","-30","1","1","101001","10020103"
"1","4","100","220","-90","1.25","bgm_M64","0","1","4","200","101021","0","0","1.5","1002","-30","-30","1","1","101001","10020104"
"1.4","5","200","440","0","1.6","bgm_M55","0","1","5","250","101031","0","0","1.8","1002","0","-30","1","1","101011","10020105"
"0.6","1","250","-470","-155","0.7","bgm_M64","0","1","1","210","101041","-30","10","0.8","1003","0","-30","1","1","101041","10030101"
"0.75","2","250","-210","-95","1","bgm_M64","0","1","2","200","101041","0","10","1.2","1003","0","-30","1","1","101041","10030102"
"0.75","3","100","50","-120","1","bgm_M64","0","1","3","200","101041","-10","0","1.1","1003","-50","-30","1","1","101041","10030103"
"0.8","4","100","195","35","1.2","bgm_M64","0","1","4","200","101041","0","0","1.5","1003","-30","-30","1","1","101041","10030104"
"1.1","5","150","450","-55","1.35","bgm_M55","0","1","5","210","101042","0","0","1.8","1003","-50","-30","1","1","101042","10030105"
"0.6","1","250","-480","-120","0.7","bgm_M64","0","1","1","210","101161","-30","10","0.8","1004","0","-30","1","1","101161","10040101"
"0.75","2","0","-260","-120","1","bgm_M64","0","1","2","200","101161","0","10","1.2","1004","0","-30","1","1","101161","10040102"
