1b04b1674eede584b243508674b16668eda474ddef3d1541d2adcb09f4b2c1be,b2eedf7eca956cf7d840cdb69f9a3f08f8e43909730fcd779ebd42028e3f67e0,0a1c19f4eb590ab1bfbefdbcf6e9743d8fffe6593c0510d87e9fba532867b936,673eaaa42aaab5e3fde986cc06f1d00b11b0f08853d0c1d5d85c5401971c9401,ea60b49e690ae74d0b062d0a85988877bcd3c9457e1fbe95f817dc295e8d07c8,30455d3445f7e00274d48d596029908a4378ad2639e5677e42c6fea94770ab27
"10101001","58002001","1","15","1001","1"
"10101002","58002002","1","15","1002","2"
"10101003","58002003","1","15","1003","3"
"10201001","56011001","1","15","1001","4"
"10201002","56011002","1","15","1002","5"
"10201003","56011003","1","15","1003","6"
"91002","56011003","50","8","0","7"
"10201004","56011004","1","15","1001","8"
"10201005","56011005","1","15","1002","9"
"10201006","56011006","1","15","1003","10"
"91002","56011006","50","8","0","11"
"10201007","56011007","1","15","1001","12"
"10201008","56011008","1","15","1002","13"
"10201009","56011009","1","15","1003","14"
"91002","56011009","50","8","0","15"
"10201010","56011010","1","15","1001","16"
"10201011","56011011","1","15","1002","17"
"10201012","56011012","1","15","1003","18"
"91002","56011012","50","8","0","19"
"10201013","56011013","1","15","1001","20"
"10201014","56011014","1","15","1002","21"
"10201015","56011015","1","15","1003","22"
"91002","56011015","50","8","0","23"
"10201016","56011016","1","15","1001","24"
"10201017","56011017","1","15","1002","25"
"10201018","56011018","1","15","1003","26"
"91002","56011018","50","8","0","27"
"10201019","56011019","1","15","1001","28"
"10201020","56011020","1","15","1002","29"
"10201021","56011021","1","15","1003","30"
"91002","56011021","50","8","0","31"
"10201022","56011022","1","15","1001","32"
"10201023","56011023","1","15","1002","33"
"10201024","56011024","1","15","1003","34"
"91002","56011024","50","8","0","35"
"10201025","56011025","1","15","1001","36"
"10201026","56011026","1","15","1002","37"
"10201027","56011027","1","15","1003","38"
"91002","56011027","50","8","0","39"
"10201028","56011028","1","15","1001","40"
"10201029","56011029","1","15","1002","41"
"10201030","56011030","1","15","1003","42"
"91002","56011030","50","8","0","43"
"10201031","56011031","1","15","1001","44"
"10201032","56011032","1","15","1002","45"
"10201033","56011033","1","15","1003","46"
"91002","56011033","50","8","0","47"
"10201034","56011034","1","15","1001","48"
"10201035","56011035","1","15","1002","49"
"10201036","56011036","1","15","1003","50"
"91002","56011036","50","8","0","51"
"10201037","56011037","1","15","1001","52"
"10201038","56011038","1","15","1002","53"
"10201039","56011039","1","15","1003","54"
"91002","56011039","50","8","0","55"
"10201040","56011040","1","15","1001","56"
"10201041","56011041","1","15","1002","57"
"10201042","56011042","1","15","1003","58"
"91002","56011042","50","8","0","59"
"10201043","56011043","1","15","1001","60"
"10201044","56011044","1","15","1002","61"
"10201045","56011045","1","15","1003","62"
"91002","56011045","50","8","0","63"
"10201046","56011046","1","15","1001","64"
"10201047","56011047","1","15","1002","65"
"10201048","56011048","1","15","1003","66"
"91002","56011048","50","8","0","67"
"10201049","56011049","1","15","1001","68"
"10201050","56011050","1","15","1002","69"
"10201051","56011051","1","15","1003","70"
"91002","56011051","50","8","0","71"
"10201052","56011052","1","15","1001","72"
"10201053","56011053","1","15","1002","73"
"10201054","56011054","1","15","1003","74"
"91002","56011054","50","8","0","75"
"10201055","56011055","1","15","1001","76"
"10201056","56011056","1","15","1002","77"
"10201057","56011057","1","15","1003","78"
"91002","56011057","50","8","0","79"
"10201058","56011058","1","15","1001","80"
"10201059","56011059","1","15","1002","81"
"10201060","56011060","1","15","1003","82"
"91002","56011060","50","8","0","83"
"10201061","56011061","1","15","1001","84"
"10201062","56011062","1","15","1002","85"
"10201063","56011063","1","15","1003","86"
"91002","56011063","50","8","0","87"
"10201064","56011064","1","15","1001","88"
"10201065","56011065","1","15","1002","89"
"10201066","56011066","1","15","1003","90"
"91002","56011066","50","8","0","91"
"10201067","56011067","1","15","1001","92"
"10201068","56011068","1","15","1002","93"
"10201069","56011069","1","15","1003","94"
"91002","56011069","50","8","0","95"
"10201070","56011070","1","15","1001","96"
"10201071","56011071","1","15","1002","97"
"10201072","56011072","1","15","1003","98"
"91002","56011072","50","8","0","99"
"10201073","56011073","1","15","1001","100"
"10201074","56011074","1","15","1002","101"
"10201075","56011075","1","15","1003","102"
"91002","56011075","50","8","0","103"
"10201076","56011076","1","15","1001","104"
"10201077","56011077","1","15","1002","105"
"10201078","56011078","1","15","1003","106"
"91002","56011078","50","8","0","107"
"10201079","56011079","1","15","1001","108"
"10201080","56011080","1","15","1002","109"
"10201081","56011081","1","15","1003","110"
"91002","56011081","50","8","0","111"
"10201082","56011082","1","15","1001","112"
"10201083","56011083","1","15","1002","113"
"10201084","56011084","1","15","1003","114"
"91002","56011084","50","8","0","115"
