173b8b4dea7b47b0b88efea6a5f72b3f7d5f6f79a30327f1af642471188f81d2,b454af36fdfd2112852d723d4d00622381f4ef130308aee555ae260ea6b96d28,ab84a127a89b066748b4eedf2da21399e37b17ff7cbfa54cff216b86742826ed,613219f356feae4ad664182ea2ae43a0635e2ac103f3b202f3d77f99f6705817,5af6da5103f3989e92df2a8e12e8aa3750c2bb8e07ae54bc280ab7ad4b6a09c5,cda2a6177b3bf946a78fbe65bed5068da48ee373e74a0825ff5c47f37df46f62
"1","0","10008103","1","10008","10008001"
"2","0","10008104","1","10008","10008002"
"3","0","10008105","1","10008","10008003"
"4","0","10008107","1","10008","10008004"
"5","0","10008111","1","10008","10008005"
"201","0","0","2","10008","10008006"
"101","0","10008105","201","10008","10008201"
"102","0","10008107","201","10008","10008202"
"103","0","10008111","201","10008","10008203"
"111","0","10008115","202","10008","10008204"
"105601","0","0","101","10008","10008301"
"100901","0","10008103","101","10008","10008302"
"101301","0","10008104","101","10008","10008303"
"105601","0","10008105","101","10008","10008304"
"101301","0","10008107","101","10008","10008305"
"100901","0","10008111","101","10008","10008306"
"105601","0","0","102","10008","10008307"
"201","0","0","2","10010","10010001"
"2","0","10010112","1","10010","10010002"
"3","0","10010115","1","10010","10010003"
"4","0","10010103","1","10010","10010004"
"5","0","10010105","1","10010","10010005"
"6","0","10010107","1","10010","10010006"
"7","0","10010109","1","10010","10010007"
"101","0","10010112","211","10010","10010201"
"0","0","10010115","211","10010","10010202"
"101461","101471","10010110","501","10010","10010501"
"101462","101472","10010110","501","10010","10010502"
"101463","101473","10010110","501","10010","10010503"
"211","0","1001004","3","10010","10010531"
"1","0","1001201","4","10012","10012001"
"2","0","1001202","4","10012","10012002"
"3","0","1001203","4","10012","10012003"
"4","0","1001204","4","10012","10012004"
"101","0","1001201","5","10012","10012301"
"101","0","1001202","5","10012","10012302"
"101","0","1001203","5","10012","10012303"
"501","0","0","6","10012","10012401"
"211","0","1001204","3","10012","10012531"
"211","0","1001304","3","10013","10013531"
"211","0","1001504","3","10015","10015531"
"1","0","10017102","1","10017","10017001"
"2","0","10017108","1","10017","10017002"
"3","0","10017115","1","10017","10017003"
"105801","0","0","101","10017","10017301"
"109901","0","10017102","101","10017","10017302"
"109901","0","0","102","10017","10017303"
"211","0","1001704","3","10017","10017531"
"101921","101931","10021112","501","10021","10021001"
"101922","101932","10021112","501","10021","10021002"
"101923","101933","10021112","501","10021","10021003"
"100011","100351","10021112","501","10021","10021004"
"100012","100352","10021112","501","10021","10021005"
