6be06cc8d43a4cc2a4b5cc08e64fbf7f91f3f0f93035f52292ce503b630f3ee6,d1493d8a11f4531983197b90687d949f511c64695f3547ba35fdbe3162526459,5cb8421164255337999de92b10450102445651c0fe2805e340731cead55cf8da,e6e1a1ae1b791eafb43415788f3f6bcc0f72628f5154835b8613f90cce3990a9,af0d3e4a1db2b5aeabf2c0f36514790e4a16e73e245356ca14a3aad37778e5ad,bb9a5def9e3cb3d56ec9fe48f09d7a610157e62facdf88d4643f790c03badf54,d4956b370547a6c993bb1e7b998326b3c85e8353fa581f5c1433f1dc5ee2d5ec,150ea7cf305be91a4653df8a1782c93fffab3209c65f1909f221c887bdd41eb5,28160e5b00419e35107450ee2f861fd8ccd9c548c37360f87c9e66970d77f0e8,f7b454a195f4f81f89df45248c3c0e1539ff9ae3fc649d019efbdebfbdca8a62,1a95bc98ec7ddca93d167c463f021d4dac2176bde8e6d2b66c9761bd910d905f,58692e3457422731994f48a9f362d80318ef831d6caeaff6a9de49b883ab6364
"1","1","100","13","1","-1","1","1","3","100101","-1","1"
"1","1","130","15","1","-1","1","1","4","100201","-1","1"
"1","1","160","17","1","-1","1","1","4","100301","-1","1"
"1","1","180","19","1","-1","1","1","4","100401","120","1"
"1","1","180","19","1","-1","1","1","4","100402","-1","1"
"1","1","200","21","1","-1","1","1","4","100501","150","1"
"1","1","200","21","1","-1","1","1","4","100502","-1","1"
"1","1","220","23","1","-1","1","1","5","100601","180","1"
"1","1","220","23","1","-1","1","1","5","100602","-1","1"
"1","1","240","25","1","-1","1","1","5","100701","210","1"
"1","1","240","25","1","-1","1","1","5","100702","-1","1"
"1","1","260","27","1","-1","1","1","5","100801","240","1"
"1","1","260","27","1","-1","1","1","5","100802","-1","1"
"1","1","280","29","1","-1","1","1","5","100901","270","1"
"1","1","280","29","1","-1","1","1","5","100902","-1","1"
"1","1","300","32","1","1","1","1","6","101001","300","1"
"1","1","300","32","1","-1","1","1","6","101002","300","1"
"1","1","300","32","1","-1","1","1","6","101003","-1","1"
"1","1","300","32","1","1","1","1","5","101004","300","1"
"1","1","300","32","1","-1","1","1","5","101005","300","1"
"1","1","300","32","1","-1","1","1","5","101006","-1","1"
"1","1","310","32","1","1","1","1","6","101101","300","1"
"1","1","310","32","1","-1","1","1","6","101102","300","1"
"1","1","310","32","1","-1","1","1","6","101103","-1","1"
"1","1","310","32","1","1","1","1","5","101104","300","1"
"1","1","310","32","1","-1","1","1","5","101105","300","1"
"1","1","310","32","1","-1","1","1","5","101106","-1","1"
"1","1","320","32","1","1","1","1","6","101201","300","1"
"1","1","320","32","1","-1","1","1","6","101202","300","1"
"1","1","320","32","1","-1","1","1","6","101203","-1","1"
"1","1","320","32","1","1","1","1","5","101204","300","1"
"1","1","320","32","1","-1","1","1","5","101205","300","1"
"1","1","320","32","1","-1","1","1","5","101206","-1","1"
"1","1","330","32","1","3","1","1","6","101301","300","1"
"1","1","330","32","1","-1","1","1","6","101302","300","1"
"1","1","330","32","1","-1","1","1","6","101303","-1","1"
"1","1","330","32","1","3","1","1","5","101304","300","1"
"1","1","330","32","1","-1","1","1","5","101305","300","1"
"1","1","330","32","1","-1","1","1","5","101306","-1","1"
"1","1","340","32","1","3","1","1","6","101401","300","1"
"1","1","340","32","1","-1","1","1","6","101402","300","1"
"1","1","340","32","1","-1","1","1","6","101403","-1","1"
"1","1","340","32","1","3","1","1","5","101404","300","1"
"1","1","340","32","1","-1","1","1","5","101405","300","1"
"1","1","340","32","1","-1","1","1","5","101406","-1","1"
"1","1","350","32","1","3","1","1","6","101501","300","1"
"1","1","350","32","1","-1","1","1","6","101502","300","1"
"1","1","350","32","1","-1","1","1","6","101503","-1","1"
"1","1","350","32","1","3","1","1","5","101504","300","1"
"1","1","350","32","1","-1","1","1","5","101505","300","1"
"1","1","350","32","1","-1","1","1","5","101506","-1","1"
"1","1","360","32","1","5","1","1","6","101601","310","1"
"1","1","360","32","1","-1","1","1","6","101602","310","1"
"1","1","360","32","1","-1","1","1","6","101603","-1","1"
"1","1","360","32","1","5","1","1","5","101604","310","1"
"1","1","360","32","1","-1","1","1","5","101605","310","1"
"1","1","360","32","1","-1","1","1","5","101606","-1","1"
"1","1","380","32","1","5","1","1","6","101701","310","1"
"1","1","380","32","1","-1","1","1","6","101702","310","1"
"1","1","380","32","1","-1","1","1","6","101703","-1","1"
"1","1","380","32","1","5","1","1","5","101704","310","1"
"1","1","380","32","1","-1","1","1","5","101705","310","1"
"1","1","380","32","1","-1","1","1","5","101706","-1","1"
"1","1","400","32","1","5","1","1","6","101801","310","1"
"1","1","400","32","1","-1","1","1","6","101802","310","1"
"1","1","400","32","1","-1","1","1","6","101803","-1","1"
"1","1","400","32","1","5","1","1","5","101804","310","1"
"1","1","400","32","1","-1","1","1","5","101805","310","1"
"1","1","400","32","1","-1","1","1","5","101806","-1","1"
"1","1","400","33","1","5","1","1","6","111601","310","1"
"1","1","400","33","1","-1","1","1","6","111602","310","1"
"1","1","400","33","1","-1","1","1","6","111603","-1","1"
"1","1","400","33","1","5","1","1","5","111604","310","1"
"1","1","400","33","1","-1","1","1","5","111605","310","1"
"1","1","400","33","1","-1","1","1","5","111606","-1","1"
"1","1","450","33","1","5","1","1","6","111701","310","1"
"1","1","450","33","1","-1","1","1","6","111702","310","1"
"1","1","450","33","1","-1","1","1","6","111703","-1","1"
"1","1","450","33","1","5","1","1","5","111704","310","1"
"1","1","450","33","1","-1","1","1","5","111705","310","1"
"1","1","450","33","1","-1","1","1","5","111706","-1","1"
"1","1","500","33","1","5","1","1","6","111801","310","1"
"1","1","500","33","1","-1","1","1","6","111802","310","1"
"1","1","500","33","1","-1","1","1","6","111803","-1","1"
"1","1","500","33","1","5","1","1","5","111804","310","1"
"1","1","500","33","1","-1","1","1","5","111805","310","1"
"1","1","500","33","1","-1","1","1","5","111806","-1","1"
