96400a67d5a17b522f06e57f13ae9bbff32cb2942cdc681a051abc6e9293b57c,018e37cb5783dee98d1937e92bf84285f85d9c4bf1eba0c0332ad971ee478521,e135321b5dd422fb5c93e5a5d1df37ab163993d0f7e3cc8892b91436903286bf,21f9bbf8746a5ef2ae0f3bb481d37ac5b57c836dff0e7e200df43d12c9c41972,44cb29b16d1e55f39e83dc11136f137f8fe25651147ea8f597c4206dc8265710
"1","111011101","1","3","0"
"1","111021101","1","3","0"
"1","133011101","1","3","0"
"1","133011201","1","5","0"
"1","133020101","1","3","0"
"1","133020201","1","3","1"
"1","133030101","1","3","0"
"1","133030201","2","3","0"
"1","133030301","3","3","0"
"1","133030401","1","3","1"
"1","133030501","2","3","1"
"1","133030601","3","3","1"
"1","133040101","1","3","0"
"1","133040201","1","3","1"
"1","133040301","1","3","2"
"1","133040401","1","3","3"
"1","133051101","1","3","0"
"1","133051201","1","5","0"
"2","134010101","1","3","0"
"2","134010201","3","3","0"
"1","134021101","1","3","0"
"1","134021201","1","5","0"
"2","140010101","1","4","0"
"2","140010201","1","1","1"
"2","140010301","1","1","0"
"1","140020101","3","1","0"
