624fd43ae959fa0f5550e558c3333519b68309d8e018cb102cc9a0409ac49684,e353687e5fbdef450971a072d83926482aca446c9ef85bc5a77ca3d372d6590b,a26d1c2948c3c11d10f8d8ea79e260780ec54093659373810aa6bf8b2a4a8dd1,6fc35597fd8c63d8752efd948cd13884b15f8302458facde92609be3a91e02be,d46f7e907f7c40e02f253b1522d142f332a8606afd96550d478797a0a468297a,35be01983903995b48ff4aa073e2cae90f2fed1d0b7643a51e012dc101850c8f,f1eeb6825d472c22099e71dd863a146322eed717682d08360d36de64f9cada0e,cca25d5dbb687096d1af04b6d0d6ce58e021144ce14f1122602053ba05fc302a,2ea3ea034dcc00c795ca47c2eef0eca65a7ca4a0a50a1398ef404f2c01f7d081,ef863faa5fe9537ac3a5dcd787d48179737297f2f3981d0be10288afadee5bda,3ff0b2a6d8c703dc83351f5d47109dee2f6f57feedc1ff511f35ca65890d1daa
"1","1","sjr_talk_idle","122611","100","1.65","-194","1","40","1001","1"
"1","122611","","sjr_talk_wish_look","1","0.2","","3","","1002",""
"1","vo_minigame_1010","","vo_minigame_1010_top_talk_1_001","0","","","21","0","1003",""
"1","122611","1","騎士クン…見ててね\nわたし、頑張って\n走るから…！","10","0","0","11","1","1004","0"
"1","0","","","","","","91","","1005",""
"1","122611","","sjr_talk_idle","1","0.2","","3","","1006",""
"2","1","sjr_talk_idle","122611","100","1.65","-194","1","40","2001","1"
"2","122611","","sjr_talk_mouth_hidden_shy","1","0.2","","3","","2002",""
"2","vo_minigame_1010","","vo_minigame_1010_top_talk_1_002","0","","","21","0","2003",""
"2","122611","1","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…","7","0","0","11","1","2004","0"
"2","0","","","","","","91","","2005",""
"2","122611","","sjr_talk_idle","1","0.2","","3","","2006",""
"3","1","sjr_talk_idle","122611","100","1.65","-194","1","40","3001","1"
"3","122611","","sjr_talk_stepback_surprise_worry","0","0.2","1","3","sjr_talk_stepback_worry","3002","0"
"3","vo_minigame_1010","","vo_minigame_1010_top_talk_1_003","0","","","21","0","3003",""
"3","122611","1","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…","8","0","0","11","1","3004","0"
"3","0","","","","","","91","","3005",""
"3","122611","","sjr_talk_idle","1","0.2","","3","","3006",""
"4","1","sjr_talk_idle","122611","100","1.65","-194","1","40","4001","1"
"4","122611","","sjr_talk_thinking_surprise","1","0.2","","3","","4002",""
"4","vo_minigame_1010","","vo_minigame_1010_top_talk_1_004","0","","","21","0","4003",""
"4","122611","1","変わったコースが\nいっぱいあるね\nどれに出ようかな…","6","0","0","11","1","4004","0"
"4","0","","","","","","91","","4005",""
"4","122611","","sjr_talk_idle","1","0.2","","3","","4006",""
"5","1","sjr_talk_idle","122611","100","1.65","-194","1","40","5001","1"
"5","122611","","sjr_talk_guts2_anger","0","0.2","1","3","sjr_talk_guts2_anger_loop","5002","0"
"5","vo_minigame_1010","","vo_minigame_1010_top_talk_1_005","0","","","21","0","5003",""
"5","122611","1","レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！","7","0","0","11","1","5004","0"
"5","0","","","","","","91","","5005",""
"5","122611","","sjr_talk_idle","1","0.2","","3","","5006",""
"6","1","sjr_talk_idle","122511","100","1.65","-194","1","40","6001","1"
"6","122511","","sjr_talk_arm_crossed_joy_look","0","0.2","1","3","sjr_talk_arm_crossed_look_loop","6002","0"
"6","vo_minigame_1010","","vo_minigame_1010_top_talk_1_006","0","","","21","0","6003",""
