59eca8df1474c71cb77150b73f16c838ee96be8dd089c3032bc132f50caa93b5,ca1e55060ab8ac8b182acb251616c1c17562c19ef872a2af9fae9b3762646c51,9f35bde421f2bd813f8118d35f79ddb1ea98e9a2b78f4f1c5c396e83d8f44cdd,86e3136aad5792fddf2afc00c0540a02bc44ab1197b8e7e783566b9e01fcba54,7774025341c67628b1b6848b64adc2fb6bb05e9dfce54a437ab608553372a788,f1be606831243682e8503ee69d46db763320d7be5be6e215bc584a034f0a052b,83e013849cfa4972faff20839fc012a89c637469dd957395857790730ccc79aa,fe5bc6d9d069dac94d9959db98deaa2648e38cf28c05870db8d119644c09b358,72b2accc96e4d0a3cf7ce90fe306da25e0997d0a538bb09d5080f21a90abed97,d99e36e1d2a06a53597cdf465d6d42a379e2f7bb015b6b791a7380dd5e8eb611,2aaaba0d0fb410029bb00be19dc495f847ec51e596cdc590c2b0f001881e977c
"-100","0","101","-150","1","nop_idle_joy1","111831","101001","115","1","1.5"
"100","1","101","-150","1","nop_idle_normal_joy","120731","101002","114","1","1.5"
"-215","0","101","-127","1","nop_idle_arm_crossed","120831","101003","111","1","1.5"
"215","1","101","-127","1","nop_idle_normal","111931","101004","110","1","1.5"
"-330","0","101","-150","1","nop_idle_thinking","120931","101005","113","1","1.5"
"330","1","101","-150","1","nop_idle_normal","112031","101006","112","1","1.5"
"-100","0","102","-150","1","nop_idle_joy1","108731","102001","115","1","1.5"
"100","1","102","-150","1","nop_idle_joy_normal","108831","102002","114","1","1.5"
"-215","0","102","-127","1","nop_idle_normal","108931","102003","111","1","1.5"
"-100","0","103","-135","1","nop_idle_joy1","102011","103001","113","1","1.5"
"-215","0","103","-150","1","nop_idle_normal","100411","103002","115","1","1.5"
"100","1","103","-143","1","nop_idle_wish","103631","103003","114","1","1.5"
"-100","0","104","-150","1","nop_idle_normal","101231","104001","115","1","1.5"
"100","1","104","-150","1","nop_idle_normal","104011","104002","114","1","1.5"
"-215","0","104","-127","1","nop_idle_normal","101511","104003","111","1","1.5"
"-100","0","105","-135","1","nop_idle_normal","103111","105001","113","1","1.5"
"100","1","105","-135","1","nop_idle_sad","102211","105002","111","1","1.5"
"-215","0","105","-150","1","nop_05_miyako_idle_normal","100711","105003","115","1","1.5"
"215","1","105","-150","1","nop_idle_joy1","100611","105004","112","1","1.5"
"-25","1","105","-135","1","nop_skull_idle","2051","105005","114","5","1.5"
"-215","0","106","-150","1","nop_idle_arm_crossed","104731","106001","115","1","1.5"
"215","1","106","-150","1","nop_idle_arm_crossed","107131","106002","114","1","1.5"
"-100","0","106","-135","1","nop_idle_normal","103731","106003","111","1","1.5"
"100","1","106","-135","1","nop_idle_joy1","100511","106004","110","1","1.5"
"-100","0","107","-150","1","nop_idle_normal","102831","107001","115","1","1.5"
"100","1","107","-150","1","nop_idle_normal","102111","107002","114","1","1.5"
"-215","0","107","-127","1","nop_idle_normal","102511","107003","111","1","1.5"
"215","1","107","-127","1","nop_idle_normal","102311","107004","110","1","1.5"
"-100","0","108","-150","1","nop_idle_joy_normal","101011","108001","115","1","1.5"
"100","1","108","-150","1","nop_idle_arm_crossed","104331","108002","114","1","1.5"
"-215","0","108","-127","1","nop_idle_joy1","101711","108003","111","1","1.5"
"215","1","108","-127","1","nop_idle_normal","101431","108004","110","1","1.5"
"-100","0","109","-150","1","nop_idle_joy1","103311","109001","115","1","1.5"
"-215","0","109","-127","1","nop_idle_joy_normal","105211","109002","111","1","1.5"
"100","1","109","-150","1","nop_idle_sad2","102611","109003","114","1","1.5"
"215","1","109","-127","1","nop_idle_normal","103811","109004","110","1","1.5"
"-100","0","110","-150","1","nop_idle_joy1","103231","110001","115","1","1.5"
"215","1","110","-127","1","nop_10_yukari_02","103411","110002","110","1","1.5"
"215","1","110","-127","1","nop_10_yukari_02","11","110003","111","5","1.5"
"100","1","110","-150","1","nop_idle_doya","104811","110004","114","1","1.5"
"-215","0","110","-127","1","nop_idle_joy_normal","104611","110005","111","1","1.5"
"-100","0","111","-150","1","nop_11_anna_idle_arm_crossed","100911","111001","115","1","1.5"
"100","1","111","-150","1","nop_idle_joy_normal","101311","111002","114","1","1.5"
"-215","0","111","-127","1","nop_11_eriko_idle_wish","102711","111003","111","1","1.5"
"215","1","111","-127","1","nop_idle_normal","105111","111004","110","1","1.5"
"100","1","112","-143","1","nop_idle_joy1","101831","112001","115","1","1.5"
"-100","0","112","-135","1","nop_idle_joy_normal","101611","112002","110","1","1.5"
"-215","0","112","-150","1","nop_idle_joy_normal","105011","112003","114","1","1.5"
"100","1","113","-150","1","nop_idle_normal_joy","105331","113001","113","1","1.5"
"-100","0","113","-150","1","nop_13_kuka_idle_memory2","104511","113002","114","1","1.5"
"-215","0","113","-127","1","nop_idle_joy1","103031","113003","110","1","1.5"
"-330","0","113","-150","1","nop_idle_thinking","100811","113004","111","1","1.5"
"240","1","113","-150","1","nop_idle_sad","105511","113005","115","1","1.5"
"100","1","114","-150","1","nop_idle_normal","106831","114001","115","1","1.5"
"-100","0","114","-150","1","nop_idle_normal","101131","114002","114","1","1.5"
"-215","0","114","-127","1","nop_idle_normal","104931","114003","110","1","1.5"
"100","1","115","-143","1","nop_idle_joy1","102931","115001","115","1","1.5"
"-100","0","115","-135","1","nop_idle_wish","104211","115002","110","1","1.5"
"-215","0","115","-150","1","nop_idle_normal","105411","115003","114","1","1.5"
"100","1","116","-150","1","nop_idle_normal","106731","116001","115","1","1.5"
"-100","0","116","-150","1","nop_idle_joy1","106631","116002","114","1","1.5"
"-215","0","116","-127","1","nop_16_kaya_idle_normal2","106531","116003","110","1","1.5"
"180","1","116","-150","1","nop_rago_idle","2","116004","116","5","1.5"
"100","1","117","-150","1","nop_idle_normal","111031","117001","115","1","1.5"
"-100","0","117","-150","1","nop_idle_joy2","110931","117002","114","1","1.5"
"-215","0","117","-127","1","nop_17_chloe_idle_normal2","110831","117003","110","1","1.5"
"-100","0","117","-150","1","NoItem_idle","1","117004","115","5","1.5"
"-100","1","118","-150","1","nop_18_muimi_idle_joy_normal","114711","118001","115","1","1.5"
"100","0","118","-150","1","nop_18_karin_idle_normal","118511","118002","114","1","1.5"
"-215","0","118","-127","1","nop_idle_normal","115031","118003","111","1","1.5"
"215","1","118","-127","1","nop_idle_joy1","118031","118004","110","1","1.5"
"-60","0","201","0","1","nop_idle_joy1","111831","201001","100","1","1.2"
"60","1","201","0","1","nop_idle_normal_joy","120731","201002","101","1","1.2"
"-130","0","201","-5","1","nop_idle_arm_crossed","120831","201003","102","1","1.2"
"130","1","201","-5","1","nop_idle_normal","111931","201004","103","1","1.2"
"-200","0","201","-20","1","nop_idle_thinking","120931","201005","104","1","1.2"
"200","1","201","-20","1","nop_idle_normal","112031","201006","105","1","1.2"
"-60","0","202","0","1","nop_idle_joy1","108731","202001","100","1","1.2"
"60","1","202","0","1","nop_idle_joy_normal","108831","202002","101","1","1.2"
"-130","0","202","-5","1","nop_idle_normal","108931","202003","102","1","1.2"
"-60","0","203","0","1","nop_idle_joy1","102011","203001","100","1","1.2"
"-130","0","203","-5","1","nop_idle_normal","100411","203002","101","1","1.2"
"60","1","203","-5","1","nop_idle_wish","103631","203003","102","1","1.2"
"-60","0","204","0","1","nop_idle_normal","101231","204001","100","1","1.2"
"60","1","204","0","1","nop_idle_normal","104011","204002","101","1","1.2"
"-130","0","204","-5","1","nop_idle_normal","101511","204003","102","1","1.2"
"-80","0","205","0","1","nop_idle_normal","103111","205001","100","1","1.2"
"60","1","205","0","1","nop_idle_sad","102211","205002","101","1","1.2"
"-150","0","205","-5","1","nop_05_miyako_idle_normal","100711","205003","104","1","1.2"
"130","1","205","-5","1","nop_idle_joy1","100611","205004","103","1","1.2"
"-20","1","205","0","1","nop_skull_idle","2051","205005","102","5","1.2"
"-130","0","206","-5","1","nop_idle_arm_crossed","104731","206001","102","1","1.2"
"130","1","206","-5","1","nop_idle_arm_crossed","107131","206002","103","1","1.2"
"-60","0","206","0","1","nop_idle_normal","103731","206003","100","1","1.2"
"60","1","206","0","1","nop_idle_joy1","100511","206004","101","1","1.2"
"-60","0","207","0","1","nop_idle_normal","102831","207001","100","1","1.2"
"60","1","207","0","1","nop_idle_normal","102111","207002","101","1","1.2"
"-130","0","207","-5","1","nop_idle_normal","102511","207003","102","1","1.2"
"130","1","207","-5","1","nop_idle_normal","102311","207004","103","1","1.2"
"-60","0","208","0","1","nop_idle_joy_normal","101011","208001","100","1","1.2"
"60","1","208","0","1","nop_idle_arm_crossed","104331","208002","101","1","1.2"
"-130","0","208","-5","1","nop_idle_joy1","101711","208003","102","1","1.2"
"130","1","208","-5","1","nop_idle_normal","101431","208004","103","1","1.2"
"-60","0","209","0","1","nop_idle_joy1","103311","209001","100","1","1.2"
"-130","0","209","-5","1","nop_idle_joy_normal","105211","209002","102","1","1.2"
"60","1","209","0","1","nop_idle_sad2","102611","209003","101","1","1.2"
"130","1","209","-5","1","nop_idle_normal","103811","209004","103","1","1.2"
"-60","0","210","0","1","nop_idle_joy1","103231","210001","100","1","1.2"
"130","1","210","-5","1","nop_10_yukari_02","103411","210002","103","1","1.2"
"130","1","210","-5","1","nop_10_yukari_02","11","210003","104","5","1.2"
"60","1","210","0","1","nop_idle_doya","104811","210004","101","1","1.2"
