ed6bbeb9dcd0c4dd9f6483bcdd8e264d6370b955f9aa92c1375743e82acb11a7,c95edd4046944074f8094bd32471ff850dc190ad890f8e895403152c6f3a453d,ad11a2af4c6f4458adedb680b0a0f992f0263fe69c76b03af276683383da5177
"装備中","通常時","106101"
"特殊スキル","通常時","106701"
"権能解放中","通常時","106801"
"特殊スキル","通常時","106901"
"変身中","通常時","115801"
"特殊スキル","通常時","116401"
"特殊スキル","通常時","118201"
"特殊スキル","通常時","118501"
"特殊スキル","通常時","118601"
"初回発動時","通常時","120801"
"特殊スキル","通常時","122001"
"共闘中","通常時","122301"
"特殊スキル","通常時","122701"
"特殊スキル","通常時","123001"
"共闘中","通常時","125001"
"特殊スキル","通常時","125801"
"特殊スキル","通常時","126001"
"特殊スキル","通常時","126101"
"特殊スキル","通常時","126201"
"【フルチャージ】中","通常時","126401"
"特殊スキル","通常時","126501"
"特殊スキル","通常時","129001"
"特殊スキル","通常時","129301"
"特殊スキル","通常時","129401"
"初回発動時","通常時","129501"
"特殊スキル","通常時","129601"
"特殊スキル","通常時","129701"
"特殊スキル","通常時","130001"
"特殊スキル","通常時","130101"
"特殊スキル","通常時","131201"
"特殊スキル","通常時","131801"
"特殊スキル","通常時","132001"
"鬼化中","通常時","132101"
"初回発動時","通常時","132401"
"初回発動時","通常時","132901"
"特殊スキル","通常時","133101"
"召喚体スキル","通常時","133801"
"特殊スキル","通常時","134501"
"特殊スキル","通常時","134901"
"特殊スキル","通常時","135001"
"特殊スキル","通常時","135101"
"特殊効果","通常時","135201"
"特殊スキル","通常時","135601"
"特殊スキル","通常時","181201"
