1a9bf31323435c750603f0d4017508b98a03876877f0b96412ab69132fc2b695,6bf158e9ebaf3a22397e2934bb0936a9e6579eebdceb21637551a844c2bf593c,3216ab5b01c32f249a8d16795ae1085437e03631c6c2ad3d10c7bcd404c3d1f6,4b7953a70c6b413f647a811b9646ac353b46b12f2c9eb7bbdbea90b849d6ddfe,b40611509406abb05f7903479cf3298483d4c4447f32979c8475905e1300b79a,2e94f33ed39cb9a62a0ef9723315017c36417c2f014f4afb9bd8515dac9da866,0ae00d0bb80d77edd087b7168f01d4bee8757cfa0338ba4fc8c177bfd7c75fca,7cb3a89f3945170a8ca65584293c1b3d89392ee2cf60184ce678f4b672ca4b58,41d329012f1435d653810227c5ac7442f6d68aa1a6d197db259d443dae1c67f0,5df820e980e3ea4e7ba7bdf20de2f383af1667121a8ecdec435486ab477dc3de,aa3212a901518a12999e770efd0df4bff3f6b27ea225cdedd1542a09e62e5040,0d66bc0dfe8d3d18415846bd7aa20aea79f71bcf9e0d7a5b2ed9722ef3493edf,4d206d1cd84f4333c6f9f862041994e0a1221f132560a1a1c6ed05aab56df368,2933dd46cd076a05c834e88f92aa4bc4a795edeca2def654fb8f7ff8dc64be8e,c1ce759a2495b45c41379b676da382a327747b0b8f9f6d5d8389906035f6b245
"31001","4003001","195","200010","11002012","4003002","雲をつらぬく山脈","雲海の山脈","400","10","0","400","501010001","1","45"
"31002","4003003","-110","200020","11005013","4003004","深い森の奥に存在する1本の大樹","密林の大樹","300","10","0","300","501010002","1","30"
"31003","4003005","-570","200030","11007014","4003006","断崖絶壁で発見された遺跡","断崖の遺跡","200","10","0","200","501010003","1","-190"
"31004","4003007","750","200040","11011017","4003008","大海原にそびえる謎の巨塔","蒼海の孤塔","100","10","0","100","501010004","1","-30"
"31005","4003009","465","200050","11014014","4003010","瘴気渦巻く常闇の孤峰","毒瘴の闇稜","100","10","0","100","501010005","1","20"
"31006","4003011","360","200060","11026014","4003012","厳峰に佇む竜の寝床","緑竜の骸嶺","100","10","0","100","501010006","1","90"
"31007","4003013","130","200070","11035014","4003014","天空の番人が静かに眠る聖城","天上の浮城","100","10","0","100","501010007","1","90"
"31008","4003017","-50","200080","11047014","4003018","砂の大瀑布が落ちゆく果ての都","砂瀑の底都","100","10","0","100","501010008","1","120"
"31009","4003019","-360","200090","11057014","4003020","紺碧の底に君臨する海王の城砦","紺碧の王砦","100","10","0","100","501010009","1","70"
"31010","4003021","0","0","11062014","4003022","四季彩りし霊狐の仙境","四彩の霊峰","100","10","0","0","501010010","1","0"
"32001","4003015","0","0","0","4003016","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","100","10","31006","100","0","1","0"
"32002","0","0","0","0","0","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","100","10","31006","100","0","1","0"
"32003","0","0","0","0","0","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","100","10","31006","100","0","1","0"
"32004","0","0","0","0","0","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","100","10","31006","100","0","1","0"
"32005","0","0","0","0","0","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","100","10","31006","100","0","1","0"
"32006","0","0","0","0","0","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","100","10","31006","100","0","1","0"
"32007","0","0","0","0","0","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","100","10","31006","100","0","1","0"
"32008","0","0","0","0","0","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","100","10","31006","100","0","1","0"
"32009","0","0","0","0","0","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","100","10","31006","100","0","1","0"
"32010","0","0","0","0","0","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","100","10","31006","100","0","1","0"
"32011","0","0","0","0","0","期間限定ダンジョンの踏破に挑戦","スペシャルダンジョン","100","10","31006","100","0","1","0"
