8ad2264f3f03942d09c7c7c14d1401d526ff6cdd1aa22e146d5d1e2ed1c9103c,c6c2a68ec84831f998bfca34e60aafd7e717671f6445efc784c25caf6d848a4c,6980ed3ae93c8c09cb3d6b4629888c3bd3cf44a8c1aeb237484943170247bb43,cab2877d0afe9d7c30ca9f1e3c0daed52b287a66727e4819d5f50ff31fd73631,88a86b4e054fd2d7df73dc4f722c5a34f80179865b47c9cb9ffcb48e52728361,34e38625e7a7b98392e568a103360dbd15513e9e1a0ac46942e3f81fdb7ef933,a82b07b389b6b25b0574e2de45064f1abd0b6de9d452f65232622b01e0727eda,61eba6787b3e60467127c6fa4d1555f68e2a8110fb62f3e0a53aae129ca8602f,c0929b01464cc33355201b930140490be14b33c07ba6779bc083621c43d4142b,bfd52814071864b75a174b70c1f9ad51484df56597511948bcb359083b5d6923,0662bc836c29cd68836a50ba72d667438a7663dd85324b2d2f27aabdbde03ef4,fea9a334111cb87edf9ad1226d6d6a8fa9db0651030c8fe376ddd2736111beac,bdb6d2955e7ffa500f2aaa9a1332da4c4e1a166aaf731984e74421acda102201,e6bf56c6d70815ebcbe078e3bf9ad3e314647f47f0f590175dca9d1feafb5474
"1000001","2025/01/31 12:00:00","190801","3.414","カリン","0","2","62","ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","1","1","-416.5","2030/01/01 14:59:59","1"
"1000002","2025/01/31 12:00:00","190801","3.099","カリン","0","2","62","ミッションをクリアして、\n報酬をゲットしましょう！","2","1","-416.5","2030/01/01 14:59:59","1"
"1000003","2025/01/31 12:00:00","190801","2.801","カリン","0","2","63","受け取ることができる\n報酬があるようです\n確認してみてください","3","1","-416.5","2030/01/01 14:59:59","1"
"1000004","2025/01/31 12:00:00","190801","0","カリン","0","2","63","報酬がもらえますよ！\nチェックしてみてください","4","2","-416.5","2030/01/01 14:59:59","1"
"1000005","2025/01/31 12:00:00","190801","2.12","カリン","0","1","64","ギルド管理協会です！\nイベント報酬券をお持ちでしたら、様々なアイテムと交換できますよ","5","2","-363","2030/01/01 14:59:59","1"
"1000006","2025/01/31 12:00:00","190801","1.68","カリン","0","2","64","お疲れさまです！\nこちらでイベント報酬券とアイテムを交換することができますよ","6","1","-363","2030/01/01 14:59:59","1"
"1000007","2025/01/31 12:00:00","190801","2.33","カリン","0","1","64","いつもありがとうございます！\n報酬交換ですか？\nでは、イベント報酬券とお引き換えいたしますね","7","2","-363","2030/01/01 14:59:59","1"
"1020101","2025/01/31 12:00:00","133701","5.18","ラビリスタ","-6","7","61","今度の敵は、アタシにとっても\n放ってはおけない存在だ\n少年、アタシも全力で行くからさ\n一緒に守ろう、この世界を","101","3","-285","2030/01/01 14:59:59","10201"
"1020102","2025/01/31 12:00:00","133901","8.77","クリスティーナ","-2","2","61","退屈の吹き飛ぶような\n戦いの気配がするなぁ坊や\nさっさとワタシをそこへ連れてゆけ\n世界も守ってやるさ、ついでにな","201","1","-285","2030/01/01 14:59:59","10201"
"1020103","2025/01/31 12:00:00","133801","15.5","ネネカ","0","1","61","おや、私の力が必要……と？\nグレゴールが手伝うそうですよ\n私は戦わないのか、という顔ですね\n……考えておきます","301","6","-285","2030/01/01 14:59:59","10201"
"1020201","2025/02/28 12:00:00","134301","9.061","ランファ","0","5","61","わたしだけの歌…\n一緒に、探してくれる…？\nあなたがいれば…\nもっとがんばれるから…","101","2","-285","2030/01/01 14:59:59","10202"
"1020202","2025/02/28 12:00:00","134401","7.699","チカ","0","2","61","同じ唱喚士として、仲間として\n私にできることをします\n…これも、あなたが\n背中を押してくれたおかげですよ","201","1","-285","2030/01/01 14:59:59","10202"
"1020301","2025/03/31 12:00:00","134601","8.595","アオイ","0","2","61","世界の平和が私とクローチェさんに\nかかってるんですよね？\nぼっちには過大すぎる期待ですけど\nふ、二人でなら背負ってみせます！","101","1","-285","2030/01/01 14:59:59","10203"
"1020302","2025/03/31 12:00:00","134501","7.758","クローチェ","0","2","61","新しく手に入れたこの翼で…\nナイトさんがどこにいたって\nわたし、駆けつけちゃいますよっ！\nクローチェ・エアリアル発進ですっ","201","1","-285","2030/01/01 14:59:59","10203"
"1020401","2025/04/30 12:00:00","132302","7","ルイズマリー","0","6","61","今日はダーリンとの初デート♪\n二人でショッピングして、その後は\n…って私、指名手配されてる！？\nちょ、た…助けてダーリン～！！","101","2","-285","2030/01/01 14:59:59","10204"
"1020402","2025/04/30 12:00:00","132402","7.904","イロハ","0","2","61","ルイちゃんのおばあちゃん優しくて\nいつもにこにこで、イロハ大好き♪\nでも一番好きなのは、角がすっごく\n大きくてかっこいいとこなんだ～♪","201","1","-285","2030/01/01 14:59:59","10204"
"1020403","2025/04/30 12:00:00","132502","8.487","ソノ","0","2","61","ノゾミちゃんのおかげで売上が安定\nしてきたのに、臨時休業、痛すぎる\n…ま、ルイちゃんのために\n一肌脱ぐか。行くよイロハ～","301","4","-285","2030/01/01 14:59:59","10204"
"1020502","2025/05/31 12:00:00","134901","8.763","カノン","0","2","61","ヲ～ッホッホ♪\nあたくし様と同じお空気を吸える\nお幸運を噛みしめなさいですわ～♪\nヲ～ッホッホッホ～♪","101","1","-285","2030/01/01 14:59:59","10205"
"1020503","2025/05/31 12:00:00","134801","6.417","ツムギ","0","3","61","いきますよ騎士さん！\nカノンさんと力を合わせて…力を…\n…本当にあの人なんなんです？\nこれまでになく不安なんですけど！","201","1","-285","2030/01/01 14:59:59","10205"
